,HNRNPD (3184)
ACH-000004,-0.0216060446709
ACH-000007,-0.417351079283
ACH-000009,-0.21190009840399998
ACH-000011,-0.0937847549412
ACH-000012,-0.256567544581
ACH-000013,-0.104056679627
ACH-000014,-0.18268248887000002
ACH-000015,-0.392910091541
ACH-000017,-0.10600859848
ACH-000018,-0.5832634128890001
ACH-000019,-0.141909012905
ACH-000021,-0.343552442976
ACH-000022,-0.113508915591
ACH-000025,-0.37475827367
ACH-000028,-0.0785093954017
ACH-000030,-0.10260429025699999
ACH-000035,-0.326643040901
ACH-000036,0.427122824624
ACH-000037,-0.255963056764
ACH-000039,-0.22425002787700002
ACH-000040,-0.14815244945699999
ACH-000041,-0.403918940703
ACH-000042,-0.640810198991
ACH-000045,-0.39038033674999995
ACH-000047,-0.194639466649
ACH-000052,-0.24864990606600001
ACH-000053,-0.164736194527
ACH-000054,-0.121366032363
ACH-000055,0.0535022199972
ACH-000060,-0.46133629569799994
ACH-000067,-0.35773845150899997
ACH-000070,-0.69774976365
ACH-000075,-0.257094979534
ACH-000078,-0.151001608321
ACH-000082,-0.09945907858519999
ACH-000085,-0.19848808143599997
ACH-000086,-0.0321612291316
ACH-000087,-0.036763476220699996
ACH-000092,-0.146887792639
ACH-000095,-0.059926617079300006
ACH-000097,-0.0408598586378
ACH-000098,-0.0335855971619
ACH-000099,-0.0716440062006
ACH-000108,-0.062017999610099996
ACH-000113,-0.376580351701
ACH-000115,-0.302307340295
ACH-000116,-0.566575683768
ACH-000118,0.147883369725
ACH-000120,0.476473348193
ACH-000123,-0.11148939341900001
ACH-000127,-0.152257954814
ACH-000128,-0.295138582648
ACH-000132,-0.497964156273
ACH-000133,-0.13575732617
ACH-000137,-0.130288229636
ACH-000138,-0.30152143286
ACH-000142,-0.221086944746
ACH-000143,-0.499662744851
ACH-000146,-0.529865699076
ACH-000148,0.00682984808468
ACH-000150,-0.284750616186
ACH-000152,-0.34833392195699997
ACH-000153,-0.221700067946
ACH-000159,-0.120410592404
ACH-000160,-0.30701154690099997
ACH-000163,-0.6540046354
ACH-000167,-0.429918429131
ACH-000168,-0.446696023437
ACH-000169,-0.2646368333
ACH-000178,-0.125260699217
ACH-000182,-0.385309513611
ACH-000183,-0.26080860028299996
ACH-000188,-0.610309766353
ACH-000189,-0.199527550029
ACH-000190,-0.119683225213
ACH-000198,-0.629722394708
ACH-000204,-0.393137636614
ACH-000206,-0.0299668446962
ACH-000207,-0.275684387629
ACH-000211,-0.49741035528099997
ACH-000215,-0.10721342538100001
ACH-000221,-0.314991556776
ACH-000222,0.138298550608
ACH-000223,-0.258522267663
ACH-000226,-0.45486539339800003
ACH-000227,-0.221582520787
ACH-000228,-0.364068523844
ACH-000231,-0.108408572918
ACH-000232,-0.0274183549502
ACH-000233,-0.0694997428669
ACH-000234,0.13620940529300002
ACH-000235,-0.359660141621
ACH-000237,-0.07652648990949999
ACH-000238,-0.351017496972
ACH-000243,-0.159478381512
ACH-000244,-0.11469599728299999
ACH-000246,0.0968227641195
ACH-000248,-0.288523861595
ACH-000250,-0.305282190222
ACH-000251,-0.20390884688900002
ACH-000253,-0.16729338329500001
ACH-000255,-0.545706543719
ACH-000256,-0.160568741823
ACH-000257,-0.336901438403
ACH-000258,0.055095736384
ACH-000259,-0.009212002117290001
ACH-000260,0.09013640277999999
ACH-000261,-0.157251566446
ACH-000262,0.0106063211879
ACH-000263,-0.104678944081
ACH-000264,-0.0889041972672
ACH-000265,-0.354641238156
ACH-000266,-0.184479780315
ACH-000272,-0.11061362514
ACH-000273,-0.266147398693
ACH-000274,-0.0678625343581
ACH-000277,-0.046424773603800006
ACH-000278,-0.368532245364
ACH-000279,-0.2399163998
ACH-000280,-0.292483690889
ACH-000281,-0.0627044143495
ACH-000288,-0.15247286788
ACH-000291,-0.279287547252
ACH-000293,-0.291334187487
ACH-000294,-0.550838110363
ACH-000295,-0.329385486537
ACH-000296,-0.15697263497400002
ACH-000302,-0.570381841763
ACH-000304,-0.523817217848
ACH-000307,-0.263959810055
ACH-000308,-0.0607006999082
ACH-000310,-0.208811556578
ACH-000311,0.060224936463400006
ACH-000312,-0.0497329028226
ACH-000315,-0.0292433098615
ACH-000316,-0.1659703918
ACH-000317,-0.0747393947489
ACH-000318,-0.263158923382
ACH-000319,-0.17930404485100002
ACH-000320,-0.07701918431089999
ACH-000322,-0.10516180069099999
ACH-000323,-0.578283488347
ACH-000324,-0.205293941938
ACH-000329,-0.201726288016
ACH-000330,-0.290168782957
ACH-000331,-0.222667192098
ACH-000332,-0.290948094538
ACH-000334,0.0038659977458200003
ACH-000335,-0.164976285604
ACH-000336,-0.222583715682
ACH-000337,0.07475961876739999
ACH-000339,-0.44125891559299996
ACH-000341,-0.131370657175
ACH-000348,-0.272264732116
ACH-000350,-0.34974101737499996
ACH-000352,-0.29635891372900003
ACH-000356,-0.152315071583
ACH-000361,-0.14607979920999997
ACH-000362,-0.377014008303
ACH-000363,-0.22900144595600003
ACH-000364,-0.414881250164
ACH-000365,-0.130770268811
ACH-000366,-0.202190438997
ACH-000368,-0.17941958121100002
ACH-000374,-0.33799478642399994
ACH-000375,-0.16708195791799998
ACH-000376,0.173406902841
ACH-000381,-0.0039323528079499995
ACH-000383,-0.316606046476
ACH-000387,-0.42574632727399997
ACH-000389,-0.185254406782
ACH-000390,-0.349800043528
ACH-000393,-0.281360153125
ACH-000395,-0.49411748791599996
ACH-000397,-0.225838239331
ACH-000401,-0.31278385545000004
ACH-000402,-0.362875201023
ACH-000403,-0.384387640794
ACH-000404,0.0160490980634
ACH-000406,-0.427719459565
ACH-000407,-0.16849075284899998
ACH-000408,-0.524795947545
ACH-000410,-0.09771524474210001
ACH-000411,-0.09656080104360001
ACH-000414,0.012377250843499998
ACH-000415,-0.44625234101800004
ACH-000416,-0.287388305896
ACH-000420,-0.39398004434600004
ACH-000421,-0.51169985947
ACH-000424,0.0711581905407
ACH-000425,-0.305310125781
ACH-000426,-0.614150552889
ACH-000427,-0.0607701304532
ACH-000433,-0.118261201743
ACH-000436,-0.783168190871
ACH-000444,-0.0618267703613
ACH-000445,-0.577758426639
ACH-000448,-0.336818625473
ACH-000450,-0.297603958166
ACH-000452,0.022040820250599998
ACH-000454,-0.741510752525
ACH-000458,-0.38795535518299995
ACH-000459,-0.294765054132
