,SUDS3 (64426)
ACH-000004,-0.490190333134
ACH-000007,-0.501147953415
ACH-000009,-0.385483055699
ACH-000011,-0.9291393385430001
ACH-000012,-0.484906011905
ACH-000013,-0.013902117270899999
ACH-000014,-0.417341389231
ACH-000015,-0.366293245216
ACH-000017,-0.7736624163689999
ACH-000018,-0.5110980391969999
ACH-000019,-0.08348757492339999
ACH-000021,-0.421522427892
ACH-000022,-0.328187309085
ACH-000025,-0.196164265657
ACH-000028,-0.566465875991
ACH-000030,-0.39857902959700003
ACH-000035,-0.626832303374
ACH-000036,-0.672003115258
ACH-000037,-1.0989925728899999
ACH-000039,-0.557814381875
ACH-000040,-0.574304983401
ACH-000041,-0.416349328895
ACH-000042,-0.47566908778300004
ACH-000045,-0.545288590812
ACH-000047,-0.458092214093
ACH-000052,-0.317049871898
ACH-000053,-0.42620272278399995
ACH-000054,-0.5847623382399999
ACH-000055,-0.7470829759559999
ACH-000060,-0.262700061086
ACH-000067,-0.38440313060500003
ACH-000070,-0.610237238143
ACH-000075,-0.274199853843
ACH-000078,-0.30566222150600003
ACH-000082,-0.8399500102519999
ACH-000085,-0.26026786283000003
ACH-000086,-0.298277166752
ACH-000087,-0.55834839291
ACH-000092,-0.7695508111820001
ACH-000095,-0.6793353819239999
ACH-000097,-0.0373639560177
ACH-000098,-0.6526160862929999
ACH-000099,-0.417012643152
ACH-000108,-0.39380795235699995
ACH-000113,-0.728827391518
ACH-000115,-0.980675526814
ACH-000116,-0.562353424269
ACH-000118,-0.60714171102
ACH-000120,-0.6382184524310001
ACH-000123,-0.256711687995
ACH-000127,-0.360700799001
ACH-000128,-0.5469228840429999
ACH-000132,-0.5689745605300001
ACH-000133,-0.553935133265
ACH-000137,-0.328009982333
ACH-000138,-0.34667319275499997
ACH-000142,-0.42156765067100005
ACH-000143,-0.530101987809
ACH-000146,-0.32745305149099996
ACH-000148,-0.532252019469
ACH-000150,-0.9149000584229999
ACH-000152,-0.30518529646299997
ACH-000153,-0.202581604936
ACH-000159,-0.6083648023279999
ACH-000160,0.045641474342
ACH-000163,-0.793897133621
ACH-000167,-0.09144368755460001
ACH-000168,-0.312353839127
ACH-000169,-0.18566927440699998
ACH-000178,-0.768987567732
ACH-000182,-0.315663699392
ACH-000183,-0.370170372463
ACH-000188,-0.5644392518060001
ACH-000189,-0.660596290002
ACH-000190,-0.120977439877
ACH-000198,-0.37177485068099997
ACH-000204,-0.32399160064800003
ACH-000206,-0.43952095358800003
ACH-000207,-0.35490696851400005
ACH-000211,-0.330565598595
ACH-000215,-0.281473105467
ACH-000221,-0.37143083357900003
