,HIST2H3D (653604)
ACH-000004,-0.711509907704
ACH-000007,-0.483629066739
ACH-000009,-0.9482272991609999
ACH-000011,-0.886291917597
ACH-000012,-0.918071888169
ACH-000013,-0.807999382395
ACH-000014,-0.795022982229
ACH-000015,-0.8268158667829999
ACH-000017,-0.500997030714
ACH-000018,-0.36797514025
ACH-000019,-0.93532028847
ACH-000021,-0.7410701082960001
ACH-000022,-0.900980132717
ACH-000025,-1.2864706550700002
ACH-000028,-0.8508494629860001
ACH-000030,-0.7451614327770001
ACH-000035,-0.6587725560000001
ACH-000036,-0.801279349812
ACH-000037,-0.69863509866
ACH-000039,-0.855053850866
ACH-000040,-0.8892790525859999
ACH-000041,-1.0253096435100002
ACH-000042,-0.9306026434829999
ACH-000045,-0.783418843071
ACH-000047,-0.898656799383
ACH-000052,-0.8774341464000001
ACH-000053,-0.800750784376
ACH-000054,-0.842834406277
ACH-000055,-1.09605047888
ACH-000060,-0.8893493835940001
ACH-000067,-0.745201465291
ACH-000070,-1.06761545661
ACH-000075,-0.9743663377189999
ACH-000078,-0.902533828479
ACH-000082,-0.804992043165
ACH-000085,-0.8903647812559999
ACH-000086,-0.830741419824
ACH-000087,-0.5474640142399999
ACH-000092,-0.827506777544
ACH-000095,-0.760399672826
ACH-000097,-0.930501373855
ACH-000098,-0.8591660731190001
ACH-000099,-0.762840912289
ACH-000108,-0.8845459784299999
ACH-000113,-1.1407561670200002
ACH-000115,-0.5593570775469999
ACH-000116,-0.8013971726829999
ACH-000118,-0.669412115126
ACH-000120,-0.9732643607539999
ACH-000123,-0.993303660719
ACH-000127,-0.83386384756
ACH-000128,-0.746812698195
ACH-000132,-0.783062369948
ACH-000133,-1.05437008921
ACH-000137,-0.759888392526
ACH-000138,-1.06083786568
ACH-000142,-0.7617998903450001
ACH-000143,-0.752800330861
ACH-000146,-0.671615979316
ACH-000148,-1.01686327564
ACH-000150,-0.5750079881319999
ACH-000152,-0.910766672372
ACH-000153,-0.6721172636499999
ACH-000159,-0.8752059349600001
ACH-000160,-0.770277832777
ACH-000163,-0.8371645393680001
ACH-000167,-1.1464613231
ACH-000168,-0.551567995928
ACH-000169,-0.70149640676
ACH-000178,-0.7265386502069999
ACH-000182,-0.971075869638
ACH-000183,-0.6925015593189999
ACH-000188,-0.9645819961040001
ACH-000189,-0.691833195308
ACH-000190,-0.739983509205
ACH-000198,-0.9505865721200001
ACH-000204,-1.21947101023
ACH-000206,-0.815517421351
ACH-000207,-0.38991845053999996
ACH-000211,-0.477383584134
ACH-000215,-0.825654095508
ACH-000221,-0.9452057892739999
ACH-000222,-0.450064303266
ACH-000223,-0.81693715109
ACH-000226,-0.767745690049
ACH-000227,-0.7303470118109999
ACH-000228,-0.802594767457
ACH-000231,-0.633059041751
ACH-000232,-0.806063383285
ACH-000233,-0.844588010493
ACH-000234,-1.01541665788
ACH-000235,-0.87026544425
ACH-000237,-0.843463435096
ACH-000238,-0.7832158779520001
ACH-000243,-1.01912067765
ACH-000244,-0.6901245253470001
ACH-000246,-0.786191955992
ACH-000248,-0.502579774314
ACH-000250,-0.661706764519
ACH-000251,-1.65881810546
ACH-000253,-0.5886974835800001
ACH-000255,-1.04447699892
ACH-000256,-1.0760089250700002
ACH-000257,-0.742285844524
ACH-000258,-0.492327548894
ACH-000259,-0.923331838811
ACH-000260,-0.875838336619
ACH-000261,-0.934232292658
ACH-000262,-1.1294112700799999
ACH-000263,-0.47851521639600003
ACH-000264,-0.536570133752
ACH-000265,-0.990810517006
ACH-000266,-0.808686700498
ACH-000272,-0.7503527231739999
ACH-000273,-0.992051984173
ACH-000274,-0.8129215940979999
ACH-000277,-0.475885719675
ACH-000278,-1.0967589302299998
ACH-000279,-0.698708393969
ACH-000280,-0.822570735691
ACH-000281,-0.571388892554
ACH-000288,-0.773694223577
ACH-000291,-0.7674878506649999
ACH-000293,-0.5397626744380001
ACH-000294,-0.867001270108
ACH-000295,-0.535028782693
ACH-000296,-0.796778841685
ACH-000302,-0.8059767467
ACH-000304,-1.45504110544
ACH-000307,-0.981732271532
ACH-000308,-0.7500636079269999
ACH-000310,-0.7654820829279999
ACH-000311,-1.16823906608
ACH-000312,-0.617305564213
ACH-000315,-0.642653029203
ACH-000316,-0.864442509973
ACH-000317,-0.827802487648
ACH-000318,-1.14421150002
ACH-000319,-0.871212119778
ACH-000320,-0.911123972295
ACH-000322,-0.8107953283570001
ACH-000323,-0.721497149041
ACH-000324,-0.777764586506
ACH-000329,-0.9379344315289999
ACH-000330,-0.645433092501
ACH-000331,-0.809783732798
ACH-000332,-0.8809483392659999
ACH-000334,-0.571951714017
ACH-000335,-1.2160562033700002
ACH-000336,-0.635331418922
ACH-000337,-0.48490945592699997
ACH-000339,-0.776014320429
ACH-000341,-1.30853827393
ACH-000348,-0.9617725017759999
ACH-000350,-0.8101935325149999
ACH-000352,-0.75842977122
ACH-000356,-0.925035488539
ACH-000361,-0.6843742162809999
ACH-000362,-0.91100653626
ACH-000363,-0.5931555476870001
ACH-000364,-0.628693862307
ACH-000365,-0.7864443285770001
ACH-000366,-0.797283594955
ACH-000368,-0.849899934027
ACH-000374,-0.746297896953
ACH-000375,-1.08633725908
ACH-000376,-0.991823920908
ACH-000381,-0.65364881746
ACH-000383,-1.04596136321
ACH-000387,-0.8976635546739999
ACH-000389,-0.792070155421
ACH-000390,-0.886621534912
ACH-000393,-0.6027327878459999
ACH-000395,-0.659375187906
ACH-000397,-0.6617106555960001
ACH-000401,-0.8715977684209999
ACH-000402,-0.122753335066
ACH-000403,-0.8697907265200001
ACH-000404,-0.8496091010250001
ACH-000406,-0.812382052854
ACH-000407,-0.660992986619
ACH-000408,-0.738907216198
ACH-000410,-0.818177290251
ACH-000411,-0.823711392537
ACH-000414,-1.04506905565
ACH-000415,-0.922475823398
ACH-000416,-0.8579088671709999
ACH-000420,-0.70270050355
ACH-000421,-0.7842944690000001
ACH-000424,-0.418885403509
ACH-000425,-0.7900276507780001
ACH-000426,-0.7913211440469999
ACH-000427,-0.982170544322
ACH-000433,-1.3400750370999999
ACH-000436,-1.0178654353399998
ACH-000444,-0.9155875890009999
ACH-000445,-0.8808416528299999
ACH-000448,-0.8537790995460001
ACH-000450,-1.4520537182
ACH-000452,-0.943688715267
ACH-000454,-1.1358313006999998
ACH-000458,-0.7468653210799999
ACH-000459,-0.8329229821940001
ACH-000460,-0.786713457412
ACH-000461,-1.08472402732
ACH-000463,-0.969218031869
ACH-000464,-1.34269754315
ACH-000466,-1.18296739283
ACH-000467,-0.792068546887
ACH-000468,-1.00563596305
ACH-000469,-0.5889686095669999
ACH-000470,-0.881388015213
ACH-000471,-0.805134947126
ACH-000472,-0.7176042168279999
ACH-000473,-0.7035072054129999
ACH-000475,-0.7951873841600001
ACH-000476,-0.606414954283
ACH-000477,-1.07952864599
ACH-000480,-0.743293598348
ACH-000481,-1.19087874944
ACH-000483,-0.864050347675
ACH-000484,-1.18541261537
ACH-000485,-0.8836583874539999
ACH-000486,-0.9500378892839999
ACH-000487,-0.940276769642
ACH-000488,-0.802023933102
ACH-000490,-0.896364385582
ACH-000491,-0.7392224706820001
ACH-000495,-0.625598123142
ACH-000496,-0.8456056274539999
ACH-000499,-0.869917645307
ACH-000500,-0.9049685835279999
ACH-000502,-1.03812142346
ACH-000503,-0.7442224788230001
ACH-000505,-1.15431726473
ACH-000507,-0.7752754635250001
ACH-000510,-0.8020445640520001
ACH-000511,-0.935473526989
ACH-000512,-0.5972714512089999
ACH-000516,-0.9152558839280001
ACH-000517,-1.00777417002
ACH-000518,-0.756121264127
ACH-000520,-0.965539756448
ACH-000521,-0.82665671124
ACH-000522,-0.895408399237
ACH-000524,-0.42718063800800005
ACH-000527,-0.722552045289
ACH-000528,-0.90169749111
ACH-000537,-0.80396224616
ACH-000541,-0.9824718246259999
ACH-000542,-0.653680916016
ACH-000544,-0.880524485889
ACH-000545,-0.774626295482
ACH-000547,-1.18670271561
ACH-000548,-0.9779696721950001
ACH-000549,-1.01910321437
ACH-000550,-0.9242370945999999
ACH-000552,-0.8415997826999999
ACH-000556,-0.9396306993260001
ACH-000557,-1.13686285261
ACH-000570,-0.5508756380600001
ACH-000571,-0.649607535096
ACH-000573,-0.497785567291
ACH-000576,-0.7883776605480001
ACH-000580,-0.751747747592
ACH-000584,-0.654898350487
ACH-000585,-0.6912652793240001
ACH-000588,-0.8684317056559999
ACH-000589,-0.680258098203
ACH-000591,-0.7783126448700001
ACH-000593,-0.9987039822429999
ACH-000600,-0.9514092822319999
ACH-000601,-0.833224811258
ACH-000604,-0.808001215096
ACH-000605,-0.689985686743
ACH-000606,-0.91524377349
ACH-000608,-0.765814338634
ACH-000614,-0.40088480167199997
ACH-000616,-1.03325976052
ACH-000618,-0.659495899113
ACH-000619,-0.8162219971570001
ACH-000620,-0.812237242719
ACH-000621,-0.4991902663100001
ACH-000622,-0.943991746775
ACH-000623,-0.9305907058990001
ACH-000624,-0.822287009621
ACH-000627,-1.13004925959
ACH-000630,-0.826158509104
ACH-000632,-0.833176514245
ACH-000633,-0.8643005546089999
ACH-000637,-1.00394680747
ACH-000638,-0.851496467119
ACH-000646,-0.75114501977
ACH-000647,-0.745381100882
ACH-000648,-0.9787679103899999
ACH-000649,-0.94115479189
ACH-000651,-0.769479427512
ACH-000652,-1.05298283063
ACH-000653,-0.980838241391
ACH-000657,-0.87450734202
ACH-000658,-0.820307318123
ACH-000661,-0.873021278166
ACH-000662,-0.822766094569
ACH-000663,-0.8537572937000001
ACH-000665,-0.944165427455
ACH-000671,-0.9246664229289999
ACH-000673,-0.8150355223260001
ACH-000676,-0.861756253296
ACH-000677,-0.874417146506
ACH-000681,-0.743150990015
ACH-000682,-0.755931006098
ACH-000683,-1.05582467208
