,SEH1L (81929)
ACH-000004,-1.3727255016
ACH-000007,-1.33017473152
ACH-000009,-0.963056985717
ACH-000011,-1.3922679706299999
ACH-000012,-1.17220071248
ACH-000013,-1.13135702452
ACH-000014,-1.34485756183
ACH-000015,-1.19928005998
ACH-000017,-1.4178007185
ACH-000018,-1.25372798911
ACH-000019,-1.44723039045
ACH-000021,-1.11992023295
ACH-000022,-1.08499086223
ACH-000025,-0.934300570972
ACH-000028,-1.19145432822
ACH-000030,-1.1832681499700002
ACH-000035,-1.19168721366
ACH-000036,-1.1114659816099999
ACH-000037,-1.8059458211400001
ACH-000039,-1.0267417335100002
ACH-000040,-1.38002832461
ACH-000041,-1.52579971374
ACH-000042,-1.1741013625
ACH-000045,-1.23653769418
ACH-000047,-1.05731637759
ACH-000052,-1.05317705355
ACH-000053,-1.36385193599
ACH-000054,-1.27049438401
ACH-000055,-1.22665827992
ACH-000060,-1.1727228886499999
ACH-000067,-1.13797308806
ACH-000070,-1.35934867951
ACH-000075,-1.2319491397700002
ACH-000078,-1.23055878224
ACH-000082,-1.35862054508
ACH-000085,-1.32523057169
ACH-000086,-1.16778530655
ACH-000087,-1.04445338121
ACH-000092,-1.12538791544
ACH-000095,-1.35791975234
ACH-000097,-1.22471078105
ACH-000098,-1.1279148433700001
ACH-000099,-1.11710995304
ACH-000108,-1.40680178929
ACH-000113,-1.28055646683
ACH-000115,-0.946376004675
ACH-000116,-1.35069646315
ACH-000118,-0.984474754413
ACH-000120,-1.13303498922
ACH-000123,-1.17078545466
ACH-000127,-1.24118682057
ACH-000128,-1.66218006989
ACH-000132,-1.25460745691
ACH-000133,-0.7789640379080001
ACH-000137,-1.47806082984
ACH-000138,-1.6227787619799998
ACH-000142,-1.12553799974
ACH-000143,-1.3984751427000002
ACH-000146,-1.25915994561
ACH-000148,-1.2348640101000001
ACH-000150,-1.41239490071
ACH-000152,-0.9452583865430001
ACH-000153,-1.4026040905700001
ACH-000159,-1.7406120115200001
ACH-000160,-0.845968386989
ACH-000163,-1.1872535996100002
ACH-000167,-1.45234127934
ACH-000168,-1.11837885324
ACH-000169,-1.3107579825700002
ACH-000178,-1.43999371528
ACH-000182,-1.23999166451
ACH-000183,-1.1838299833100001
ACH-000188,-1.12143288604
ACH-000189,-1.31036021245
ACH-000190,-1.4161366095399999
ACH-000198,-1.3963756436399999
ACH-000204,-0.990458489862
ACH-000206,-1.1212104756299999
ACH-000207,-1.62024501678
ACH-000211,-1.5197167794600002
ACH-000215,-1.48796564338
ACH-000221,-1.04384116839
ACH-000222,-1.13188853126
ACH-000223,-0.9898956074449999
ACH-000226,-1.16875422421
ACH-000227,-0.921527248098
ACH-000228,-1.39154963113
ACH-000231,-1.4247978792700002
ACH-000232,-1.2338431887999999
ACH-000233,-1.16325216462
ACH-000234,-1.26584116658
ACH-000235,-1.3477023470299998
ACH-000237,-1.5144928178600001
ACH-000238,-1.54387000044
ACH-000243,-1.30706816466
ACH-000244,-1.25905704354
ACH-000246,-1.26012642213
ACH-000248,-1.12787638375
ACH-000250,-1.32251540448
ACH-000251,-1.418935928
ACH-000253,-1.47173460475
ACH-000255,-1.30711988232
ACH-000256,-1.0015661047
ACH-000257,-0.8639650684460001
ACH-000258,-1.4081450704499998
ACH-000259,-1.3454087450499999
ACH-000260,-1.18220694912
ACH-000261,-0.992019051886
ACH-000262,-1.22001732475
ACH-000263,-1.33939089016
ACH-000264,-1.71149586958
ACH-000265,-1.22676379253
ACH-000266,-1.18418785779
ACH-000272,-1.32122239104
ACH-000273,-1.50812573451
ACH-000274,-0.793390612631
ACH-000277,-1.35023255715
ACH-000278,-1.53120929301
ACH-000279,-1.44916592129
ACH-000280,-1.2598834587
ACH-000281,-1.40453306288
ACH-000288,-1.1851866500100001
ACH-000291,-1.07662260044
ACH-000293,-0.752760640888
ACH-000294,-0.747115652024
ACH-000295,-1.14731243248
ACH-000296,-0.895671083089
ACH-000302,-1.0150208945399999
ACH-000304,-1.00296513931
ACH-000307,-1.23398189162
ACH-000308,-1.40274262771
ACH-000310,-1.28635051609
ACH-000311,-1.0556615930700002
ACH-000312,-1.4415618989399999
ACH-000315,-1.1949786414299999
ACH-000316,-1.11782886593
ACH-000317,-0.807503589912
ACH-000318,-1.0208024527500001
ACH-000319,-0.783947918852
ACH-000320,-1.2641210037000001
ACH-000322,-1.1246420337
ACH-000323,-1.25267433389
ACH-000324,-1.2369854467
ACH-000329,-1.5771090764500002
ACH-000330,-1.7492606908099997
ACH-000331,-1.09690814269
ACH-000332,-1.0996188997299998
ACH-000334,-2.1127929338499998
ACH-000335,-1.01540603103
ACH-000336,-1.3475296567200001
ACH-000337,-1.22887645632
ACH-000339,-1.28922850945
ACH-000341,-1.07655372298
ACH-000348,-1.10892488491
ACH-000350,-1.1924761795999999
ACH-000352,-1.40605717419
ACH-000356,-0.941216141249
ACH-000361,-1.3939430701700002
ACH-000362,-1.06036591721
ACH-000363,-1.32849170441
ACH-000364,-1.00543854298
ACH-000365,-1.15630553734
