,PMPCA (23203)
ACH-000004,-1.4335965852399999
ACH-000007,-1.3769843065399998
ACH-000009,-1.80468897118
ACH-000011,-1.33353506826
ACH-000012,-1.3873775734600002
ACH-000013,-1.23254342767
ACH-000014,-1.0359392183299998
ACH-000015,-1.72622577534
ACH-000017,-1.29475244317
ACH-000018,-1.18834189669
ACH-000019,-1.33293961981
ACH-000021,-1.44626455905
ACH-000022,-1.6336427294799998
ACH-000025,-1.321877763
ACH-000028,-1.43973770345
ACH-000030,-0.930524212304
ACH-000035,-1.4885963697
ACH-000036,-1.3657626625400001
ACH-000037,-0.927127085513
ACH-000039,-1.46642332555
ACH-000040,-1.42364473551
ACH-000041,-1.3397254765100002
ACH-000042,-1.0225813696100001
ACH-000045,-1.51237768287
ACH-000047,-1.33540363609
ACH-000052,-1.55627727401
ACH-000053,-1.2952098593999999
ACH-000054,-1.0299719215799998
ACH-000055,-1.42762158181
ACH-000060,-1.0274645104200002
ACH-000067,-1.12894929298
ACH-000070,-1.21566470671
ACH-000075,-1.34801563605
ACH-000078,-1.6274416794600002
ACH-000082,-1.55733657056
ACH-000085,-1.47249771141
ACH-000086,-1.5855445666999999
ACH-000087,-1.24117523363
ACH-000092,-1.09178193637
ACH-000095,-1.10228204191
ACH-000097,-1.52506055771
ACH-000098,-1.33050556575
ACH-000099,-1.45096610965
ACH-000108,-1.35762941761
ACH-000113,-1.35929486873
ACH-000115,-1.8467958953
ACH-000116,-1.5741788275400002
ACH-000118,-1.0617621951
ACH-000120,-1.289729402
ACH-000123,-1.14408422173
ACH-000127,-1.2180060976
ACH-000128,-1.4384318000100003
ACH-000132,-1.04212618665
ACH-000133,-1.2267567699200002
ACH-000137,-1.0017533162899999
ACH-000138,-1.65767967162
ACH-000142,-1.7235399746400002
ACH-000143,-1.06713729831
ACH-000146,-1.2345881088700001
ACH-000148,-1.76222708558
ACH-000150,-1.4387001551899998
ACH-000152,-1.57739932638
ACH-000153,-1.17216677676
ACH-000159,-1.4066863445200002
ACH-000160,-2.2850868220500002
ACH-000163,-1.62786002486
ACH-000167,-1.42859489638
ACH-000168,-1.3977820163499999
ACH-000169,-1.51004780386
ACH-000178,-1.4537487264500002
ACH-000182,-1.4258155308200002
ACH-000183,-1.1318264051
ACH-000188,-1.2988873868100002
ACH-000189,-1.5401642253499999
ACH-000190,-0.967379182637
ACH-000198,-1.1396099723100002
ACH-000204,-0.990817296611
ACH-000206,-1.23116480295
ACH-000207,-1.1447027467
ACH-000211,-1.34409019967
ACH-000215,-1.48297341975
ACH-000221,-1.57266929304
ACH-000222,-1.4526154546899999
ACH-000223,-1.99583339317
ACH-000226,-1.10250809625
ACH-000227,-1.11077067191
ACH-000228,-1.4583292684600002
ACH-000231,-1.24577100749
ACH-000232,-1.5392953604100001
ACH-000233,-1.61745593248
ACH-000234,-1.26327671861
ACH-000235,-1.45313784068
ACH-000237,-1.59277783699
ACH-000238,-1.5599251916499999
ACH-000243,-1.29414360895
ACH-000244,-1.35319548161
ACH-000246,-1.5624945821399998
ACH-000248,-1.15640878662
ACH-000250,-1.3301635280600002
ACH-000251,-1.31899151216
ACH-000253,-1.2476395749299998
