,MAD2L1BP (9587)
ACH-000004,-0.280937846412
ACH-000007,-0.38556194278399997
ACH-000009,-1.00050243659
ACH-000011,-0.288510762821
ACH-000012,-0.682797182165
ACH-000013,-0.304756916908
ACH-000014,-0.580075205146
ACH-000015,-0.409665405998
ACH-000017,-0.161550689306
ACH-000018,-0.372028397479
ACH-000019,-0.47517320252499995
ACH-000021,-0.173939364181
ACH-000022,-1.19960054928
ACH-000025,-0.560140986124
ACH-000028,-0.819786797754
ACH-000030,-0.454078245113
ACH-000035,-0.06946604476189999
ACH-000036,-0.473843626577
ACH-000037,-0.403232728249
ACH-000039,-0.490695372606
ACH-000040,-0.660222814296
ACH-000041,-0.37872650971199995
ACH-000042,-0.121055648689
ACH-000045,-0.21052194897
ACH-000047,-0.430402558473
ACH-000052,-0.280362353823
ACH-000053,-0.384968789779
ACH-000054,-0.324517382312
ACH-000055,-0.37017325001900003
ACH-000060,-0.211682209448
ACH-000067,-0.659009567283
ACH-000070,-0.672961499316
ACH-000075,-0.424604211943
ACH-000078,-0.645990505091
ACH-000082,-0.7373392177760001
ACH-000085,-0.552301112749
ACH-000086,-0.554779790627
ACH-000087,-0.0540299899019
ACH-000092,-0.493835594735
ACH-000095,-0.39686909111100005
ACH-000097,-0.516478437465
ACH-000098,-0.547118968893
ACH-000099,-0.45379340033
ACH-000108,-0.47676071414
ACH-000113,-0.544461422518
ACH-000115,-0.518044112948
ACH-000116,-0.755671445948
ACH-000118,-0.42958808216399996
ACH-000120,-0.745339410784
ACH-000123,-0.654519069127
ACH-000127,-0.378985850405
ACH-000128,-0.371213743886
ACH-000132,-0.198127766461
ACH-000133,-0.290100697742
ACH-000137,-0.304434189289
ACH-000138,-0.261041228412
ACH-000142,-0.7826785850300001
ACH-000143,-0.28815742615699996
ACH-000146,-0.495867551827
ACH-000148,-0.449896859567
ACH-000150,-0.122403436948
ACH-000152,-0.346664242816
ACH-000153,-0.5199214299539999
ACH-000159,-0.326924821899
ACH-000160,-0.36321023829300003
ACH-000163,-0.39083717245800004
ACH-000167,-0.438888421445
ACH-000168,-0.262127242926
ACH-000169,-0.34782343932
ACH-000178,-0.321642859458
ACH-000182,-0.30725786622900003
ACH-000183,-0.047116593926
ACH-000188,-0.348660647289
ACH-000189,-0.263879902291
ACH-000190,-0.418613255101
ACH-000198,-0.598145834864
ACH-000204,-0.276576081538
ACH-000206,-0.311669771373
ACH-000207,-1.0083666975499999
ACH-000211,-0.441611889892
ACH-000215,-0.384115678776
ACH-000221,-0.255094691348
ACH-000222,-0.46665976851999996
ACH-000223,-0.461945748196
ACH-000226,-0.367670251738
ACH-000227,-0.569383395626
ACH-000228,-0.992428054391
ACH-000231,-0.383215741263
ACH-000232,-0.159554358178
ACH-000233,-0.251523490077
ACH-000234,-0.207148069967
ACH-000235,-0.0545958875846
ACH-000237,-0.577925192292
ACH-000238,-0.845417602131
ACH-000243,-0.8585385208040001
ACH-000244,-0.621896913769
ACH-000246,-0.5924650787
ACH-000248,-0.367138134555
ACH-000250,-0.755311025021
ACH-000251,-0.15125775995500002
ACH-000253,-0.0672489104976
ACH-000255,-0.171433356949
ACH-000256,-0.412257863427
ACH-000257,-0.236090540693
ACH-000258,-0.15200994009000002
ACH-000259,-0.331934728065
ACH-000260,-0.577820666815
ACH-000261,-0.835482551655
ACH-000262,-0.40080116806999994
ACH-000263,0.0148580146605
ACH-000264,-0.563005824005
ACH-000265,-0.46668700906800004
ACH-000266,-0.136821768292
ACH-000272,-0.337620082892
ACH-000273,-0.258557589044
ACH-000274,-0.413500552232
ACH-000277,-0.32252666316
ACH-000278,-0.300054861693
ACH-000279,-0.38349022547399997
ACH-000280,-0.48072904527599997
ACH-000281,-0.564224834263
ACH-000288,-0.40471530734899996
ACH-000291,-0.335142596395
ACH-000293,-0.233723300461
ACH-000294,-0.134679805142
ACH-000295,-0.213298336473
ACH-000296,-0.642924189586
ACH-000302,-0.43169604594300004
ACH-000304,-0.339647680947
ACH-000307,-0.209415814316
ACH-000308,-0.22953311472399998
ACH-000310,-0.814788100007
ACH-000311,-0.43682443712499996
ACH-000312,-0.351556090687
ACH-000315,-0.32293897248799996
ACH-000316,-0.648045364281
ACH-000317,-0.490795734695
ACH-000318,-0.17599676352200003
ACH-000319,-0.275024975587
ACH-000320,-0.305747513244
ACH-000322,-1.0453049267399999
ACH-000323,-0.423932331941
ACH-000324,-0.487546915461
ACH-000329,-0.11081925980599999
ACH-000330,-0.399064641364
ACH-000331,-0.38812843181400003
ACH-000332,-0.298977450429
ACH-000334,-0.409805446932
ACH-000335,-0.524753316653
ACH-000336,-0.557891614732
ACH-000337,-0.338094438992
ACH-000339,-0.29948890866
ACH-000341,-0.8234741710519999
ACH-000348,-0.36412510004299997
ACH-000350,-0.0437000432855
ACH-000352,-0.38818817722099996
ACH-000356,-0.35255693040700004
ACH-000361,-0.18766415481899998
ACH-000362,-0.653673809243
ACH-000363,-0.196136603554
ACH-000364,-0.37569204085999997
ACH-000365,-0.150482972591
ACH-000366,-0.267256395817
ACH-000368,-0.167814692568
ACH-000374,-0.754334822358
ACH-000375,-0.511462190467
ACH-000376,-0.220401391512
ACH-000381,-0.24732177761500002
ACH-000383,-0.314914946932
ACH-000387,-0.598939702095
ACH-000389,-0.44639094973099996
ACH-000390,-0.77792422259
ACH-000393,-0.631246488946
ACH-000395,-0.47309203568999997
ACH-000397,-0.452018045431
ACH-000401,-0.16998621517
ACH-000402,-0.442526627142
ACH-000403,-0.358253764847
ACH-000404,-0.515469570512
ACH-000406,-0.699027146255
ACH-000407,-0.295656324799
ACH-000408,-0.5142200732150001
ACH-000410,-0.38508042373
ACH-000411,-0.511751634722
ACH-000414,-0.771732121745
ACH-000415,-0.520901501508
ACH-000416,-0.18681425958700001
ACH-000420,-0.215951598514
ACH-000421,-0.208208114832
ACH-000424,-0.056213992452400004
ACH-000425,-0.318682618185
ACH-000426,0.0756703955255
ACH-000427,-0.186545807455
ACH-000433,-0.676419041337
ACH-000436,-0.5283487317050001
ACH-000444,-0.9004691973350001
ACH-000445,-0.7116034932520001
ACH-000448,-0.129085356864
ACH-000450,-0.434578444985
ACH-000452,-0.45055343526999997
ACH-000454,-0.648646156009
ACH-000458,-0.0827125285896
ACH-000459,-0.7301082260070001
ACH-000460,-0.49852144270599996
ACH-000461,-0.856305591363
ACH-000463,-0.317191075353
ACH-000464,-0.610547515465
ACH-000466,-0.243254733226
