,LMX1A (4009)
ACH-000004,0.164204395694
ACH-000007,0.08881593022399999
ACH-000009,0.274147248125
ACH-000011,-0.09782018263160001
ACH-000012,0.182947367868
ACH-000013,0.102785254921
ACH-000014,0.0158646812237
ACH-000015,0.128275514033
ACH-000017,0.281254040735
ACH-000018,0.07677724248060001
ACH-000019,0.16048237247199998
ACH-000021,0.16632313644000002
ACH-000022,0.20933992878199997
ACH-000025,0.04640503331
ACH-000028,0.11302339429199999
ACH-000030,0.137425124019
ACH-000035,0.155623778607
ACH-000036,0.182537611907
ACH-000037,0.0998438958151
ACH-000039,0.28162780352899996
ACH-000040,0.0846936426706
ACH-000041,0.0324914341022
ACH-000042,0.259711906639
ACH-000045,0.21851644387
ACH-000047,0.0677639269082
ACH-000052,0.10951562465
ACH-000053,0.0842788123364
ACH-000054,0.12848774603399998
ACH-000055,-0.0293890399673
ACH-000060,0.101660275314
ACH-000067,0.348610595193
ACH-000070,-0.0283713259997
ACH-000075,0.126568053368
ACH-000078,0.21171501724300001
ACH-000082,0.102800748258
ACH-000085,-0.0567532506061
ACH-000086,0.021656052455099998
ACH-000087,0.153876217079
ACH-000092,-0.045627969330900006
ACH-000095,0.038114311641300004
ACH-000097,0.151833499211
ACH-000098,0.0681987631984
ACH-000099,0.301503639114
ACH-000108,0.208747445836
ACH-000113,0.103488559375
ACH-000115,-0.0143591535977
ACH-000116,0.195822883193
ACH-000118,0.24205737501400001
ACH-000120,0.14515166800899998
ACH-000123,0.317815548812
ACH-000127,0.11530326467900001
ACH-000128,0.10529393621
ACH-000132,0.217145546253
ACH-000133,-0.011877302157399999
ACH-000137,0.0643035884118
ACH-000138,0.21663220769699998
ACH-000142,0.12491601742599999
ACH-000143,-0.029619778514099998
ACH-000146,0.119610310479
ACH-000148,0.14163088595999998
ACH-000150,0.19100324081099998
ACH-000152,0.0396509025615
ACH-000153,-0.07579605287939999
ACH-000159,0.0984923465842
ACH-000160,0.271870476622
ACH-000163,0.18549022798
ACH-000167,-0.0517144167234
ACH-000168,0.0800831977413
ACH-000169,0.0473048029246
ACH-000178,0.133887301352
ACH-000182,0.272249578305
ACH-000183,0.022090707034999997
ACH-000188,0.17852768709199998
ACH-000189,-0.42201923949500003
ACH-000190,0.242770944174
ACH-000198,0.043506672786999996
ACH-000204,0.202581743569
ACH-000206,0.00335889263258
ACH-000207,0.0267630949335
ACH-000211,0.125158888586
ACH-000215,0.147180496582
ACH-000221,0.177270539151
ACH-000222,0.402496610076
ACH-000223,0.0410620429196
ACH-000226,0.00740066856759
ACH-000227,0.22507858810400003
ACH-000228,0.0213417412989
ACH-000231,0.07841480698310001
ACH-000232,0.0508629716436
ACH-000233,0.20802964218699999
ACH-000234,0.133766201701
ACH-000235,0.195667539812
ACH-000237,0.0113062426481
ACH-000238,0.19120214824200002
ACH-000243,0.125900029977
ACH-000244,0.0738066717718
ACH-000246,0.142280137323
ACH-000248,0.23610522893199998
ACH-000250,0.07277326446650001
ACH-000251,0.18358276790800002
ACH-000253,0.132112428016
ACH-000255,0.164493332056
ACH-000256,0.0705125070307
ACH-000257,0.177706746738
ACH-000258,0.44045979010499997
ACH-000259,0.110871794099
ACH-000260,0.152253591923
ACH-000261,0.0991853960884
ACH-000262,0.18572181011100003
ACH-000263,-0.076122434973
ACH-000264,0.0437405516017
ACH-000265,0.303445228266
ACH-000266,0.117648000194
ACH-000272,0.13355054991100002
ACH-000273,0.0894839491413
ACH-000274,0.167569005348
