,ESRRA (2101)
ACH-000004,-0.150550148962
ACH-000007,-0.534821107076
ACH-000009,0.0152433472468
ACH-000011,-0.45474476436800004
ACH-000012,-0.6508620315079999
ACH-000013,-0.200062211069
ACH-000014,-0.267333879424
ACH-000015,-0.45487691996299995
ACH-000017,-0.175877042357
ACH-000018,-0.269236698614
ACH-000019,0.0206062329994
ACH-000021,-0.221187262159
ACH-000022,-0.252221747881
ACH-000025,-0.19154416390700002
ACH-000028,-0.203119066924
ACH-000030,-0.330275130795
ACH-000035,-0.337365251309
ACH-000036,-0.226146398501
ACH-000037,-0.505647076392
ACH-000039,-0.363632143592
ACH-000040,-0.197093963455
ACH-000041,-0.42039996307899996
ACH-000042,-0.451556793894
ACH-000045,-0.0815603991182
ACH-000047,-0.553658975033
ACH-000052,-0.513785687779
ACH-000053,0.025334387963200002
ACH-000054,-0.182933913353
ACH-000055,-0.23960703850900003
ACH-000060,-0.626564935488
ACH-000067,-0.361043104384
ACH-000070,-0.326073064569
ACH-000075,-0.728873206126
ACH-000078,-0.234038084916
ACH-000082,-0.416058614261
ACH-000085,-0.420193557634
ACH-000086,-0.569612190853
ACH-000087,-0.520621672551
ACH-000092,-0.5012098990789999
ACH-000095,-0.402024303751
ACH-000097,-0.150985205014
ACH-000098,-0.35120487800399997
ACH-000099,-0.177432222745
ACH-000108,-0.544224925609
ACH-000113,-0.604438488522
ACH-000115,-0.479902714021
ACH-000116,-0.353945124491
ACH-000118,-0.45304557487499997
ACH-000120,-0.428052599613
ACH-000123,-0.32826938792800003
ACH-000127,-0.278503529604
ACH-000128,-0.0643489788512
ACH-000132,-0.44080815181599997
ACH-000133,-0.250986429886
ACH-000137,-0.322590606192
ACH-000138,-0.460759664108
ACH-000142,-0.46878769492399996
ACH-000143,-0.30761086704999996
ACH-000146,-0.254431861085
ACH-000148,-0.33581083723099997
ACH-000150,-0.48213222118
ACH-000152,-0.392815679688
ACH-000153,-0.505341926968
ACH-000159,-0.345376419965
