,PLCD1 (5333)
ACH-000004,-0.195917211572
ACH-000007,0.0010524902515700002
ACH-000009,-0.23952961475900003
ACH-000011,-0.100186337492
ACH-000012,-0.202176632171
ACH-000013,-0.180677077311
ACH-000014,-0.369759305358
ACH-000015,-0.447357461909
ACH-000017,-0.23151955029899998
ACH-000018,-0.08660415912410001
ACH-000019,-0.0395623467938
ACH-000021,-0.259050399085
ACH-000022,-0.399065700638
ACH-000025,-0.135542889452
ACH-000028,-0.047725909916500005
ACH-000030,-0.18474559888599998
ACH-000035,-0.16993693240600002
ACH-000036,-0.0426041720658
ACH-000037,-0.133503311328
ACH-000039,-0.0142822343609
ACH-000040,0.0672973207321
ACH-000041,-0.023345489818099998
ACH-000042,-0.331870558117
ACH-000045,-0.220753982656
ACH-000047,-0.203410269454
ACH-000052,-0.0019750760861
ACH-000053,-0.165551800097
ACH-000054,-0.121229694726
ACH-000055,-0.385132730108
ACH-000060,-0.21503962153499998
ACH-000067,-0.344157832429
ACH-000070,-0.075965944973
ACH-000075,-0.380327076268
ACH-000078,-0.19439202242400003
ACH-000082,0.118128056829
ACH-000085,-0.31645117237
ACH-000086,-0.102157920883
ACH-000087,-0.18351519805799998
ACH-000092,-0.18363301660700002
ACH-000095,0.0119925385932
ACH-000097,-0.141497541621
ACH-000098,-0.203527524633
ACH-000099,-0.164976103748
ACH-000108,-0.0808065478284
ACH-000113,-0.223310498475
ACH-000115,-0.0579556888901
ACH-000116,-0.218222745108
ACH-000118,-0.239855641076
ACH-000120,-0.09781408743989999
ACH-000123,-0.167190476737
ACH-000127,-0.086478866798
ACH-000128,-0.226868653263
ACH-000132,-0.205930654934
ACH-000133,-0.0671624080008
ACH-000137,-0.0710066700687
ACH-000138,-0.266547091885
ACH-000142,-0.25955280501899997
ACH-000143,-0.20568607934099997
ACH-000146,-0.147691791861
ACH-000148,-0.18999220525899999
ACH-000150,-0.371618427924
ACH-000152,-0.24269885
ACH-000153,-0.386578141194
ACH-000159,-0.190887711371
ACH-000160,-0.410322245095
ACH-000163,-0.173608084937
ACH-000167,0.0315339913126
ACH-000168,-0.260906111298
ACH-000169,-0.0650167018249
ACH-000178,-0.04478833952669999
ACH-000182,-0.0140481553535
ACH-000183,-0.200224212002
ACH-000188,-0.390190866154
ACH-000189,-0.314756690066
ACH-000190,-0.131459902599
ACH-000198,-0.116492639769
ACH-000204,-0.0383331921847
ACH-000206,-0.13266054706299998
ACH-000207,-0.31143593510699996
ACH-000211,-0.268852337563
ACH-000215,-0.0847748121734
ACH-000221,-0.46636606466799996
ACH-000222,-0.36068895485
ACH-000223,-0.0745676427634
ACH-000226,-0.10736877893999999
ACH-000227,-0.218420404274
ACH-000228,-0.225230903499
ACH-000231,-0.289583482709
ACH-000232,-0.172478967168
ACH-000233,-0.10605373742
ACH-000234,-0.23540872569200003
ACH-000235,-0.22493981163000001
ACH-000237,-0.109163130618
ACH-000238,-0.343926153402
ACH-000243,-0.21307895190200002
ACH-000244,0.10980845046700001
ACH-000246,-0.176462631979
ACH-000248,-0.396150048471
ACH-000250,-0.30735816905200003
ACH-000251,-0.404374639028
ACH-000253,-0.223585874992
ACH-000255,-0.194023472187
ACH-000256,-0.107425664909
ACH-000257,-0.0780014383641
ACH-000258,0.133602623005
ACH-000259,-0.117311173607
ACH-000260,-0.045339496216199995
ACH-000261,-0.155873362537
ACH-000262,-0.0396214707014
ACH-000263,-0.281829590063
ACH-000264,-0.07042140819360002
ACH-000265,-0.232912691111
ACH-000266,-0.23865112489999998
ACH-000272,-0.25439784492199996
ACH-000273,-0.101915033572
ACH-000274,-0.33332146217799996
ACH-000277,-0.134279899515
ACH-000278,-0.033881486597299997
ACH-000279,-0.0711187169913
ACH-000280,-0.357472588035
ACH-000281,-0.40531920253200004
