,ELOF1 (84337)
ACH-000004,-0.690506630052
ACH-000007,-0.41691187728
ACH-000009,-0.601046396034
ACH-000011,-0.365031091846
ACH-000012,-0.46219087017399996
ACH-000013,-0.797835123692
ACH-000014,-0.548786683273
ACH-000015,-0.456439110054
ACH-000017,-0.548984286545
ACH-000018,-0.582763492903
ACH-000019,-0.8391586374500001
ACH-000021,-0.621024740309
ACH-000022,-0.125622779177
ACH-000025,-0.633607385971
ACH-000028,-0.553859997665
ACH-000030,-0.36329837910400004
ACH-000035,-0.550315584327
ACH-000036,-0.366279336617
ACH-000037,-0.392963765308
ACH-000039,-0.518890110573
ACH-000040,-0.5122760784570001
ACH-000041,-0.28999385136399997
ACH-000042,-0.0638858366424
ACH-000045,-0.21821575836100002
ACH-000047,-0.26574420448
ACH-000052,-0.59850336225
ACH-000053,-0.436209424653
ACH-000054,-0.0234106986597
ACH-000055,-0.828056372564
ACH-000060,-0.5504303834100001
ACH-000067,-0.414284510273
ACH-000070,-0.708822015213
ACH-000075,-0.37033203667
ACH-000078,-0.228526589624
ACH-000082,-0.27609187512600003
ACH-000085,-0.684321160869
ACH-000086,-0.121835853846
ACH-000087,-0.44916850682400006
ACH-000092,-0.490767080273
ACH-000095,-0.198107377199
ACH-000097,-0.281973666444
ACH-000098,-0.164394634684
ACH-000099,-0.415949696391
ACH-000108,-0.49996730838500003
ACH-000113,-0.487530034456
ACH-000115,-0.603081172966
ACH-000116,-0.648692437503
ACH-000118,-0.41093753409999995
ACH-000120,-0.359346518261
ACH-000123,-0.610420514747
ACH-000127,-0.453980916738
ACH-000128,-0.535043120269
ACH-000132,-0.506799308724
ACH-000133,-0.46087800276999996
ACH-000137,-0.410128920295
ACH-000138,-0.334690389049
ACH-000142,-0.40121647516099995
ACH-000143,-0.249239749596
ACH-000146,0.036331071608000004
ACH-000148,-0.27406510139199997
ACH-000150,-0.428410570147
ACH-000152,-0.0163965741389
ACH-000153,-0.627832421751
ACH-000159,-0.573249090909
ACH-000160,-0.42780123409000004
ACH-000163,-0.149730318744
ACH-000167,-0.12468351893400001
ACH-000168,0.00980563571811
ACH-000169,-0.0571793472987
ACH-000178,-0.633685225925
ACH-000182,-0.172167075536
ACH-000183,-0.560335797628
ACH-000188,-0.849094270689
ACH-000189,-0.525647663974
ACH-000190,-0.40878407678900003
ACH-000198,-0.658675106424
ACH-000204,-0.7883051390350001
ACH-000206,-0.311214201407
ACH-000207,-0.304639254331
ACH-000211,-0.577386108751
ACH-000215,-0.636462170974
ACH-000221,-0.10259676842700001
ACH-000222,-0.263985093842
ACH-000223,-0.338098904426
ACH-000226,-0.53034416218
ACH-000227,-0.46357561306
ACH-000228,-0.572730813417
ACH-000231,-0.164593709887
ACH-000232,-0.5807071415680001
ACH-000233,-0.987986835175
ACH-000234,-0.450795063889
ACH-000235,-0.30681469381
ACH-000237,-0.45793708137199995
ACH-000238,-0.36222108527900004
ACH-000243,-0.14821458212400002
ACH-000244,-0.162153639942
ACH-000246,-0.6789566317479999
ACH-000248,-0.810552421375
ACH-000250,-0.5011440072119999
ACH-000251,-0.829502398765
ACH-000253,-0.40832810458400004
ACH-000255,-0.209088008124
ACH-000256,-0.607003936115
ACH-000257,-0.554570922906
ACH-000258,-0.318757931083
ACH-000259,-0.496961661449
ACH-000260,-0.616444773776
ACH-000261,-0.45549404758100004
ACH-000262,-0.17580988929000002
ACH-000263,-0.47288451479800003
ACH-000264,-0.316148673712
ACH-000265,-0.294252848648
ACH-000266,-0.040658226322900004
ACH-000272,-0.30879437045200003
ACH-000273,-0.325378909657
ACH-000274,-0.202320125634
ACH-000277,-0.324746116244
ACH-000278,-0.530952107207
ACH-000279,-0.740365490474
ACH-000280,0.00956838319594
ACH-000281,-0.310316577988
ACH-000288,-0.26009780984299996
ACH-000291,-0.466874680383
ACH-000293,-0.5521758901680001
ACH-000294,-0.48806278889
ACH-000295,-0.6579703625
ACH-000296,-0.6099527617399999
ACH-000302,-0.504230806101
ACH-000304,-0.822867565173
ACH-000307,-0.242855519744
ACH-000308,-0.7224189356049999
ACH-000310,-0.33608829778899996
ACH-000311,-0.10892720621200001
ACH-000312,-0.439809774123
ACH-000315,-0.575925406903
ACH-000316,-0.509783426052
ACH-000317,-0.348530314363
ACH-000318,-0.377554816048
ACH-000319,-0.41645600635499996
ACH-000320,0.0148638036721
ACH-000322,-0.40256299379199995
ACH-000323,-0.5143744516759999
ACH-000324,-0.140118069972
ACH-000329,-0.0159771247955
ACH-000330,-0.5227704979
ACH-000331,-0.483880297205
ACH-000332,-0.091600750598
ACH-000334,-0.97378545844
ACH-000335,-0.420881212496
ACH-000336,-0.588730839609
ACH-000337,-0.397318589138
ACH-000339,-0.921471916774
ACH-000341,-0.6690147156180001
ACH-000348,-0.492880381974
ACH-000350,-0.193889852789
ACH-000352,-0.84514239873
ACH-000356,-0.44418222656499995
ACH-000361,-0.658098758099
ACH-000362,-0.363646182467
ACH-000363,-0.68145473624
ACH-000364,-0.237077060093
ACH-000365,-0.634682632361
ACH-000366,-0.6593274585710001
ACH-000368,-0.42091261043300005
ACH-000374,-0.647300297206
ACH-000375,-0.594882622122
ACH-000376,-0.219183835631
ACH-000381,-0.600547863231
ACH-000383,-0.29242316512
ACH-000387,-0.39450932626999996
ACH-000389,-0.338645365189
ACH-000390,-0.273546265342
ACH-000393,-0.615883190024
ACH-000395,-0.5597206687640001
ACH-000397,-0.42857044623499996
ACH-000401,-0.527446720011
ACH-000402,-1.00287170965
ACH-000403,-0.14736492949000002
ACH-000404,-0.544123299065
ACH-000406,-0.385996397955
ACH-000407,-0.35849079058
ACH-000408,-0.761807204259
ACH-000410,-0.472298889876
ACH-000411,-0.57599759445
ACH-000414,-0.321896204576
ACH-000415,-0.494963614941
ACH-000416,-0.367110651745
ACH-000420,-0.24579524567699998
ACH-000421,-0.634299932368
ACH-000424,-0.551317492209
ACH-000425,-0.49394794223800004
ACH-000426,-0.564525699722
ACH-000427,-0.039734378394
ACH-000433,-0.751524786171
ACH-000436,-0.680408600301
ACH-000444,-0.40598282288000004
ACH-000445,-0.578384387197
ACH-000448,-0.7402374215459999
ACH-000450,-0.37339336029700004
ACH-000452,-0.451502782803
ACH-000454,-0.432131995482
ACH-000458,-0.619508880125
ACH-000459,-1.16740153737
ACH-000460,-0.756887078919
ACH-000461,-0.488956506417
ACH-000463,-0.573509826836
ACH-000464,-0.26539543483399997
ACH-000466,-0.291240868465
ACH-000467,-0.302132798785
ACH-000468,-0.5741068575180001
ACH-000469,-0.407908731826
ACH-000470,-0.11928365545900001
ACH-000471,-0.00933863196452
ACH-000472,-0.606083773115
ACH-000473,-0.12519060192700002
ACH-000475,-0.27758049528900003
ACH-000476,-0.165327423317
ACH-000477,-0.456514865695
ACH-000480,-0.442081949909
ACH-000481,-0.1820881489
ACH-000483,-0.538000949227
ACH-000484,-0.547540813642
ACH-000485,-0.352854953658
ACH-000486,-0.601165278922
ACH-000487,0.0222829578245
ACH-000488,-0.525067239772
ACH-000490,-0.539437208976
ACH-000491,-0.335821806535
ACH-000495,-0.583337035993
