,RXRA (6256)
ACH-000004,-0.163024534396
ACH-000007,-0.472898127169
ACH-000009,-0.46783242915299994
ACH-000011,-0.522138819568
ACH-000012,-0.314509315806
ACH-000013,-0.28587071490800003
ACH-000014,0.024779642958299996
ACH-000015,-0.200163187882
ACH-000017,-0.533852264626
ACH-000018,-0.619659703058
ACH-000019,-0.18238877512899998
ACH-000021,-0.103662578398
ACH-000022,-0.49247124480099996
ACH-000025,-0.258383827488
ACH-000028,-0.171456106198
ACH-000030,-0.252841967314
ACH-000035,-0.08271433962180001
ACH-000036,-0.463540293301
ACH-000037,-0.28424323660100004
ACH-000039,0.0076361530522799995
ACH-000040,-0.146968561025
ACH-000041,-0.144972582655
ACH-000042,-0.8193148138699999
ACH-000045,-0.5466819440540001
ACH-000047,-0.367434950052
ACH-000052,-0.48931012154299997
ACH-000053,-0.21709947744199998
ACH-000054,-0.331885877421
ACH-000055,-0.174884578869
ACH-000060,-0.29286385517200003
ACH-000067,-0.205374838615
ACH-000070,-0.0268957470499
ACH-000075,-0.187408223039
ACH-000078,-0.055089431475099995
ACH-000082,-0.129176979841
ACH-000085,-0.548246319925
ACH-000086,-0.325979530368
ACH-000087,-0.14521274794800001
ACH-000092,-0.07450253558730001
ACH-000095,-0.137717760402
ACH-000097,-0.47353715168399996
ACH-000098,-0.54111077034
ACH-000099,-0.028127073904
ACH-000108,-0.450872856646
ACH-000113,-0.18934937824700002
ACH-000115,-0.6593895421320001
ACH-000116,-0.11758392806199999
ACH-000118,-0.6220916857100001
ACH-000120,-0.213324425865
ACH-000123,-0.12057576682299999
ACH-000127,-0.296495993542
ACH-000128,-0.317165433757
ACH-000132,-0.428600312416
ACH-000133,-0.192133327461
ACH-000137,-0.291230196772
ACH-000138,-0.33814806841399997
ACH-000142,-0.7188066402459999
ACH-000143,-0.239567069029
ACH-000146,-0.460667691546
ACH-000148,-0.176847110315
ACH-000150,-0.318414138716
ACH-000152,-0.057166961565300004
ACH-000153,-0.775853902388
ACH-000159,-0.340046673777
ACH-000160,-0.601644610876
ACH-000163,-0.307607831194
ACH-000167,-0.27943531563499996
ACH-000168,-0.18250193402800002
ACH-000169,-0.20708587026500003
ACH-000178,-0.525130214138
ACH-000182,-0.468972794255
ACH-000183,-0.17123599175999998
ACH-000188,-0.30611086738800003
ACH-000189,-0.20619537473400001
ACH-000190,-0.174554775299
ACH-000198,-0.45545842664499997
ACH-000204,-0.127849759496
ACH-000206,-0.342695316552
ACH-000207,-0.407577080685
ACH-000211,-0.236882812768
ACH-000215,-0.217354641045
ACH-000221,-0.222385420513
ACH-000222,-0.160603213354
