,PTGES (9536)
ACH-000004,-0.15198545374800002
ACH-000007,0.063926758591
ACH-000009,-0.254571843147
ACH-000011,0.0933062371245
ACH-000012,-0.10906585082499999
ACH-000013,-0.163163860681
ACH-000014,0.042262082819
ACH-000015,-0.19482827583299997
ACH-000017,0.0668541641918
ACH-000018,-0.188775605238
ACH-000019,-0.22349703531999998
ACH-000021,-0.240021820148
ACH-000022,-0.142521714597
ACH-000025,0.125358180218
ACH-000028,-0.0769005096585
ACH-000030,-0.137355886555
ACH-000035,0.058350837839900006
ACH-000036,0.05251710521940001
ACH-000037,0.0170277010965
ACH-000039,-0.145011890472
ACH-000040,-0.022711334997099996
ACH-000041,-0.293922725027
ACH-000042,-0.052653835539800006
ACH-000045,-0.0653268423568
ACH-000047,-0.0435611919855
ACH-000052,-0.177673684204
ACH-000053,-0.0477237749915
ACH-000054,-0.08392480118069999
ACH-000055,-0.0751347335526
ACH-000060,0.017404816407
ACH-000067,-0.0934664015776
ACH-000070,0.158774993383
ACH-000075,0.19658288868
ACH-000078,-0.0939282487085
ACH-000082,-0.0702738599295
ACH-000085,-0.10864669798800002
ACH-000086,0.0898862913356
ACH-000087,-0.31458878768000004
ACH-000092,-0.028207939840700004
ACH-000095,-0.012577700493299999
ACH-000097,-0.0450570213139
ACH-000098,0.08530917646389999
ACH-000099,-0.120113571168
ACH-000108,-0.301606301679
ACH-000113,-0.08799144195219999
ACH-000115,-0.15641754822599999
ACH-000116,-0.158536494835
ACH-000118,-0.184949689102
ACH-000120,-0.0655858335122
ACH-000123,-0.08291659402439999
ACH-000127,-0.029887020054900005
ACH-000128,-0.0939482660111
ACH-000132,0.0256511760036
ACH-000133,0.0739641392973
ACH-000137,-0.110363046262
ACH-000138,-0.26302048867899996
ACH-000142,-0.191251643608
ACH-000143,-0.10618588832699999
ACH-000146,-0.244636320251
ACH-000148,-0.00195161745201
ACH-000150,-0.0438855424548
ACH-000152,0.0305638724562
ACH-000153,0.0026593881794699996
ACH-000159,-0.183094502001
ACH-000160,-0.0028851977120199998
ACH-000163,-0.216958373243
ACH-000167,-0.107818247638
ACH-000168,-0.0562684696495
ACH-000169,-0.277836439271
ACH-000178,-0.07783531311769999
ACH-000182,-0.049351930082400006
ACH-000183,-0.138157437464
ACH-000188,-0.050454977759099996
ACH-000189,-0.0496076281435
ACH-000190,-0.014434766980399999
ACH-000198,-0.0840247680133
ACH-000204,-0.21992907695099997
ACH-000206,-0.09892452180950001
ACH-000207,-0.19033487240699998
ACH-000211,-0.056362621839399996
ACH-000215,-0.195369686633
ACH-000221,-0.20036803297400002
ACH-000222,-0.147974268347
ACH-000223,-0.10867162361199999
ACH-000226,-0.0638007077054
ACH-000227,-0.041742753823300005
ACH-000228,0.0225567338429
ACH-000231,-0.012380134666
ACH-000232,-0.214454710532
ACH-000233,-0.0448778870709
ACH-000234,-0.058849671043
ACH-000235,-0.162361694852
ACH-000237,-0.154874958595
ACH-000238,0.00608262661509
ACH-000243,-0.09493379114489998
ACH-000244,-0.36404585533399997
ACH-000246,-0.243952990531
ACH-000248,-0.127620456376
ACH-000250,-0.037712753555400005
ACH-000251,-0.173435268774
ACH-000253,-0.08391579573899999
ACH-000255,-0.09490727009700001
ACH-000256,-0.18288472403099998
ACH-000257,-0.16713705187300001
ACH-000258,-0.21089870015700002
ACH-000259,-0.27763105637400004
ACH-000260,-0.0176559455161
ACH-000261,-0.0823066230381
ACH-000262,-0.34460590325400003
ACH-000263,-0.231429871728
ACH-000264,-0.0663552606737
