,HS3ST2 (9956)
ACH-000004,0.415122677039
ACH-000007,0.162594310302
ACH-000009,0.22021362393899999
ACH-000011,0.020661746127799998
ACH-000012,0.10201935509099999
ACH-000013,-0.157402001529
ACH-000014,-0.052844960660199995
ACH-000015,-0.0605832059459
ACH-000017,-0.0297738740247
ACH-000018,0.267507796052
ACH-000019,-0.08099122162030001
ACH-000021,0.104837653817
ACH-000022,-0.0513056539272
ACH-000025,-0.006378280622470001
ACH-000028,0.19164712527
ACH-000030,0.132600133336
ACH-000035,0.014829829513299999
ACH-000036,0.12270870683900001
ACH-000037,-0.0260466324352
ACH-000039,0.29467687616
ACH-000040,0.180759275878
ACH-000041,0.0354881694571
ACH-000042,0.0147761715544
ACH-000045,0.20273784959600002
ACH-000047,-0.187169949452
ACH-000052,0.0547851603424
ACH-000053,0.155228372048
ACH-000054,-0.0618005082751
ACH-000055,0.0300636333508
ACH-000060,0.207166701581
ACH-000067,0.01227416625
ACH-000070,-0.014989230418200002
ACH-000075,0.09164640502669999
ACH-000078,0.293553078842
ACH-000082,0.0903684038985
ACH-000085,0.0191627829075
ACH-000086,0.08886764038389999
ACH-000087,0.011159151355299999
ACH-000092,-0.104898285472
ACH-000095,-0.00689971215396
ACH-000097,0.10821704813100001
ACH-000098,-0.08791823364819999
ACH-000099,0.14123718859200002
ACH-000108,0.0911676649869
ACH-000113,0.051878089879099996
ACH-000115,-0.0321401618087
ACH-000116,0.0155791728474
ACH-000118,-0.043069448404
ACH-000120,-0.006052592011580001
ACH-000123,0.155586624716
ACH-000127,-0.130111818395
ACH-000128,0.18637723214899998
ACH-000132,-0.162301204602
ACH-000133,0.0807992432492
ACH-000137,-0.146061998813
ACH-000138,0.14845875663
ACH-000142,0.0983389869093
ACH-000143,-0.19495303152899998
ACH-000146,0.142752957413
ACH-000148,0.0481946276239
ACH-000150,0.218799734438
ACH-000152,0.12070911369699999
ACH-000153,0.164520306916
ACH-000159,-0.0558222069164
ACH-000160,0.050549484333300004
ACH-000163,0.28327529434500004
ACH-000167,0.0472800815586
ACH-000168,0.276645272265
