,HNRNPC (3183)
ACH-000004,-0.748121174674
ACH-000007,-1.0695126660299998
ACH-000009,-0.997235544619
ACH-000011,-1.07862275069
ACH-000012,-1.00271744179
ACH-000013,-1.0531386562799998
ACH-000014,-1.13055421665
ACH-000015,-0.779661945889
ACH-000017,-0.7883281299770001
ACH-000018,-1.04440642515
ACH-000019,-0.835039972377
ACH-000021,-0.783221591346
ACH-000022,-0.8348451579199999
ACH-000025,-1.10708551244
ACH-000028,-1.13562565067
ACH-000030,-1.13981583069
ACH-000035,-1.10362071976
ACH-000036,-0.887488840622
ACH-000037,-1.2769001015700001
ACH-000039,-0.982042450841
ACH-000040,-0.9401858627959999
ACH-000041,-1.10796162826
ACH-000042,-0.635980330043
ACH-000045,-1.1799080078200002
ACH-000047,-1.00399421636
ACH-000052,-0.767338758204
ACH-000053,-0.967985589066
ACH-000054,-0.996491736961
ACH-000055,-0.859261238479
ACH-000060,-0.885821237653
ACH-000067,-0.9087802902
ACH-000070,-0.741008229788
ACH-000075,-1.05418462305
ACH-000078,-0.8317212099500001
ACH-000082,-1.02642847112
ACH-000085,-1.2230239634
ACH-000086,-1.0137012431999999
ACH-000087,-1.07775023682
ACH-000092,-0.779847045138
ACH-000095,-1.02571267686
ACH-000097,-0.9990032944889999
ACH-000098,-0.8379856222200001
ACH-000099,-0.7711611320880001
ACH-000108,-1.0519641637100001
ACH-000113,-1.0265248905600002
ACH-000115,-0.986944317641
ACH-000116,-0.7590134235870001
ACH-000118,-0.891169647802
ACH-000120,-1.00631365775
ACH-000123,-1.03816228969
ACH-000127,-1.08085056034
ACH-000128,-1.06473427555
ACH-000132,-1.11710686691
ACH-000133,-0.8306556805449999
ACH-000137,-1.2479120209
ACH-000138,-0.723567682357
ACH-000142,-0.9639562230550001
ACH-000143,-0.906438699411
ACH-000146,-0.808297819825
ACH-000148,-0.8570832238930001
ACH-000150,-1.00056905039
ACH-000152,-1.13573194558
ACH-000153,-0.7814739256659999
ACH-000159,-0.915072330552
ACH-000160,-0.549393243432
ACH-000163,-0.7790106609909999
ACH-000167,2.36297090818
ACH-000168,-0.7777167536570001
ACH-000169,-0.790222845099
ACH-000178,-0.974624894566
ACH-000182,-0.865261929516
ACH-000183,-1.00169868456
ACH-000188,-0.8049168684289999
ACH-000189,-1.09033093605
ACH-000190,-0.791703533521
ACH-000198,-1.14071806535
ACH-000204,-0.993201494261
ACH-000206,-0.876436479557
ACH-000207,-0.704798914825
ACH-000211,-0.948384940152
ACH-000215,-0.782819952376
ACH-000221,-0.7725387006550001
ACH-000222,-0.795896233708
ACH-000223,-1.0236334194299999
ACH-000226,-1.18189460687
ACH-000227,-0.9948142252590001
