,AUTS2 (26053)
ACH-000004,-0.324296830268
ACH-000007,-0.115098426856
ACH-000009,0.0902554516175
ACH-000011,-0.14032923482999998
ACH-000012,0.0549243278593
ACH-000013,-0.0491033148921
ACH-000014,-0.233075911153
ACH-000015,-0.0360922860241
ACH-000017,0.056495594666300004
ACH-000018,0.100565410301
ACH-000019,-0.211428363637
ACH-000021,-0.271313679509
ACH-000022,-0.160672267324
ACH-000025,-0.22786671312100001
ACH-000028,-0.174399104824
ACH-000030,0.0167331304333
ACH-000035,-0.187443280739
ACH-000036,-0.040489525859900004
ACH-000037,0.109010423901
ACH-000039,0.188790458208
ACH-000040,-0.331897584922
ACH-000041,-0.21362576554
ACH-000042,-0.213886919135
ACH-000045,0.08914522830710002
ACH-000047,0.0593695821462
ACH-000052,-0.0173472310514
ACH-000053,0.136500594467
ACH-000054,-0.107948746579
ACH-000055,-0.3143925496
ACH-000060,-0.323746310605
ACH-000067,-0.18369370710299998
ACH-000070,-0.40663947445200005
ACH-000075,-0.318899934283
ACH-000078,-0.0853303980948
ACH-000082,-0.26551779342500004
ACH-000085,-0.04286471231919999
ACH-000086,-0.024016823586599997
ACH-000087,-0.0808009190075
ACH-000092,-0.203616311593
ACH-000095,-0.17885086743099998
ACH-000097,-0.215387764918
ACH-000098,-0.32522257272
ACH-000099,-0.23154632776599998
ACH-000108,-0.0845541164931
ACH-000113,-0.199914678919
ACH-000115,-0.0735787153923
ACH-000116,-0.008472762855909999
ACH-000118,-0.266034649518
ACH-000120,0.127110806507
ACH-000123,-0.09212300007410001
ACH-000127,-0.126613960966
ACH-000128,-0.32807083727200004
ACH-000132,-0.18556186587499998
ACH-000133,-0.0515500879528
ACH-000137,-0.0899678899555
ACH-000138,-0.00924917949152
ACH-000142,-0.10290314254100001
ACH-000143,0.0574005187758
ACH-000146,0.0486826188428
ACH-000148,-0.24665055193000004
ACH-000150,-0.03492087428519999
ACH-000152,-0.279679731201
ACH-000153,-0.195895520922
ACH-000159,-0.29905213489300003
ACH-000160,-0.122030499525
ACH-000163,0.172072381229
ACH-000167,-0.141287617969
ACH-000168,0.09067724902270001
ACH-000169,-0.23328763661899998
ACH-000178,-0.265116334978
ACH-000182,-0.188553336495
ACH-000183,-0.22469481671900002
ACH-000188,-0.265325952468
ACH-000189,-0.323612270418
ACH-000190,-0.0595732872845
ACH-000198,-0.213143453211
ACH-000204,-0.247139394396
ACH-000206,-0.18142269893100002
ACH-000207,-0.160150225253
ACH-000211,-0.255501633828
ACH-000215,-0.14728202796700002
ACH-000221,-0.26847932135
ACH-000222,-0.156012557523
ACH-000223,-0.00535476661727
ACH-000226,-0.24344003716200002
ACH-000227,-0.477999727808
ACH-000228,-0.00953665249645
ACH-000231,-0.080910226523
ACH-000232,-0.21376640959899998
ACH-000233,-0.06549360658890001
ACH-000234,-0.323255276872
ACH-000235,-0.152196463186
ACH-000237,-0.234932292549
ACH-000238,-0.0335410616921
ACH-000243,-0.121359375887
ACH-000244,-0.0439407703632
ACH-000246,-0.242040375406
ACH-000248,0.13021033928
ACH-000250,-0.14717333344699998
ACH-000251,-0.32049241890999997
ACH-000253,-0.103262671028
ACH-000255,-0.23298851393199999
ACH-000256,-0.0401381228325
ACH-000257,-0.260358655042
ACH-000258,-0.39958809520099997
ACH-000259,-0.17345971188200002
ACH-000260,-0.00454147056264
ACH-000261,-0.178501230599
ACH-000262,-0.208770928909
ACH-000263,0.372015685237
ACH-000264,-0.168813072093
ACH-000265,-0.109256268917
ACH-000266,-0.22860326736900002
ACH-000272,-0.290748733564
ACH-000273,-0.0382211608189
ACH-000274,-0.261299475568
ACH-000277,-0.0960350130527
ACH-000278,-0.188304389005
ACH-000279,-0.10205150925699999
ACH-000280,-0.14159229219799999
ACH-000281,-0.13855900500399998
ACH-000288,-0.195738817112
ACH-000291,-0.060533252346599994
ACH-000293,-0.310500012526
ACH-000294,-0.00108080587318
ACH-000295,0.112224693443
ACH-000296,-0.167530173939
ACH-000302,-0.232576704006
ACH-000304,-0.688428231869
ACH-000307,-0.203179303942
ACH-000308,-0.31059801774900003
ACH-000310,-0.44025418931599997
ACH-000311,0.0137319315056
ACH-000312,-0.187969310868
ACH-000315,-0.23225649298
ACH-000316,-0.031815200471999996
ACH-000317,-0.5145252328369999
ACH-000318,-0.166852348329
ACH-000319,-0.35407026850699996
ACH-000320,-0.16993803221599998
ACH-000322,-0.0527539574888
ACH-000323,-0.149335782627
ACH-000324,-0.163245194941
ACH-000329,-0.048971300043199995
