,TBC1D30 (23329)
ACH-000004,-0.11311369265599999
ACH-000007,-0.093782046196
ACH-000009,-0.025107942667299998
ACH-000011,-0.150925467653
ACH-000012,-0.206667634089
ACH-000013,-0.13141163887
ACH-000014,-0.202525297158
ACH-000015,-0.111712083143
ACH-000017,0.0173242637574
ACH-000018,-0.109951005976
ACH-000019,0.388934920211
ACH-000021,-0.060869896044600004
ACH-000022,-0.16130042571699998
ACH-000025,-0.18835627852899997
ACH-000028,-0.20175878823899998
ACH-000030,-0.000552685532235
ACH-000035,-0.0606578206174
ACH-000036,-0.0935827390644
ACH-000037,-0.11834395959
ACH-000039,-0.00624467600807
ACH-000040,-0.256662647274
ACH-000041,-0.0551059846392
ACH-000042,-0.059746355770500005
ACH-000045,-0.043798132251199995
ACH-000047,-0.21706997980099998
ACH-000052,-0.052019922032500006
ACH-000053,0.013295725771299999
ACH-000054,-0.100662685087
ACH-000055,0.17063357163600001
ACH-000060,0.0715202077168
ACH-000067,-0.160867722405
ACH-000070,0.115349268357
ACH-000075,-0.06444793981790001
ACH-000078,0.11473539754499999
ACH-000082,-0.25889467715799996
ACH-000085,-0.080023265055
ACH-000086,-0.151646606577
ACH-000087,-0.583829229647
ACH-000092,-0.028025267900900003
ACH-000095,-0.040854770879
ACH-000097,-0.09263589780510001
ACH-000098,-0.0134552963684
ACH-000099,0.10992371228499999
ACH-000108,0.190899479653
ACH-000113,-0.04864541723930001
ACH-000115,-0.104681576545
ACH-000116,-0.20368435458099998
ACH-000118,-0.183058660773
ACH-000120,-0.23197709306699998
ACH-000123,-0.105242745611
ACH-000127,-0.0063247247716899995
ACH-000128,-0.316572305173
ACH-000132,0.151334911094
ACH-000133,-0.162318089448
ACH-000137,-0.271969958129
ACH-000138,-0.111672460325
ACH-000142,-0.10442457625700001
ACH-000143,-0.06913811856089999
ACH-000146,-0.0913784345421
ACH-000148,-0.044942057818599994
ACH-000150,-0.076915283194
ACH-000152,-0.182162870551
ACH-000153,-0.126226051468
ACH-000159,-0.187100394584
ACH-000160,-0.0753451574191
ACH-000163,-0.0316051039706
ACH-000167,-0.312750974268
ACH-000168,-0.157104663038
ACH-000169,-0.012660087258600001
ACH-000178,-0.0661136701425
ACH-000182,-0.102487393221
ACH-000183,0.00187986995724
ACH-000188,-0.111512291731
ACH-000189,-0.243597465336
ACH-000190,-0.0483309698257
ACH-000198,-0.09081240177510001
ACH-000204,0.15434435082599998
ACH-000206,0.0792790671453
ACH-000207,-0.135772213437
ACH-000211,-0.07597298242719999
ACH-000215,-0.038961501135699995
ACH-000221,0.00682413235613
ACH-000222,-0.19206365623100002
ACH-000223,-0.16092394802
ACH-000226,-0.05688613793549999
ACH-000227,-0.259447819812
ACH-000228,-0.0438333727998
ACH-000231,-0.080281540245
ACH-000232,-0.0771379809867
ACH-000233,-0.0280505388967
ACH-000234,-0.119950028027
ACH-000235,-0.17908484443300002
ACH-000237,-0.058876851347699995
ACH-000238,-0.178602477368
ACH-000243,-0.048664926309599996
ACH-000244,-0.16953988007100002
ACH-000246,-0.114515112808
ACH-000248,-0.13572832646500002
ACH-000250,0.023888548745499998
ACH-000251,-0.377599545551
ACH-000253,-0.00035171458393599996
ACH-000255,0.024660498585
ACH-000256,-0.061285316939900004
ACH-000257,0.0679202901578
ACH-000258,-0.0298764543915
ACH-000259,-0.0538569807574
ACH-000260,0.0430540234652
ACH-000261,-0.0847860929638
ACH-000262,-0.0937471224128
ACH-000263,-0.151157458278
ACH-000264,-0.155947294989
ACH-000265,-0.0198635150968
ACH-000266,-0.045606170025000003
ACH-000272,0.059945157475399996
ACH-000273,-0.225868720352
ACH-000274,-0.191142140968
ACH-000277,-0.13674488689
ACH-000278,-0.37545811251
ACH-000279,0.01433395004
ACH-000280,0.0479192415228
ACH-000281,-0.246791194795
ACH-000288,-0.104383998901
ACH-000291,-0.12094021018100001
ACH-000293,0.15856202587999998
ACH-000294,-0.151414556793
ACH-000295,0.224681928489
ACH-000296,-0.0303621339772
ACH-000302,0.0204195502954
ACH-000304,0.0809474553944
ACH-000307,0.0136978206575
ACH-000308,-0.0884444963972
ACH-000310,-0.0503184268892
ACH-000311,-0.130335261784
ACH-000312,0.0714457439458
ACH-000315,0.00153435440894
ACH-000316,0.115648927619
ACH-000317,0.0150136293479
ACH-000318,-0.346293845672
ACH-000319,-0.257749037543
ACH-000320,-0.16816373432700002
ACH-000322,-0.157337832978
ACH-000323,-0.148685231213
ACH-000324,-0.15533624617699998
ACH-000329,-0.147182750644
ACH-000330,-0.190530582857
ACH-000331,-0.0875597000773
ACH-000332,-0.09220829108439998
ACH-000334,-0.185844177422
ACH-000335,-0.29771135621399997
ACH-000336,-0.030613815307
ACH-000337,0.0380055644551
ACH-000339,-0.059041217955300006
ACH-000341,0.10264942564
ACH-000348,-0.14430605207699998
ACH-000350,-0.147689903775
ACH-000352,-0.005874623903569999
ACH-000356,-0.25229126767099996
ACH-000361,-0.265572142907
ACH-000362,-0.0433133138483
ACH-000363,0.083175367127
ACH-000364,-0.252255848896
ACH-000365,-0.1455979325
ACH-000366,-0.140307390626
ACH-000368,-0.119349372109
ACH-000374,-0.0033678476399
ACH-000375,-0.11430960141799999
ACH-000376,0.08212533331289999
ACH-000381,0.018537620993700002
ACH-000383,-0.120642370018
ACH-000387,-0.10673439139699999
ACH-000389,-0.0847949484957
ACH-000390,0.0386332839227
ACH-000393,0.024556041643099998
ACH-000395,-0.017986183728200003
ACH-000397,0.016697567718200003
ACH-000401,-0.299682141089
ACH-000402,-0.0870575347418
ACH-000403,-0.0410101922772
ACH-000404,0.0855721918914
ACH-000406,-0.03759636390169999
ACH-000407,-0.389509910116
ACH-000408,-0.240136158905
ACH-000410,-0.295072384418
ACH-000411,-0.222042370581
ACH-000414,-0.031823441331
ACH-000415,-0.029369084503599995
ACH-000416,-0.09992490034050001
ACH-000420,-0.171412241906
ACH-000421,-0.248346876158
ACH-000424,-0.06148649501069999
ACH-000425,-0.17016418705699998
ACH-000426,0.0934533374463
ACH-000427,-0.09654888653270001
ACH-000433,-0.228586410638
ACH-000436,0.00134002962692
ACH-000444,-0.12848703442700002
ACH-000445,-0.382493475993
ACH-000448,-0.104439415654
ACH-000450,-0.192332945474
ACH-000452,-0.187758235393
ACH-000454,-0.24049573584800002
ACH-000458,-0.18989468669799997
ACH-000459,-0.144773630715
ACH-000460,-0.123856300496
ACH-000461,0.0589446342077
ACH-000463,-0.185110436041
ACH-000464,-0.19468903688499997
ACH-000466,-0.0294196256831
ACH-000467,-0.0791189458123
ACH-000468,-0.022647706621099998
ACH-000469,-0.07346969241689999
ACH-000470,0.015981310606599998
ACH-000471,-0.0748456655514
ACH-000472,-0.15935771477299998
ACH-000473,0.0291376180063
ACH-000475,0.00348447878142
ACH-000476,-0.112134592544
ACH-000477,0.114778113464
ACH-000480,-0.202062808268
ACH-000481,-0.169420283977
ACH-000483,-0.19278542904399998
