,VSIG10L (147645)
ACH-000004,-0.061628858574199995
ACH-000007,-0.230480514423
ACH-000009,-0.122099711679
ACH-000011,-0.142218044691
ACH-000012,-0.15625223597899998
ACH-000013,-0.468509288329
ACH-000014,-0.12493466909800001
ACH-000015,-0.155837023766
ACH-000017,-0.190403651783
ACH-000018,-0.19585446735599998
ACH-000019,-0.49288178843
ACH-000021,-0.163871400925
ACH-000022,-0.338122538925
ACH-000025,-0.061457590698999996
ACH-000028,-0.319880773343
ACH-000030,-0.300487539809
ACH-000035,-0.158977525332
ACH-000036,-0.252736050953
ACH-000037,-0.062312823755
ACH-000039,-0.308731167723
ACH-000040,-0.12699530749000001
ACH-000041,-0.36731383691799996
ACH-000042,-0.0894039090792
ACH-000045,-0.219220760077
ACH-000047,-0.21028298336100001
ACH-000052,-0.346487786794
ACH-000053,-0.17606721939199999
ACH-000054,-0.33789034208200003
ACH-000055,-0.184145791556
ACH-000060,-0.102069352638
ACH-000067,-0.447733248481
ACH-000070,-0.011685205184599999
ACH-000075,-0.19511794638500002
ACH-000078,-0.0553859041685
ACH-000082,-0.110831678902
ACH-000085,-0.282128358017
ACH-000086,-0.271680917545
ACH-000087,-0.327676797578
ACH-000092,-0.28155681997299997
ACH-000095,-0.0631773045661
ACH-000097,-0.294662964071
ACH-000098,-0.223953138101
ACH-000099,-0.251422031753
ACH-000108,-0.303294066468
ACH-000113,-0.0990114577065
ACH-000115,-0.453097031853
ACH-000116,-0.276217732409
ACH-000118,-0.13364498062000002
ACH-000120,-0.119031543892
ACH-000123,-0.18885327283300002
ACH-000127,-0.0999763058112
ACH-000128,-0.122631892862
ACH-000132,-0.07581129870139999
ACH-000133,-0.278207211595
ACH-000137,-0.373901502337
ACH-000138,-0.233025241301
ACH-000142,-0.191679281735
ACH-000143,-0.19042671394000002
ACH-000146,-0.224313238787
ACH-000148,-0.0112760718774
ACH-000150,-0.0911145588865
ACH-000152,-0.348537630631
ACH-000153,-0.306278157799
ACH-000159,-0.21421413461599997
ACH-000160,-0.237458694633
ACH-000163,-0.0193558150892
ACH-000167,-0.154838354705
ACH-000168,-0.08129114229539999
ACH-000169,-0.19794215154300002
ACH-000178,-0.13343886763499999
ACH-000182,-0.436767149074
ACH-000183,-0.09855999467250001
ACH-000188,-0.184923746721
ACH-000189,-0.20971019314199998
