,NSMF (26012)
ACH-000004,0.11946070943
ACH-000007,-0.573339172143
ACH-000009,-0.403169542773
ACH-000011,-0.36209991399700003
ACH-000012,-0.121353566385
ACH-000013,-0.297029150411
ACH-000014,-0.05782786084009999
ACH-000015,-0.243351753343
ACH-000017,-0.119029538946
ACH-000018,-0.188121943893
ACH-000019,-0.29951707223499996
ACH-000021,-0.227879864644
ACH-000022,-0.351144651132
ACH-000025,-0.033211017707599995
ACH-000028,-0.33413718628899997
ACH-000030,-0.17479897597600003
ACH-000035,-0.0640317633916
ACH-000036,-0.298580187556
ACH-000037,-0.227316767909
ACH-000039,-0.0645185396906
ACH-000040,-0.271855394588
ACH-000041,-0.252488839723
ACH-000042,-0.367200675467
ACH-000045,-0.241712283425
ACH-000047,-0.251318843748
ACH-000052,-0.0626846083429
ACH-000053,-0.177825314055
ACH-000054,-0.1693473458
ACH-000055,-0.140406009283
ACH-000060,-0.247831413032
ACH-000067,-0.168086858103
ACH-000070,-0.265393758244
ACH-000075,-0.44555790741000006
ACH-000078,-0.0646748013666
ACH-000082,-0.30410827736400003
ACH-000085,-0.204299387885
ACH-000086,-0.17087782909200003
ACH-000087,-0.332870484472
ACH-000092,-0.197658880849
ACH-000095,-0.134815530549
ACH-000097,-0.14597573364
ACH-000098,-0.0808710545011
ACH-000099,-0.324815511904
ACH-000108,-0.299386132491
ACH-000113,-0.215749080742
ACH-000115,-0.45387381946500005
ACH-000116,-0.20185596415100002
ACH-000118,-0.27771772996399996
ACH-000120,-0.396018323031
ACH-000123,-0.257664054047
ACH-000127,-0.184623667537
ACH-000128,-0.181523267563
ACH-000132,-0.30073817437600003
ACH-000133,-0.041250183945400004
ACH-000137,-0.196876276542
ACH-000138,-0.317846052877
ACH-000142,-0.368544001996
ACH-000143,-0.220930133895
ACH-000146,-0.128915950858
ACH-000148,-0.23147187628899998
ACH-000150,-0.288910330183
ACH-000152,-0.151290781899
ACH-000153,-0.00157206256063
ACH-000159,-0.167157362794
ACH-000160,-0.108032281375
ACH-000163,-0.0910582773798
ACH-000167,-0.128420136777
ACH-000168,-0.43505069180600003
ACH-000169,-0.35227406007
ACH-000178,-0.195886596805
ACH-000182,-0.257391620529
ACH-000183,-0.318824448815
ACH-000188,-0.27402683381799997
ACH-000189,0.0232233790062
ACH-000190,-0.017564323393400003
ACH-000198,-0.0800497485092
ACH-000204,-0.236186981402
ACH-000206,-0.22427337353500001
ACH-000207,-0.473034352712
ACH-000211,-0.11243454015599999
ACH-000215,-0.248834600814
ACH-000221,-0.048927498161699993
ACH-000222,-0.42830320601899996
ACH-000223,-0.140489977286
ACH-000226,-0.012934129466899999
ACH-000227,-0.199629069542
ACH-000228,-0.285853018551
ACH-000231,-0.14469232952199998
ACH-000232,-0.10095385801899999
ACH-000233,-0.134001867873
ACH-000234,-0.296446824847
ACH-000235,-0.185413764797
