,APOBEC3G (60489)
ACH-000004,-0.166275320799
ACH-000007,-0.07759112746989999
ACH-000009,-0.205804575682
ACH-000011,-0.20240494224
ACH-000012,-0.148097670657
ACH-000013,-0.163170909748
ACH-000014,-0.178435664998
ACH-000015,-0.213206556326
ACH-000017,-0.254247060705
ACH-000018,-0.175381297249
ACH-000019,-0.37301858727700005
ACH-000021,-0.149739779158
ACH-000022,-0.311106612776
ACH-000025,-0.39994941448
ACH-000028,-0.07914240298539998
ACH-000030,-0.236307068423
ACH-000035,-0.18431973241799998
ACH-000036,-0.08009027495969999
ACH-000037,-0.118068157664
ACH-000039,-0.217177243424
ACH-000040,-0.14350932444199999
ACH-000041,-0.138541955321
ACH-000042,-0.517389829798
ACH-000045,-0.34444755909100006
ACH-000047,-0.174483737203
ACH-000052,-0.485465034685
ACH-000053,-0.120775942909
ACH-000054,-0.35429986255199997
ACH-000055,-0.215338793356
ACH-000060,-0.269975713283
ACH-000067,-0.277997580101
ACH-000070,-0.105345457009
ACH-000075,-0.239831320806
ACH-000078,0.0175676412283
ACH-000082,-0.0923688388636
ACH-000085,-0.05558950312999999
ACH-000086,0.00224272297991
ACH-000087,-0.44010740533500003
ACH-000092,-0.25919157197799997
ACH-000095,-0.163178455856
ACH-000097,-0.13640437021500001
ACH-000098,-0.320513487865
ACH-000099,-0.16558593290100002
ACH-000108,-0.130054226766
ACH-000113,-0.24362876841699999
ACH-000115,-0.0021821528090300002
ACH-000116,-0.099662413618
ACH-000118,-0.0985817071858
ACH-000120,-0.0805936037153
ACH-000123,-0.24041249298599998
ACH-000127,-0.139422022639
ACH-000128,-0.08872954945469999
ACH-000132,-0.233373140783
ACH-000133,-0.12835278809599998
ACH-000137,-0.336470367776
ACH-000138,0.00514318522445
ACH-000142,-0.21944482866300002
ACH-000143,-0.189233482419
ACH-000146,-0.188800974732
ACH-000148,-0.137240998397
ACH-000150,0.0823469632865
ACH-000152,-0.014566297463400001
ACH-000153,-0.282949610447
ACH-000159,-0.048903679123099994
ACH-000160,-0.219844346754
ACH-000163,-0.232150550548
ACH-000167,-0.050579592817199995
ACH-000168,-0.29955468912300004
ACH-000169,-0.22431831552700002
ACH-000178,-0.145788578693
ACH-000182,-0.0841116618043
ACH-000183,-0.26124360379
ACH-000188,-0.028961660908499998
ACH-000189,-0.309298222633
ACH-000190,-0.162120497069
ACH-000198,-0.286381872895
ACH-000204,0.047664413619800006
ACH-000206,-0.105131703865
ACH-000207,-0.12030881743499999
ACH-000211,-0.300146158108
ACH-000215,-0.232262990939
ACH-000221,-0.20558707346000002
ACH-000222,-0.12220130018200001
ACH-000223,-0.124998804782
ACH-000226,-0.18854580512400002
ACH-000227,-0.318970370596
ACH-000228,-0.35448860811300004
ACH-000231,-0.262327731475
ACH-000232,-0.41000721004699997
ACH-000233,-0.22413755726100001
ACH-000234,-0.16074629951400002
ACH-000235,-0.150194158664
ACH-000237,-0.059408798520499996
ACH-000238,-0.180012628614
ACH-000243,-0.187504365218
ACH-000244,-0.164346351227
ACH-000246,-0.0864794142135
ACH-000248,-0.314162743968
ACH-000250,-0.103555342372
ACH-000251,0.0520037885851
ACH-000253,0.0197200154473
ACH-000255,-0.360040896361
ACH-000256,-0.39957444028300004
ACH-000257,-0.263513627893
ACH-000258,0.009199117511739999
ACH-000259,-0.195854750135
ACH-000260,-0.09106629160160001
ACH-000261,-0.16924188409000002
ACH-000262,-0.26342979234700004
ACH-000263,-0.154634453727
ACH-000264,-0.18824193842099998
ACH-000265,-0.331583887294
ACH-000266,-0.17716945474800003
ACH-000272,-0.208181314988
ACH-000273,-0.26889194261
ACH-000274,-0.248250499136
ACH-000277,-0.161026861813
ACH-000278,-0.236239342287
ACH-000279,-0.19330815762000003
ACH-000280,-0.21220362474399998
ACH-000281,-0.176597873525
ACH-000288,-0.194443860306
ACH-000291,-0.22096535683899998
ACH-000293,-0.116511918066
ACH-000294,-0.227141567449
ACH-000295,-0.149170387938
ACH-000296,-0.125245479737
ACH-000302,-0.260046408055
ACH-000304,-0.45032864571599995
ACH-000307,-0.317933239828
ACH-000308,-0.104466423959
ACH-000310,-0.23390782132399998
ACH-000311,-0.165737936829
ACH-000312,-0.110441974339
ACH-000315,-0.43458447322300003
ACH-000316,-0.190512259129
ACH-000317,-0.188362745903
ACH-000318,-0.289701528796
ACH-000319,-0.122072146894
ACH-000320,-0.30509185361499996
ACH-000322,-0.150853602937
ACH-000323,-0.291428329475
ACH-000324,-0.17780801791499998
ACH-000329,-0.132556538567
ACH-000330,-0.35800444740500004
ACH-000331,-0.046988301223999995
ACH-000332,-0.18382250761799998
ACH-000334,-0.264025862442
ACH-000335,-0.09470970471930001
ACH-000336,-0.14790830281
ACH-000337,-0.324085403162
ACH-000339,-0.0633711131917
ACH-000341,-0.15707063989700001
ACH-000348,-0.0917103173149
ACH-000350,0.06408029628010001
ACH-000352,-0.240587055533
ACH-000356,-0.350341915039
ACH-000361,-0.117483281621
ACH-000362,-0.251756667516
ACH-000363,-0.158422395198
ACH-000364,-0.247821944888
ACH-000365,-0.162316985406
ACH-000366,-0.137825221427
ACH-000368,-0.513239772237
ACH-000374,-0.0928247516786
ACH-000375,-0.102944810383
ACH-000376,-0.144479830499
ACH-000381,-0.46251553055399997
ACH-000383,-0.17094153129700002
ACH-000387,-0.198271159789
ACH-000389,-0.3040460747
