,BHMT2 (23743)
ACH-000004,-0.289370607475
ACH-000007,-0.120700721553
ACH-000009,-0.243837485153
ACH-000011,0.043040353781900006
ACH-000012,-0.19600680083799998
ACH-000013,0.0195294426846
ACH-000014,-0.442214341929
ACH-000015,-0.36810557367299995
ACH-000017,-0.181565639526
ACH-000018,-0.337033331265
ACH-000019,0.0331604245835
ACH-000021,-0.344945745933
ACH-000022,-0.139790718411
ACH-000025,-0.13602093481799998
ACH-000028,-0.186182314272
ACH-000030,-0.158209041331
ACH-000035,-0.137418554319
ACH-000036,-0.020833843258900003
ACH-000037,-0.0489038129296
ACH-000039,-0.320394521662
ACH-000040,-0.16148762822
ACH-000041,-0.0999364224658
ACH-000042,-0.360390955702
ACH-000045,-0.234071214937
ACH-000047,-0.224357475661
ACH-000052,-0.138587709374
ACH-000053,-0.336843668598
ACH-000054,-0.128929283895
ACH-000055,-0.17548811389400001
ACH-000060,-0.144633715696
ACH-000067,-0.254595177692
ACH-000070,-0.194544403875
ACH-000075,0.06127851246569999
ACH-000078,-0.295580082274
ACH-000082,-0.189072009997
ACH-000085,-0.119108912492
ACH-000086,-0.34913488606
ACH-000087,0.0319263952757
ACH-000092,-0.052584824280400004
ACH-000095,-0.0320280987907
ACH-000097,-0.062167358486
ACH-000098,-0.269062089877
ACH-000099,-0.136331756297
ACH-000108,-0.39730932347599995
ACH-000113,-0.0235087942747
ACH-000115,0.0612078473574
ACH-000116,-0.059909609122
ACH-000118,-0.388764955184
ACH-000120,-0.0807651560872
ACH-000123,-0.200102858305
ACH-000127,-0.29897009521699996
ACH-000128,-0.285843148202
ACH-000132,-0.0974859724928
ACH-000133,-0.260555662736
ACH-000137,-0.627610732804
ACH-000138,-0.385041059111
ACH-000142,-0.265109534183
ACH-000143,-0.000524320954434
ACH-000146,-0.18974184495700003
ACH-000148,-0.314155480823
ACH-000150,-0.058331585026400005
ACH-000152,-0.162810516214
ACH-000153,-0.648104291954
ACH-000159,-0.131050834108
ACH-000160,-0.14485071632000002
ACH-000163,-0.0699410530747
ACH-000167,-0.058275185726399996
ACH-000168,-0.221109298746
ACH-000169,-0.189390926231
ACH-000178,-0.176845305674
ACH-000182,-0.276784124894
ACH-000183,-0.135327366973
ACH-000188,-0.305824992737
ACH-000189,-0.339094081409
ACH-000190,-0.308876087224
ACH-000198,-0.177344050454
ACH-000204,-0.256681369863
ACH-000206,-0.34964768992399997
ACH-000207,0.027782208348900002
ACH-000211,-0.16971166484900002
ACH-000215,-0.140371102183
ACH-000221,0.122154379323
ACH-000222,-0.318853963546
ACH-000223,-0.11298980634000001
ACH-000226,-0.256859711765
ACH-000227,-0.124846219076
ACH-000228,-0.36224859139
ACH-000231,-0.178498443223
ACH-000232,-0.15750197907500002
ACH-000233,-0.174543796846
ACH-000234,0.008670749316229999
ACH-000235,-0.25485709062899997
