,TRAPPC1 (58485)
ACH-000004,-1.43050646201
ACH-000007,-1.32124486849
ACH-000009,-1.5577995782700003
ACH-000011,-1.10592624198
ACH-000012,-1.16654078559
ACH-000013,-1.7932969064099997
ACH-000014,-1.43471417848
ACH-000015,-1.53802725989
ACH-000017,-1.3576270416499998
ACH-000018,-1.3671071871399998
ACH-000019,-1.1602625052200002
ACH-000021,-1.38061252155
ACH-000022,-1.33247051332
ACH-000025,-1.2991155022499998
ACH-000028,-1.29857237468
ACH-000030,-1.2998387999299998
ACH-000035,-1.3038850427200002
ACH-000036,-1.28084896265
ACH-000037,-1.6928220057899999
ACH-000039,-1.27426482845
ACH-000040,-1.402639028
ACH-000041,-1.73300402571
ACH-000042,-1.5410741687600003
ACH-000045,-1.3431830826299997
ACH-000047,-1.31765694336
ACH-000052,-1.4879662559600002
ACH-000053,-1.55358201881
ACH-000054,-1.3772321382
ACH-000055,-1.7031896343000001
ACH-000060,-1.4648735923700003
ACH-000067,-1.4779672955
ACH-000070,-1.05846882952
ACH-000075,-1.46332519864
ACH-000078,-1.6354400596
ACH-000082,-1.11443760454
ACH-000085,-1.64094535591
ACH-000086,-1.23916588689
ACH-000087,-1.36955761188
ACH-000092,-1.5023715213600002
ACH-000095,-1.62963431435
ACH-000097,-1.36417290993
ACH-000098,-1.4714329442200003
ACH-000099,-1.6577833686899999
ACH-000108,-1.3553232790799998
ACH-000113,-1.26458009086
ACH-000115,-1.2068257180600002
ACH-000116,-1.2825407756899998
ACH-000118,-1.31456242202
ACH-000120,-1.25310201619
ACH-000123,-1.37600506395
ACH-000127,-1.2814166716
ACH-000128,-1.406248739
ACH-000132,-0.936728961433
ACH-000133,-1.33651240955
ACH-000137,-1.3371396067899999
ACH-000138,-1.2923104016299998
ACH-000142,-1.3220121167799999
ACH-000143,-1.51491920854
ACH-000146,-1.6597364041100002
ACH-000148,-1.2660306888200001
ACH-000150,-1.31175438536
ACH-000152,-1.55536216572
ACH-000153,-1.8892645667200003
ACH-000159,-1.4992347881099999
ACH-000160,-1.32020756232
ACH-000163,-1.41236108854
ACH-000167,-1.63469266977
ACH-000168,-1.50121168129
ACH-000169,-1.44861791149
ACH-000178,-1.4366505797600002
ACH-000182,-1.2896125044600002
ACH-000183,-1.65096284438
ACH-000188,-1.43404716276
ACH-000189,-1.8409429686200003
ACH-000190,-1.52358270935
ACH-000198,-1.31177553426
ACH-000204,-1.76067215929
ACH-000206,-1.22646725475
ACH-000207,-0.992436329756
ACH-000211,-1.5597836882700002
ACH-000215,-1.12700892828
ACH-000221,-1.33108178975
ACH-000222,-1.28977309623
ACH-000223,-1.4974890200400002
ACH-000226,-1.5060904139700002
ACH-000227,-1.2230099834000001
ACH-000228,-1.14172230673
ACH-000231,-1.5801085076399999
ACH-000232,-1.4834497531600002
ACH-000233,-1.5839567914800001
ACH-000234,-1.5746280237299999
ACH-000235,-1.4342052788799997
ACH-000237,-1.27461607048
ACH-000238,-1.19600449264
ACH-000243,-1.488971565
ACH-000244,-1.36452044666
ACH-000246,-1.44858031732
ACH-000248,-1.10904856403
ACH-000250,-1.5199426676299999
ACH-000251,-1.34768025684
ACH-000253,-1.6144749253400001
ACH-000255,-1.19999935976
ACH-000256,-1.61969898369
ACH-000257,-1.22520607207
ACH-000258,-0.9377119433059999
ACH-000259,-1.28458244439
ACH-000260,-1.42459425002
ACH-000261,-1.31585197703
ACH-000262,-1.62045272534
ACH-000263,-1.27068363349
ACH-000264,-1.25782488872
ACH-000265,-1.26976622331
ACH-000266,-1.01862852404
ACH-000272,-1.4926042098899999
ACH-000273,-1.48536965571
ACH-000274,-1.66617842711
ACH-000277,-1.58970405779
ACH-000278,-1.4462833761000002
ACH-000279,-1.46564533618
ACH-000280,-1.78228079762
ACH-000281,-1.3979637404700003
ACH-000288,-1.39689530866
ACH-000291,-1.1906637432
ACH-000293,-1.71316532334
ACH-000294,-1.6165551621899998
ACH-000295,-1.62790226826
ACH-000296,-1.4095089782899999
ACH-000302,-1.4790468576
ACH-000304,-0.917085765141
ACH-000307,-1.33406083669
ACH-000308,-1.35528091982
ACH-000310,-1.5310705386399999
ACH-000311,-1.11968104393
ACH-000312,-1.4476530831299999
ACH-000315,-1.39799633706
ACH-000316,-1.57353741485
ACH-000317,-1.71322742507
ACH-000318,-1.44557737866
ACH-000319,-1.39510386598
ACH-000320,-1.30347929764
ACH-000322,-1.6399140408300001
ACH-000323,-1.25237547441
ACH-000324,-1.50282004346
ACH-000329,-1.5696231669799998
ACH-000330,-1.50481076931
ACH-000331,-1.48582108388
ACH-000332,-1.5478167751499998
ACH-000334,-1.21154311919
ACH-000335,-1.39152855869
ACH-000336,-1.3011316951
ACH-000337,-1.5213016557899999
ACH-000339,-1.19596870989
ACH-000341,-1.03927306228
ACH-000348,-1.3423727215
ACH-000350,-0.939105274698
ACH-000352,-1.6158235842500002
ACH-000356,-1.07568056174
ACH-000361,-1.3735192311200002
ACH-000362,-1.27969880989
ACH-000363,-1.43651801912
ACH-000364,-1.8297549010099998
ACH-000365,-1.4359017250600001
ACH-000366,-1.3384150491700002
ACH-000368,-1.2891958502
ACH-000374,-1.35122076761
ACH-000375,-1.35461139777
ACH-000376,-1.4459753667299997
ACH-000381,-1.28603445406
ACH-000383,-1.6344967643500001
ACH-000387,-1.46440215377
ACH-000389,-1.34764361409
ACH-000390,-1.27762389894
