,ZPR1 (8882)
ACH-000004,-1.59519282385
ACH-000007,-1.44614144338
ACH-000009,-1.41546587232
ACH-000011,-1.60645740518
ACH-000012,-1.36751355248
ACH-000013,-1.6608313855
ACH-000014,-1.7325226970200003
ACH-000015,-1.61546689429
ACH-000017,-1.3711722211300001
ACH-000018,-1.70088460732
ACH-000019,-1.13015816371
ACH-000021,-1.25498783536
ACH-000022,-1.61460787111
ACH-000025,-1.56047581667
ACH-000028,-1.54432556845
ACH-000030,-1.7929866544400002
ACH-000035,-1.3741053753499999
ACH-000036,-1.6310987961899999
ACH-000037,-0.738355761589
ACH-000039,-1.7040969281600002
ACH-000040,-1.25690691748
ACH-000041,-1.69219409817
ACH-000042,-1.50941251307
ACH-000045,-1.85715556693
ACH-000047,-1.59423136333
ACH-000052,-1.38517132593
ACH-000053,-1.66916353669
ACH-000054,-1.68661668351
ACH-000055,-1.67471905301
ACH-000060,-1.32487723448
ACH-000067,-1.32954367261
ACH-000070,-1.8153121063599997
ACH-000075,-1.80340130253
ACH-000078,-1.70741442966
ACH-000082,-1.64445932826
ACH-000085,-1.64897745611
ACH-000086,-1.48395398736
ACH-000087,-1.3057942797
ACH-000092,-1.51905404764
ACH-000095,-1.65710304965
ACH-000097,-1.52269233787
ACH-000098,-1.4638843260699999
ACH-000099,-1.86908777868
ACH-000108,-1.4325240486300002
ACH-000113,-1.6646085124399999
ACH-000115,-1.95943125283
ACH-000116,-1.71315573023
ACH-000118,-1.72242174708
ACH-000120,-1.33813589106
ACH-000123,-1.5383118970899998
ACH-000127,-1.3596315487900001
ACH-000128,-1.69303069197
ACH-000132,-1.5374738510100001
ACH-000133,-1.4572638840600003
ACH-000137,-1.9717687937400001
ACH-000138,-1.50801575113
ACH-000142,-1.51015361285
ACH-000143,-1.76734415315
ACH-000146,-1.57226472878
ACH-000148,-1.5712529632299999
ACH-000150,-1.59225244419
ACH-000152,-1.6082441072100002
ACH-000153,-1.75073888915
ACH-000159,-1.3565174499500001
ACH-000160,-1.8217326983099997
ACH-000163,-1.67247358403
ACH-000167,-1.92022724005
ACH-000168,-1.5333164928999998
ACH-000169,-1.6371777052
ACH-000178,-1.4349862741400001
ACH-000182,-1.25036451547
ACH-000183,-1.7090547322299998
ACH-000188,-1.7333624853099998
ACH-000189,-1.4636077004799999
ACH-000190,-1.67472032832
ACH-000198,-1.65895400413
ACH-000204,-1.53680359431
ACH-000206,-1.29491194486
ACH-000207,-1.54463407933
ACH-000211,-1.66855927438
ACH-000215,-1.44149572943
ACH-000221,-1.2047156789
ACH-000222,-1.46804062555
ACH-000223,-1.02109750263
ACH-000226,-1.3940568554799997
ACH-000227,-1.5542756745200002
ACH-000228,-1.6148410080899998
ACH-000231,-1.55108213937
ACH-000232,-1.46519908828
ACH-000233,-1.73912487574
ACH-000234,-1.81550658274
ACH-000235,-1.52351511028
ACH-000237,-1.55977059796
ACH-000238,-1.7658053563499998
ACH-000243,-1.54897212616
ACH-000244,-1.3535990996399998
ACH-000246,-1.4481899883899998
ACH-000248,-1.5609964618599999
ACH-000250,-1.58719575676
ACH-000251,-1.15191727153
ACH-000253,-1.61739113349
ACH-000255,-1.43952781276
ACH-000256,-1.34067968925
ACH-000257,-1.6636252204799997
ACH-000258,-1.78006032178
ACH-000259,-1.75404389914
ACH-000260,-1.71004134729
ACH-000261,-1.41102567914
ACH-000262,-1.86587837286
ACH-000263,-1.43391024527
ACH-000264,-1.8138270392700002
ACH-000265,-1.63614250153
ACH-000266,-1.2292467483399998
ACH-000272,-1.5863761682
ACH-000273,-1.8025463780900002
ACH-000274,-1.84946723991
ACH-000277,-1.9853089916099997
ACH-000278,-1.5075571282299998
ACH-000279,-1.6785026788600002
ACH-000280,-1.49741435878
ACH-000281,-1.49965737209
ACH-000288,-1.56410602967
ACH-000291,-1.51921951304
ACH-000293,-1.98530451476
ACH-000294,-1.8545529963099998
ACH-000295,-1.6245445519600001
ACH-000296,-1.46654809899
ACH-000302,-1.25754821035
ACH-000304,-1.9699067073900003
ACH-000307,-1.6464196224899998
ACH-000308,-1.3287409626
ACH-000310,-1.09642870654
ACH-000311,-1.44902262098
ACH-000312,-1.58089204069
ACH-000315,-1.8487831349000001
ACH-000316,-1.75344664595
ACH-000317,-1.76389054005
ACH-000318,-1.7516049209599998
ACH-000319,-1.84040887366
ACH-000320,-1.6067637346399999
ACH-000322,-1.3869913173299997
ACH-000323,-1.7469870971700001
ACH-000324,-1.5084211940399999
ACH-000329,-1.29686377392
ACH-000330,-1.4658453720500002
ACH-000331,-1.5087520699899999
ACH-000332,-1.39440558848
ACH-000334,-1.1632915168
ACH-000335,-1.6846253627899999
ACH-000336,-1.64051961706
ACH-000337,-1.5260700160799998
ACH-000339,-1.46220702501
ACH-000341,-1.61160379671
ACH-000348,-1.47454329062
ACH-000350,-1.33130485919
ACH-000352,-1.47317775605
ACH-000356,-1.28750458959
ACH-000361,-1.3512255448800001
ACH-000362,-1.66665985091
ACH-000363,-1.41072367118
ACH-000364,-1.40147046476
ACH-000365,-1.5683537948299997
ACH-000366,-1.9473489949400002
ACH-000368,-1.57275630224
ACH-000374,-1.7363212358000002
ACH-000375,-1.43309948286
ACH-000376,-1.49567640335
ACH-000381,-1.46553707167
ACH-000383,-1.5330059523700001
ACH-000387,-1.23838720685
ACH-000389,-1.6122579476899999
ACH-000390,-1.57648670851
ACH-000393,-1.39072687409
ACH-000395,-1.62721737913
ACH-000397,-1.72551520753
ACH-000401,-1.35599033165
ACH-000402,-1.69555277382
ACH-000403,-1.1900511477700002
ACH-000404,-1.33773605437
ACH-000406,-1.60343099745
ACH-000407,-1.3818828977000002
ACH-000408,-1.5154741777
ACH-000410,-1.4004938627
ACH-000411,-1.6074894419499999
ACH-000414,-1.62189461647
ACH-000415,-1.87683235403
ACH-000416,-1.30855739964
ACH-000420,-1.6007860277000001
ACH-000421,-1.3848406241
ACH-000424,-1.46273480113
ACH-000425,-1.6591937132299999
ACH-000426,-1.50688428499
ACH-000427,-1.7502373700099998
ACH-000433,-1.55592451729
ACH-000436,-1.50826426069
ACH-000444,-1.6670296667200002
ACH-000445,-1.6093429729700002
ACH-000448,-1.47358041163
ACH-000450,-1.9417302926400002
ACH-000452,-1.52031415093
ACH-000454,-1.42992643826
ACH-000458,-1.5521604617500002
ACH-000459,-1.81083530787
ACH-000460,-1.2873647292200001
ACH-000461,-1.9359758307
ACH-000463,-1.5949915649200002
ACH-000464,-1.8053271745400004
ACH-000466,-1.68957200098
ACH-000467,-1.62879366634
ACH-000468,-1.19131484372
ACH-000469,-1.4767560647799998
ACH-000470,-1.49021442213
ACH-000471,-1.5202012173800001
ACH-000472,-1.4754378995299997
ACH-000473,-1.78392561289
ACH-000475,-1.52084439005
ACH-000476,-1.6661931366
ACH-000477,-2.3146213525
ACH-000480,-1.5834646058300001
ACH-000481,-1.4177801582299998
ACH-000483,-1.99100138417
ACH-000484,-1.10953445755
ACH-000485,-1.84342355907
ACH-000486,-1.63675386095
ACH-000487,-1.5637606447999999
ACH-000488,-1.69310366204
ACH-000490,-1.2188111900799998
ACH-000491,-1.96438757155
ACH-000495,-1.33894305936
ACH-000496,-1.5323120730200002
ACH-000499,-1.5921795343599998
ACH-000500,-1.67446431968
ACH-000502,-1.59246007222
ACH-000503,-1.30440798426
ACH-000505,-1.61114770256
ACH-000507,-1.3623829250900001
ACH-000510,-1.4575323143399999
ACH-000511,-1.4672720975600002
ACH-000512,-1.27747612315
ACH-000516,-1.54228922814
ACH-000517,-1.5249885323399999
ACH-000518,-1.5487396607799997
ACH-000520,-1.45446795214
ACH-000521,-1.46013601512
ACH-000522,-1.5058020957299998
ACH-000524,-1.29255719192
ACH-000527,-1.58849244431
ACH-000528,-1.38452234245
ACH-000537,-1.72977414545
ACH-000541,-1.99707334183
ACH-000542,-1.5158844403100002
ACH-000544,-1.64051165196
ACH-000545,-1.57844246969
ACH-000547,-1.3425802752899998
ACH-000548,-1.4496668712600003
ACH-000549,-1.5795026173299997
ACH-000550,-1.6480284863799999
ACH-000552,-1.35900871593
ACH-000556,-1.54183471756
ACH-000557,-2.15485753351
ACH-000570,-1.6875362488999999
ACH-000571,-1.8134851747799998
ACH-000573,-1.79365498743
ACH-000576,-1.46478696566
ACH-000580,-1.84231869598
ACH-000584,-1.52480286532
ACH-000585,-1.56031723887
ACH-000588,-1.5110273037900002
ACH-000589,-1.5049194830700001
ACH-000591,-1.52580435287
ACH-000593,-1.7876248589500001
ACH-000600,-1.80621472646
ACH-000601,-1.5000591221000001
ACH-000604,-1.12024328825
ACH-000605,-1.76832064479
ACH-000606,-1.6369307398299997
ACH-000608,-0.756591597411
ACH-000614,-1.6323090842899999
ACH-000616,-1.22253166245
ACH-000618,-1.7847139621
ACH-000619,-1.5325222247499999
ACH-000620,-1.5444756351700002
ACH-000621,-1.41574072229
ACH-000622,-1.9317473276700001
ACH-000623,-1.7446319329599997
ACH-000624,-1.5129945928600002
ACH-000627,-1.3435745798700003
ACH-000630,-1.69503308025
ACH-000632,-1.55764369185
ACH-000633,-1.7247928775499999
ACH-000637,-1.41212762505
ACH-000638,-1.44179842819
ACH-000646,-1.19809338768
ACH-000647,-1.43516969834
ACH-000648,-1.6684063233000002
ACH-000649,-1.57917695285
ACH-000651,-1.59910992546
ACH-000652,-1.28058233846
ACH-000653,-1.42229147431
ACH-000657,-1.63430314238
ACH-000658,-1.54269532964
