,PGLS (25796)
ACH-000004,-0.271766148057
ACH-000007,-0.16158529981
ACH-000009,-0.00894769588032
ACH-000011,-0.17582882370900002
ACH-000012,0.052141432915699996
ACH-000013,-0.165740225661
ACH-000014,-0.325562687689
ACH-000015,-0.468160853897
ACH-000017,-0.656527816269
ACH-000018,-0.164098278394
ACH-000019,-0.10269892650399999
ACH-000021,-0.20862613140099998
ACH-000022,-0.23787805067499998
ACH-000025,-0.5528525749009999
ACH-000028,-0.33000562367499997
ACH-000030,-0.321044288239
ACH-000035,-0.37950307636
ACH-000036,-0.587101989024
ACH-000037,0.0407735090504
ACH-000039,0.11161982536800001
ACH-000040,-0.35927621157399997
ACH-000041,-0.598321765368
ACH-000042,-0.268144571486
ACH-000045,-0.137280514849
ACH-000047,-0.228061136198
ACH-000052,-0.491523675767
ACH-000053,-0.236600763015
ACH-000054,0.0261128219045
ACH-000055,-0.295496824178
ACH-000060,-0.16618907208
ACH-000067,-0.350229718843
ACH-000070,-0.38063678491700004
ACH-000075,-0.180111259511
ACH-000078,-0.09463353209169999
ACH-000082,0.041924059947699994
ACH-000085,-0.37820769704999996
ACH-000086,-0.238392629021
ACH-000087,-0.19473790182700002
ACH-000092,-0.262595298442
ACH-000095,-0.317071270049
ACH-000097,-0.185677443533
ACH-000098,-0.393564071582
ACH-000099,-0.278166883049
ACH-000108,-0.305516915853
ACH-000113,-0.102748343851
ACH-000115,-0.4513383153600001
ACH-000116,-0.313810617694
ACH-000118,-0.16942243563700002
ACH-000120,-0.465619649875
ACH-000123,-0.477181065109
ACH-000127,-0.269972980157
ACH-000128,-0.48042451835699995
ACH-000132,-0.320790709324
ACH-000133,-0.116268470922
ACH-000137,-0.379928491515
ACH-000138,-0.184595538245
ACH-000142,-0.365934645673
ACH-000143,-0.347817147913
ACH-000146,-0.21598996202799997
ACH-000148,-0.307153190644
ACH-000150,-0.441451872527
ACH-000152,-0.41374223404
ACH-000153,-0.411904797157
ACH-000159,-0.24829591969
ACH-000160,-0.20396391084399998
ACH-000163,-0.309439227568
ACH-000167,-0.26066079741799997
ACH-000168,-0.295389071999
ACH-000169,-0.473818906789
ACH-000178,-0.56819630503
ACH-000182,-0.237382128647
ACH-000183,-0.345262018287
ACH-000188,-0.6548294848749999
ACH-000189,-0.421082139149
ACH-000190,-0.22835810734700002
ACH-000198,-0.267859944555
ACH-000204,-0.11204197146400001
ACH-000206,-0.105844955051
ACH-000207,-0.5901941178
ACH-000211,-0.211041698195
ACH-000215,-0.431694123986
