,ONECUT3 (390874)
ACH-000647,0.155784179148
ACH-000648,0.19975107785500001
ACH-000649,0.10757086716099999
ACH-000651,0.033663329016
ACH-000652,0.0855858486988
ACH-000653,0.118586556698
ACH-000657,0.151315202158
ACH-000658,0.0037641998729200004
ACH-000661,-0.0307544271793
ACH-000662,-0.11590882280999999
ACH-000663,-0.0782457829413
ACH-000665,0.0573129235994
ACH-000671,-0.0172533738024
ACH-000673,0.139229256429
ACH-000676,0.057870348182499996
ACH-000677,0.013799299518200001
ACH-000681,0.148033400047
ACH-000682,-0.0848705932773
ACH-000683,0.0926031304954
ACH-000684,-0.08365940671080001
ACH-000688,0.185156853506
ACH-000693,0.0716685803599
ACH-000694,0.260263145312
ACH-000695,0.055210089039
ACH-000696,0.103418988028
ACH-000697,0.0287256154311
ACH-000699,0.103929499166
ACH-000701,0.253445010984
ACH-000706,-0.0795702453845
ACH-000711,0.10285748458999999
ACH-000713,0.20607905220400002
ACH-000714,0.09217717443040001
ACH-000718,0.18161679204199999
ACH-000720,-0.0620254295883
ACH-000721,0.0644543463409
ACH-000724,-0.331070543108
ACH-000725,-0.0584928371987
ACH-000732,-0.08603498228769998
ACH-000734,-0.053648122536699996
ACH-000735,0.020153000060499998
ACH-000736,0.046506262685
ACH-000738,0.13917856934599998
ACH-000746,-0.105106342216
ACH-000747,0.0213991073649
ACH-000748,-0.06119252537190001
ACH-000753,0.0265967465115
ACH-000756,-0.20512822828699998
ACH-000757,0.14941271247000001
ACH-000758,-0.015891942419
ACH-000760,0.0903894971637
ACH-000763,0.260372502701
ACH-000764,-0.286267224529
ACH-000765,0.0341529045795
ACH-000766,0.0631983107195
ACH-000767,-0.106832109604
ACH-000768,0.158068365683
ACH-000769,0.28406929289099997
ACH-000770,0.079252225292
ACH-000771,0.133377846666
ACH-000773,0.026969129482800003
ACH-000776,0.015649774239100002
ACH-000777,0.0665478395529
ACH-000778,0.000247339378222
ACH-000781,0.0964673595939
ACH-000782,0.096109368166
ACH-000783,0.022240057809900002
ACH-000784,0.117185775632
ACH-000785,0.234356630724
ACH-000787,-0.012768997068700001
ACH-000788,-0.020898623541
ACH-000791,0.245339733387
ACH-000792,0.003376171962
ACH-000794,0.0769735182306
ACH-000796,0.0304403165418
ACH-000799,0.09787903025650001
ACH-000800,0.226733235396
ACH-000802,0.0773103415273
ACH-000804,0.342230148218
ACH-000805,-0.164829271547
ACH-000809,0.025033138053599996
ACH-000810,0.29587210177400003
ACH-000811,0.167148752507
ACH-000817,0.19503270309300003
ACH-000819,0.009457840140790002
ACH-000820,-0.159652423295
ACH-000821,0.0149619814133
ACH-000822,0.06870435492
ACH-000823,0.022791320806299996
ACH-000824,0.0648095431979
ACH-000827,0.09464592136870001
ACH-000829,0.10815115172800001
ACH-000831,-0.09035758353800001
ACH-000832,0.0385681332941
ACH-000833,0.332811241486
ACH-000834,-0.324367353725
ACH-000835,0.08054491949880001
ACH-000836,0.0311444638296
ACH-000837,0.298584667313
ACH-000838,0.170855602561
ACH-000839,-0.0705723222102
ACH-000840,0.056470618366199994
ACH-000841,0.355623670336
ACH-000843,-0.00614707488473
ACH-000846,0.09435766040480001
ACH-000847,0.215304925965
ACH-000848,-0.0345938244539
ACH-000849,0.0945397406443
ACH-000851,0.05060091114180001
ACH-000855,0.011412913305200001
ACH-000856,0.145897417681
ACH-000858,-0.04884482253669999
ACH-000859,-0.0790995804351
ACH-000861,0.0409312587162
ACH-000862,0.0778359114696
ACH-000865,0.0821453107108
ACH-000866,-0.010204825054399999
ACH-000867,-0.0469196032909
ACH-000869,0.180688215193
ACH-000872,0.0335732804399
ACH-000873,0.227340033719
ACH-000876,-0.0667703687972
ACH-000878,0.532828529049
ACH-000880,-0.244185094446
ACH-000881,0.14455985779799999
ACH-000882,-0.11929545624099999
ACH-000884,-0.133799008994
ACH-000885,-0.00184910902456
ACH-000887,0.0770188515802
ACH-000888,0.0291720589644
ACH-000889,0.106334734811
ACH-000890,0.10852664832499999
ACH-000896,-0.0606123478912
ACH-000898,-0.11312731554000001
ACH-000900,0.431390703983
ACH-000901,0.157790116355
ACH-000905,0.05788011268400001
ACH-000906,0.08188483508160001
ACH-000907,-0.021174980942099998
ACH-000910,0.0150862643215
ACH-000911,0.0631402024391
ACH-000912,-0.0310424840895
ACH-000913,0.165779454523
ACH-000915,0.14199674092800002
ACH-000916,0.039037008239099995
ACH-000917,0.0321078662914
ACH-000921,-0.0816435310415
ACH-000924,-0.0413135080585
ACH-000926,0.22523211110999997
ACH-000928,0.038651756682800006
ACH-000929,-0.230695284861
ACH-000932,-0.00647873355493
ACH-000935,-0.07605277689739999
ACH-000936,0.083460149346
ACH-000937,-0.0016919830240699999
ACH-000938,-0.0741909742983
ACH-000939,0.159685809574
ACH-000941,0.184848918193
ACH-000943,0.023023872131
ACH-000946,0.0343670386735
ACH-000947,0.130999487327
ACH-000948,0.020913343277900003
ACH-000950,0.15092867039400001
ACH-000953,-0.24589728375300002
ACH-000957,0.0634111643245
ACH-000958,0.152456847194
ACH-000960,0.017958146415400004
ACH-000963,0.0995296161574
ACH-000968,0.11138913662599999
ACH-000969,0.217420201068
