,DFFB (1677)
ACH-000004,0.0444049728146
ACH-000007,-0.0330894439567
ACH-000009,-0.343262762087
ACH-000011,-0.171390728663
ACH-000012,-0.0622913993563
ACH-000013,-0.41645158857299996
ACH-000014,-0.358397414114
ACH-000015,-0.42740767156599996
ACH-000017,-0.28036975696
ACH-000018,-0.286054377265
ACH-000019,-0.434043992117
ACH-000021,-0.397209136452
ACH-000022,-0.46483467463100003
ACH-000025,-0.32558366472600003
ACH-000028,-0.350015106205
ACH-000030,-0.213355574401
ACH-000035,-0.557996020832
ACH-000036,-0.33567804905500004
ACH-000037,-0.359734920343
ACH-000039,-0.5047931663849999
ACH-000040,-0.29580239827300003
ACH-000041,-0.5407421193399999
ACH-000042,-0.196700456719
ACH-000045,-0.19410115988200002
ACH-000047,-0.488809863112
ACH-000052,0.011291936710099999
ACH-000053,-0.460938183782
ACH-000054,-0.31658754606
ACH-000055,-0.20302408432
ACH-000060,-0.460138646043
ACH-000067,-0.356628361657
ACH-000070,-0.0496087039167
ACH-000075,-0.075020560633
ACH-000078,-0.203751008768
ACH-000082,-0.43114270863399995
ACH-000085,-0.509286149548
ACH-000086,-0.151795982489
ACH-000087,-0.5425031105120001
ACH-000092,-0.391000974029
ACH-000095,-0.394855935535
ACH-000097,-0.40074572078299997
ACH-000098,-0.235696041017
ACH-000099,-0.220992471331
ACH-000108,-0.516970578957
ACH-000113,-0.260444705526
ACH-000115,-0.533673693778
ACH-000116,-0.37008278424400004
ACH-000118,-0.309168297381
ACH-000120,-0.235384706536
ACH-000123,-0.329717050529
ACH-000127,-0.178497408054
ACH-000128,-0.19145235801600002
ACH-000132,-0.165467407437
ACH-000133,-0.313641052014
ACH-000137,-0.174789126026
ACH-000138,-0.157966750821
ACH-000142,-0.482546456726
ACH-000143,-0.34255433760399995
ACH-000146,-0.6160950353069999
ACH-000148,-0.249741249017
ACH-000150,-0.9206922859710001
ACH-000152,-0.215107704842
ACH-000153,-0.210198343336
ACH-000159,-0.25849486263300003
ACH-000160,-0.260394491633
ACH-000163,-0.35481874773
ACH-000167,-0.713874971992
ACH-000168,-0.33468972065200003
ACH-000169,-0.500342075222
ACH-000178,-0.527857665675
ACH-000182,-0.181083182448
ACH-000183,-0.249988145169
ACH-000188,-0.448186584233
ACH-000189,-0.470809140409
ACH-000190,-0.250215724601
ACH-000198,-0.27269049523
ACH-000204,-0.40346298467
ACH-000206,-0.47774156050399996
ACH-000207,-0.615412869274
ACH-000211,-0.299051573643
ACH-000215,-0.397595282197
ACH-000221,-0.392331948384
ACH-000222,-0.241103965592
ACH-000223,-0.294592828787
ACH-000226,-0.23404561423300002
ACH-000227,-0.424473212623
ACH-000228,-0.5791178566790001
ACH-000231,-0.29289357514000003
ACH-000232,-0.370247240651
ACH-000233,-0.20920497168699997
ACH-000234,-0.343154792448
ACH-000235,-0.343675227128
ACH-000237,-0.357913609909
ACH-000238,-0.20891944381400002
ACH-000243,-0.306624610481
ACH-000244,0.0561115691417
ACH-000246,-0.12642131286900002
ACH-000248,-0.24321190663699999
ACH-000250,-0.31071583604
ACH-000251,-0.269092229444
ACH-000253,-0.246336353134
ACH-000255,-0.37197846039000004
ACH-000256,-0.513229829392
ACH-000257,-0.18479972767
ACH-000258,-0.079319405255
ACH-000259,-0.323668132886
ACH-000260,-0.257911534728
ACH-000261,-0.300172068322
ACH-000262,-0.20597044172200002
ACH-000263,0.0571676242424
ACH-000264,-0.433946891331
ACH-000265,-0.221563284722
ACH-000266,-0.40718428635399995
ACH-000272,-0.286159144127
ACH-000273,-0.354737737648
ACH-000274,-0.274463588725
ACH-000277,-0.559008878861
ACH-000278,-0.27403393303
ACH-000279,-0.412711773527
ACH-000280,-0.367284775641
ACH-000281,-0.427012120025
ACH-000288,-0.480221914684
ACH-000291,-0.333035568011
ACH-000293,-0.808382217265
ACH-000294,-0.658821753759
ACH-000295,-0.362691980439
ACH-000296,-0.318711021147
ACH-000302,-0.36452863894599996
ACH-000304,-0.392847142517
ACH-000307,-0.238575370124
ACH-000308,-0.346146097202
ACH-000310,-0.317736249067
ACH-000311,-0.24894733329399998
ACH-000312,-0.493899459776
ACH-000315,-0.08548360058849999
ACH-000316,-0.370031580109
ACH-000317,0.004720816545319999
ACH-000318,-0.191153570812
ACH-000319,-0.26987331158399996
ACH-000320,-0.273532257239
ACH-000322,-0.396185794396
ACH-000323,-0.433374441209
ACH-000324,-0.197890319679
ACH-000329,-0.6453841912789999
ACH-000330,-0.22946172228700001
ACH-000331,-0.444837126099
ACH-000332,-0.308923146563
ACH-000334,-0.289870210681
ACH-000335,-0.403587526183
ACH-000336,-0.21980716574
ACH-000337,-0.0625967643444
ACH-000339,-0.23643511805
ACH-000341,-0.028514396702
ACH-000348,-0.305350882475
ACH-000350,-0.394792080471
ACH-000352,-0.36445595819399995
ACH-000356,-0.20163236938999998
ACH-000361,-0.511694114071
ACH-000362,-0.418866597668
ACH-000363,-0.425709001519
ACH-000364,-0.47220951754600005
ACH-000365,-0.287651621524
ACH-000366,-0.266291876675
ACH-000368,-0.402562825528
ACH-000374,-0.24259499361200001
ACH-000375,-0.338552054299
ACH-000376,-0.416310424371
ACH-000381,-0.124366393867
ACH-000383,-0.456453550914
ACH-000387,-0.306706196281
ACH-000389,-0.233152103517
ACH-000390,-0.410409865664
ACH-000393,-0.233466850678
ACH-000395,-0.733175296973
ACH-000397,-0.319102378143
ACH-000401,-0.185803196087
ACH-000402,-0.20973679481199997
ACH-000403,-0.41007783664499997
ACH-000404,-0.513195080804
ACH-000406,-0.29735772840700003
ACH-000407,-0.09356732315829999
ACH-000408,-0.47652059493999993
ACH-000410,-0.316806161054
ACH-000411,-0.373480130648
ACH-000414,-0.37047794871
ACH-000415,-0.16335710324799999
ACH-000416,-0.489474569976
ACH-000420,-0.383000139873
ACH-000421,-0.201835752892
ACH-000424,-0.5038075934189999
ACH-000425,-0.350539090754
ACH-000426,-0.914807564796
ACH-000427,-0.234317846061
ACH-000433,-0.310987293374
ACH-000436,-0.462944940729
ACH-000444,-0.285984579459
ACH-000445,-0.33572645695200004
ACH-000448,-0.357381338087
ACH-000450,-0.468605677145
ACH-000452,-0.301750425567
ACH-000454,-0.13158712284600002
ACH-000458,-0.24827837122
ACH-000459,-0.486217529973
ACH-000460,-0.22159428283399998
ACH-000461,-0.39241567830799995
ACH-000463,-0.24569300890700002
ACH-000464,-0.38611358382600003
ACH-000466,-0.360984937011
ACH-000467,-0.48542257251500004
ACH-000468,-0.253259847911
ACH-000469,-0.262279272477
ACH-000470,-0.284159817198
ACH-000471,-0.459984130321
ACH-000472,-0.413730568532
ACH-000473,-0.292030350677
ACH-000475,-0.329357461306
ACH-000476,-0.223643168776
ACH-000477,-0.246046143579
ACH-000480,-0.157725107283
ACH-000481,-0.38094199166599996
ACH-000483,-0.380782574727
ACH-000484,-0.0821675131536
ACH-000485,-0.137733087833
ACH-000486,-0.218396529134
ACH-000487,-0.279069391649
