,TADA3 (10474)
ACH-000004,-0.5303560375590001
ACH-000007,-0.494248471814
ACH-000009,-0.71045863153
ACH-000011,-0.725889748107
ACH-000012,-0.47378745939499994
ACH-000013,-0.667926003463
ACH-000014,-0.604113462874
ACH-000015,-0.6612401258380001
ACH-000017,-1.27252198011
ACH-000018,-0.760486344265
ACH-000019,-0.40323613097800004
ACH-000021,-0.511841859511
ACH-000022,-0.6428141351169999
ACH-000025,-0.522915533849
ACH-000028,-0.464301158478
ACH-000030,-0.55623115524
ACH-000035,-0.8436309459729999
ACH-000036,-0.62012066147
ACH-000037,-0.11150003328500001
ACH-000039,-0.38832649553900006
ACH-000040,-0.43342419616300004
ACH-000041,-1.03462546002
ACH-000042,-0.999002254755
ACH-000045,-0.49025248012100003
ACH-000047,-0.7659196890469999
ACH-000052,-1.04400103811
ACH-000053,-0.7305923335250001
ACH-000054,-0.10437075986
ACH-000055,-0.549643001423
ACH-000060,-0.580697328491
ACH-000067,-0.36975610629699995
ACH-000070,-0.33615432101899995
ACH-000075,-0.5187446762610001
ACH-000078,-0.534238435204
ACH-000082,-0.499979695681
ACH-000085,-0.709430476968
ACH-000086,-0.533622745271
ACH-000087,-0.689983745841
ACH-000092,-0.560166357189
ACH-000095,-0.798695553398
ACH-000097,-0.907879279745
ACH-000098,-0.594176741529
ACH-000099,-0.333303955037
ACH-000108,-0.770884580502
ACH-000113,-0.5226708015820001
ACH-000115,-1.20328798784
ACH-000116,-0.7632007468009999
ACH-000118,-0.647703792833
ACH-000120,-0.628708900032
ACH-000123,-0.626059620537
ACH-000127,-0.524291429849
ACH-000128,-0.7699839940279999
ACH-000132,-0.71036843384
ACH-000133,-0.48495158513899994
ACH-000137,-0.48663398292800003
ACH-000138,-0.744022291137
ACH-000142,-0.561508174256
ACH-000143,-0.748339721625
ACH-000146,-0.666077206279
ACH-000148,-0.647987848848
ACH-000150,-0.324438669979
ACH-000152,-0.8140376151629999
ACH-000153,-0.596455915778
ACH-000159,-0.586341317696
ACH-000160,-0.303992459597
ACH-000163,-0.930334504521
ACH-000167,0.35095941422300003
ACH-000168,-0.714046632736
ACH-000169,-0.71031800661
ACH-000178,-0.91511044124
ACH-000182,-0.15794008098600001
ACH-000183,-0.908388836594
ACH-000188,-0.730849323986
ACH-000189,0.357070887294
ACH-000190,-0.30346916287500003
ACH-000198,-0.7410447554970001
ACH-000204,-0.7876337778370001
ACH-000206,-0.767901071595
ACH-000207,-1.0648548644700002
ACH-000211,-0.56649730747
ACH-000215,-0.59249786126
ACH-000221,-0.567069898051
ACH-000222,-0.832569400578
ACH-000223,-0.661311898173
ACH-000226,-0.516745589194
ACH-000227,-0.8707045084749999
ACH-000228,-0.728817956176
ACH-000231,-0.5654700115
ACH-000232,-0.874360085786
ACH-000233,-0.839875609593
ACH-000234,0.19147073446600002
ACH-000235,-0.830293541953
ACH-000237,-0.5942763735750001
ACH-000238,-0.703446214479
ACH-000243,-0.8209409449789999
ACH-000244,0.20030548659400002
ACH-000246,-0.053058308465900005
ACH-000248,-0.760175846793
ACH-000250,-0.587505649814
ACH-000251,-0.520173749123
ACH-000253,-0.963877613135
ACH-000255,-0.778121444882
ACH-000256,-0.6974183239120001
ACH-000257,-0.53254412814
ACH-000258,-0.949119987163
ACH-000259,-0.8143312269480001
ACH-000260,-0.915252610723
ACH-000261,-0.320998026851
ACH-000262,-0.425316762571
ACH-000263,-0.609122078591
ACH-000264,-0.0801706197744
ACH-000265,-0.654871724148
ACH-000266,-0.602959372509
ACH-000272,-1.13186768442
ACH-000273,-0.5823312296109999
ACH-000274,-0.318373890321
ACH-000277,-1.0812085288700002
ACH-000278,-0.195388323453
ACH-000279,-0.561834347285
ACH-000280,-0.30428474631999997
ACH-000281,-0.49615385206600005
ACH-000288,-0.24563340778099998
ACH-000291,-0.8475062504090001
ACH-000293,0.030020876466900003
ACH-000294,-0.724383383883
ACH-000295,-0.669485678592
ACH-000296,-0.6354309198229999
ACH-000302,-0.30866482927
ACH-000304,-0.819896801661
ACH-000307,-0.974363999811
ACH-000308,-0.746737691637
ACH-000310,-0.451970453194
ACH-000311,-0.786028404042
ACH-000312,-1.0320818638
ACH-000315,-1.06899348056
ACH-000316,-0.420545307148
ACH-000317,-0.680218560441
ACH-000318,-0.552867421459
ACH-000319,-0.6751182676980001
ACH-000320,-0.707789978716
ACH-000322,-0.689857239365
ACH-000323,-0.836715168071
ACH-000324,-0.543944647376
ACH-000329,-0.16158994929
ACH-000330,-0.767845337268
ACH-000331,-0.573756345526
ACH-000332,-0.7868565005
ACH-000334,-1.05459004402
ACH-000335,-0.10299251167000001
ACH-000336,-0.571895112583
ACH-000337,-0.561695308558
ACH-000339,-0.473230027926
ACH-000341,-0.7859460370119999
ACH-000348,-0.635107531109
ACH-000350,-0.494761184269
ACH-000352,-0.876622349536
ACH-000356,-0.532169128859
ACH-000361,-0.836310342983
ACH-000362,-0.892865534517
ACH-000363,-0.8700707927670001
ACH-000364,-0.303153266691
ACH-000365,-0.777529330377
ACH-000366,-0.49374937388499995
ACH-000368,-0.24551111913000004
ACH-000374,-0.492606921656
ACH-000375,-0.628144286344
ACH-000376,-0.526333548055
ACH-000381,-0.858022896911
ACH-000383,-0.86513566481
ACH-000387,-0.75019739729
ACH-000389,-0.421525257934
ACH-000390,-0.876229361844
ACH-000393,-0.537931481823
ACH-000395,-0.7252077915530001
ACH-000397,-0.716928326971
