,MLXIPL (51085)
ACH-000004,-0.29613776555599997
ACH-000007,-0.06945838290510001
ACH-000009,-0.069781095708
ACH-000011,-0.006844510245720001
ACH-000012,-0.046701740400999996
ACH-000013,-0.0408280884327
ACH-000014,-0.167092039607
ACH-000015,-0.022602861749999998
ACH-000017,-0.0172576425241
ACH-000018,0.0034351598697199997
ACH-000019,0.0582817533806
ACH-000021,-0.2805196991
ACH-000022,-0.247384133981
ACH-000025,0.025880924021099996
ACH-000028,-0.027305225197000002
ACH-000030,-0.11503658318700001
ACH-000035,-0.395495279361
ACH-000036,0.031914456524799996
ACH-000037,-0.021350815368400004
ACH-000039,0.08770389617350001
ACH-000040,-0.00510601866488
ACH-000041,-0.211538060299
ACH-000042,-0.0676825898455
ACH-000045,-0.162472597534
ACH-000047,-0.285000241743
ACH-000052,-0.305307013775
ACH-000053,-0.165335594716
ACH-000054,-0.10864841852900001
ACH-000055,0.00794318141043
ACH-000060,-0.163792585371
ACH-000067,-0.0530752562043
ACH-000070,0.0567825515069
ACH-000075,-0.135264450491
ACH-000078,-0.0724459310596
ACH-000082,-0.134125831449
ACH-000085,-0.0191988822183
ACH-000086,0.244934465786
ACH-000087,-0.0366509615011
ACH-000092,-0.0699823917701
ACH-000095,-0.122149692843
ACH-000097,-0.08930370348200001
ACH-000098,-0.115386898693
ACH-000099,0.028282481047200003
ACH-000108,-0.0595686414146
ACH-000113,-0.147277290461
ACH-000115,0.217083710451
ACH-000116,-0.117520073743
ACH-000118,-0.15344621100199998
ACH-000120,-0.15887984820999998
ACH-000123,-0.150257192781
ACH-000127,-0.127063633193
ACH-000128,-0.00605879852157
ACH-000132,-0.13687480612800002
ACH-000133,-0.190518724373
ACH-000137,-0.134191028597
ACH-000138,-0.0282166843793
ACH-000142,-0.363345225863
ACH-000143,-0.0534163705963
ACH-000146,-0.186904727742
ACH-000148,-0.0678906031498
ACH-000150,-0.317572013493
ACH-000152,-0.230923073417
ACH-000153,-0.0829715095099
ACH-000159,-0.0185686160285
ACH-000160,0.016789028387200002
ACH-000163,-0.07962759497119999
ACH-000167,0.0612563061874
ACH-000168,-0.497204825612
ACH-000169,-0.214189574568
ACH-000178,-0.28709467746399997
ACH-000182,-0.23056365835099998
ACH-000183,-0.035851514485
ACH-000188,-0.175740642272
ACH-000189,-0.262897492291
ACH-000190,-0.212273499373
ACH-000198,-0.150553752434
ACH-000204,0.11093869441
ACH-000206,0.0716042614355
ACH-000207,-0.0904619002463
ACH-000211,-0.18850987299199998
ACH-000215,-0.0895555240953
ACH-000221,-0.39655908029
ACH-000222,-0.0632106580115
ACH-000223,0.028129454512400003
ACH-000226,-0.0423838182531
ACH-000227,0.08991278457389999
ACH-000228,-0.0546570946239
ACH-000231,-0.133919510399
ACH-000232,-0.19474066009399998
ACH-000233,-0.00707330003417
ACH-000234,-0.181616847395
ACH-000235,-0.108038011056
ACH-000237,-0.13202204395
ACH-000238,-0.34768024149899995
ACH-000243,-0.035059906607699996
ACH-000244,-0.385973936425
ACH-000246,-0.213647964033
ACH-000248,-0.20908787316799998
ACH-000250,-0.121731156905
ACH-000251,-0.116283812639
ACH-000253,0.0841448792623
ACH-000255,-0.293856934372
ACH-000256,-0.07847039328319999
ACH-000257,-0.214592707144
ACH-000258,-0.403350193442
ACH-000259,-0.141038388736
ACH-000260,-0.20066776021899999
ACH-000261,-0.22192274829599998
ACH-000262,-0.16111917299599998
ACH-000263,0.20358770374000001
ACH-000264,-0.117296774519
ACH-000265,-0.108040552318
ACH-000266,-0.137371906048
ACH-000272,-0.0855490448581
ACH-000273,-0.14683030398900002
ACH-000274,0.00228020277445
ACH-000277,-0.0870267727629
ACH-000278,0.00481843696838
ACH-000279,-0.031505792594
ACH-000280,-0.15919266336500001
ACH-000281,0.00736251681919
ACH-000288,-0.162361991939
ACH-000291,0.0039002505063899994
ACH-000293,-0.387612910119
ACH-000294,-0.029282708234900003
ACH-000295,0.13649074715999998
ACH-000296,-0.172385270766
ACH-000302,-0.24006444254
ACH-000304,-0.37306272199900004
ACH-000307,-0.24781534305999997
ACH-000308,-0.10932728956900001
ACH-000310,-0.0346325748881
ACH-000311,-0.22296702343699998
ACH-000312,-0.23024468691599997
ACH-000315,-0.192700588948
ACH-000316,-0.115690514757
ACH-000317,-0.07971526143360001
ACH-000318,-0.020661379001
ACH-000319,-0.0112420963944
ACH-000320,-0.0852232574743
ACH-000322,-0.19203308989999998
ACH-000323,-0.128516001954
ACH-000324,-0.0774532127233
ACH-000329,-0.0424537875423
ACH-000330,0.0787647862354
ACH-000331,-0.109135516548
ACH-000332,0.062052728620400004
ACH-000334,-0.35954055031099996
ACH-000335,-0.27215596169399997
ACH-000336,0.000215098658135
ACH-000337,0.141850507826
ACH-000339,-0.14119746220899998
ACH-000341,-0.041963434678400004
ACH-000348,0.06487352473069999
ACH-000350,0.08471837933800001
ACH-000352,-0.0332059506396
