,GTF2A1 (2957)
ACH-000463,-0.853264907853
ACH-000464,-0.836412199068
ACH-000466,-0.574250149704
ACH-000467,-0.82398554108
ACH-000468,-0.296162891102
ACH-000469,-0.581771216673
ACH-000470,-0.283481387104
ACH-000471,-1.03298222733
ACH-000472,-0.962471201443
ACH-000473,-1.07900355595
ACH-000475,-1.01019329775
ACH-000476,-1.09911143498
ACH-000477,-0.840973565178
ACH-000480,-0.883833730476
ACH-000481,-0.830400500396
ACH-000483,-1.17379786958
ACH-000484,-0.7155375884399999
ACH-000485,-0.820458455924
ACH-000486,-0.894200541182
ACH-000487,-0.953262289447
ACH-000488,-0.711173873054
ACH-000490,-0.825199634362
ACH-000491,-0.6957259274519999
ACH-000495,-1.36883431539
ACH-000496,-0.68779691544
ACH-000499,-0.744076439648
ACH-000500,-0.03520938737630001
ACH-000502,-0.645413336236
ACH-000503,-0.947215448884
ACH-000505,-0.919490138193
ACH-000507,-0.8980284010940001
ACH-000510,-0.547859858542
ACH-000511,-0.7595659176970001
ACH-000512,-0.599783515633
ACH-000516,-0.831073753616
ACH-000517,-0.572604211475
ACH-000518,-1.01871213939
ACH-000520,-0.7166026903630001
ACH-000521,-0.532454773129
ACH-000522,-0.297566258319
ACH-000524,-1.1998467215700002
ACH-000527,-1.024601258
ACH-000528,-0.9649602096500001
ACH-000537,-0.9747581566179999
ACH-000541,-0.760592225614
ACH-000542,-0.607075663073
ACH-000544,-0.8803070099879999
ACH-000545,-0.9831812839890001
ACH-000547,-0.519581295322
ACH-000548,-0.973483860282
ACH-000549,-0.7812788648379999
ACH-000550,-0.933750623565
ACH-000552,-1.00707986324
ACH-000556,-0.907127557585
ACH-000557,-0.8467675627339999
ACH-000570,-1.1294510319600002
ACH-000571,-0.928412002093
ACH-000573,-1.12157300146
ACH-000576,-0.833371136532
ACH-000580,-0.903246452978
ACH-000584,-1.08391044866
ACH-000585,-0.982367950374
ACH-000588,-0.767314531462
ACH-000589,-0.8362303665440001
ACH-000591,-1.08874579856
ACH-000593,-0.833637577084
ACH-000600,-0.873573137772
ACH-000601,-0.7414887689920001
ACH-000604,-1.28161257139
ACH-000605,-0.735779128234
ACH-000606,-0.93161614521
ACH-000608,-1.08026200725
ACH-000614,-0.449006763384
ACH-000616,-0.612083167369
ACH-000618,-0.71981988775
ACH-000619,-0.5321547181790001
ACH-000620,-1.00317512222
ACH-000621,-0.71644645606
ACH-000622,-1.21210153738
ACH-000623,-1.12987544784
ACH-000624,-0.951765257254
ACH-000627,-0.7107241065469999
ACH-000630,-0.67582244637
ACH-000632,-0.622917271303
ACH-000633,-0.767797470362
ACH-000637,-1.02431665199
ACH-000638,-0.6533260512169999
ACH-000646,-1.2424859835
ACH-000647,-0.648311072754
ACH-000648,-0.953585473358
ACH-000649,-0.913606336577
