,IARS (3376)
ACH-000004,-1.19815544296
ACH-000007,-0.980059082393
ACH-000009,-1.4950156556099998
ACH-000011,-1.05742302347
ACH-000012,-1.26948423061
ACH-000013,-1.4508303459799998
ACH-000014,-1.35803964598
ACH-000015,-1.39701155468
ACH-000017,-1.14549032333
ACH-000018,-1.22950270581
ACH-000019,-1.4332866239700002
ACH-000021,-1.4579345881099999
ACH-000022,-1.35723643155
ACH-000025,-1.12088186021
ACH-000028,-1.2211573278299999
ACH-000030,-1.22151863263
ACH-000035,-1.24535918196
ACH-000036,-1.27686729056
ACH-000037,-1.69921705153
ACH-000039,-1.1806021204200001
ACH-000040,-1.65925451986
ACH-000041,-1.48743823412
ACH-000042,-1.41507907991
ACH-000045,-1.2692946506799998
ACH-000047,-1.0937059573899999
ACH-000052,-1.14004787723
ACH-000053,-1.38351794636
ACH-000054,-1.3812502035699998
ACH-000055,-1.04644950851
ACH-000060,-1.14363378423
ACH-000067,-1.34074295063
ACH-000070,-1.16165995135
ACH-000075,-1.3537668460899999
ACH-000078,-1.29706895406
ACH-000082,-1.21693489742
ACH-000085,-1.36628251769
ACH-000086,-1.18158300752
ACH-000087,-1.37985930659
ACH-000092,-1.3574112327599999
ACH-000095,-1.43208615136
ACH-000097,-1.33247317497
ACH-000098,-1.0721954819600001
ACH-000099,-1.28375113188
ACH-000108,-1.54449397905
ACH-000113,-1.3356818473899998
ACH-000115,-2.05280731537
ACH-000116,-1.12576055088
ACH-000118,-1.23948067963
ACH-000120,-1.314598347
ACH-000123,-1.22597209367
ACH-000127,-1.2638561903299999
ACH-000128,-1.31866093714
ACH-000132,-1.46405007972
ACH-000133,-1.06117163925
ACH-000137,-1.31862472328
ACH-000138,-1.25232864937
ACH-000142,-1.0911880087299999
ACH-000143,-1.4344224811000001
ACH-000146,-1.50477649027
ACH-000148,-1.4416347503799998
ACH-000150,-1.01826092251
ACH-000152,-1.2457403433399998
ACH-000153,-1.21728594695
ACH-000159,-1.58952806349
ACH-000160,-1.38428336611
ACH-000163,-1.2428342735200002
ACH-000167,-1.8774660596700001
ACH-000168,-1.36397820813
ACH-000169,-1.1543212348
ACH-000178,-1.18649887302
ACH-000182,-1.4706057289399999
ACH-000183,-1.1659184183600002
ACH-000188,-0.944803768027
ACH-000189,-0.930282532369
ACH-000190,-1.07033389767
ACH-000198,-1.50558386616
ACH-000204,-1.5365672179299998
ACH-000206,-1.14439633346
ACH-000207,-1.0595872274
ACH-000211,-1.09991731435
ACH-000215,-1.3985861800400001
ACH-000221,-1.43328921575
ACH-000222,-1.37133184616
ACH-000223,-1.20990885462
ACH-000226,-1.3104386952399998
ACH-000227,-0.966514775689
ACH-000228,-1.0969500494700002
ACH-000231,-1.1069582230600001
ACH-000232,-1.16857630652
ACH-000233,-1.09753121
ACH-000234,-1.3811827681600002
ACH-000235,-1.35258042774
ACH-000237,-1.3147088889899998
ACH-000238,-1.36467131995
ACH-000243,-1.0728497842
ACH-000244,-1.4276015328
ACH-000246,-1.18193222829
ACH-000248,-1.35473156553
ACH-000250,-1.08818253241
ACH-000251,-1.21839687119
ACH-000253,-1.2543511784299999
ACH-000255,-1.3934728170200001
ACH-000256,-1.49620778136
ACH-000257,-1.7526331172599998
ACH-000258,-1.1017625573799998
ACH-000259,-1.35068655803
ACH-000260,-1.25645751799
ACH-000261,-1.3425734817200001
ACH-000262,-1.4789158625799999
