,DOLPP1 (57171)
ACH-000004,-0.31739221838000004
ACH-000007,0.096096149641
ACH-000009,-0.39722032675200003
ACH-000011,-0.7788285246789999
ACH-000012,-0.295436212021
ACH-000013,-0.29423234761
ACH-000014,0.246408846151
ACH-000015,-0.460620168064
ACH-000017,-0.381201785109
ACH-000018,-1.2006499014399998
ACH-000019,-0.312456320824
ACH-000021,-0.256225572244
ACH-000022,-0.380457876783
ACH-000025,-0.462387325251
ACH-000028,-0.224419605878
ACH-000030,-0.21481331276700003
ACH-000035,-0.545884521861
ACH-000036,-0.854915177884
ACH-000037,-0.39419019094499996
ACH-000039,-0.331401978648
ACH-000040,-0.32431390089699996
ACH-000041,-0.158054382519
ACH-000042,-0.404415836584
ACH-000045,-0.7276935100699999
ACH-000047,-0.475904090101
ACH-000052,-0.422653305782
ACH-000053,-0.317342895231
ACH-000054,-0.321454465682
ACH-000055,-0.254187400548
ACH-000060,-0.7718951415449999
ACH-000067,-0.135722970204
ACH-000070,-0.504491810131
ACH-000075,-0.441195179871
ACH-000078,-0.385937322833
ACH-000082,-0.304557916881
ACH-000085,-1.0200907026000001
ACH-000086,-0.715979857735
ACH-000087,0.059468073401100004
ACH-000092,-0.646611331156
ACH-000095,-0.0803647250787
ACH-000097,-0.3826208761
ACH-000098,-0.461413568447
ACH-000099,-0.207968802309
ACH-000108,-0.43613764088
ACH-000113,-0.196427683288
ACH-000115,-0.39557355408
ACH-000116,-0.21036653783300002
ACH-000118,-0.5580668829959999
ACH-000120,-0.320061765452
ACH-000123,-0.245668622626
ACH-000127,-0.853998643169
ACH-000128,-0.3949599458
ACH-000132,-1.0819743714
ACH-000133,-0.518465593428
ACH-000137,-0.17126111112700002
ACH-000138,-0.27712916375
ACH-000142,-0.560969163044
ACH-000143,-0.200381285222
ACH-000146,-0.284093544681
ACH-000148,-0.32085646854100003
ACH-000150,-0.58046229024
ACH-000152,-0.302992679835
ACH-000153,-0.299228978177
ACH-000159,-0.38770732142700004
ACH-000160,-0.318893337901
ACH-000163,-0.680207751662
ACH-000167,-0.581098236232
ACH-000168,-0.82759506913
ACH-000169,-0.720415070114
ACH-000178,-0.526871293764
ACH-000182,-0.397791400878
ACH-000183,-0.919843614575
ACH-000188,-0.977225969118
ACH-000189,-0.657001377401
ACH-000190,-0.17538714201400002
ACH-000198,-0.22629142920899997
ACH-000204,-0.325719856387
ACH-000206,-0.350574577073
ACH-000207,-0.632738296814
ACH-000211,-0.376217898243
ACH-000215,-0.648827960592
ACH-000221,-0.221921627989
ACH-000222,-0.847007413465
ACH-000223,-0.22538526146200002
ACH-000226,-0.617422652148
ACH-000227,-0.524091054375
ACH-000228,-0.0100090475769
ACH-000231,-0.11950748595100001
ACH-000232,-0.0700160997487
ACH-000233,-0.4087227386300001
ACH-000234,-0.296501334017
ACH-000235,-0.38991127023199995
ACH-000237,-0.373913659761
ACH-000238,-0.905400745122
ACH-000243,-0.562542898983
ACH-000244,-0.40738259119000003
ACH-000246,-0.335955782924
ACH-000248,-0.189747136912
ACH-000250,-0.47517894337899996
ACH-000251,-0.371017393419
ACH-000253,-0.419492308345
ACH-000255,-1.07044138522
ACH-000256,-0.34417380445
ACH-000257,-0.0173339057519
ACH-000258,-0.21686750844500002
ACH-000259,-0.37053037114
ACH-000260,-1.06079384853
ACH-000261,-0.6226033529730001
ACH-000262,-0.629247512936
ACH-000263,-0.643457420435
ACH-000264,-0.458596203586
ACH-000265,-0.145533143804
ACH-000266,-0.439519184832
ACH-000272,-0.7524743647050001
