,SUGT1 (10910)
ACH-000004,-0.743777492738
ACH-000007,-0.761983555033
ACH-000009,-0.134997166934
ACH-000011,-0.79023320177
ACH-000012,-0.68633678903
ACH-000013,-0.783707243632
ACH-000014,-0.722826751507
ACH-000015,-0.977430886949
ACH-000017,-0.581740281821
ACH-000018,-0.714763849264
ACH-000019,-0.25899975630600003
ACH-000021,-0.507895854171
ACH-000022,-0.361324005893
ACH-000025,-0.8486653918529999
ACH-000028,-0.7430966030239999
ACH-000030,-0.575901417155
ACH-000035,-0.507543286913
ACH-000036,-0.8864612713339999
ACH-000037,-1.09973188472
ACH-000039,-0.892680512823
ACH-000040,-1.17037382265
ACH-000041,-0.5607887856539999
ACH-000042,-0.945787335323
ACH-000045,-0.6404544222190001
ACH-000047,-0.9719247745209999
ACH-000052,-1.08991976093
ACH-000053,-0.107133575666
ACH-000054,-0.686240216896
ACH-000055,-0.5549870612650001
ACH-000060,-0.938606022273
ACH-000067,-0.834710238327
ACH-000070,-0.490138775889
ACH-000075,-0.8338324453749999
ACH-000078,-0.8751433261079999
ACH-000082,-0.37351565109499996
ACH-000085,-1.16248770117
ACH-000086,-0.809577941242
ACH-000087,-0.827928137172
ACH-000092,-1.29337950426
ACH-000095,-0.689517438387
ACH-000097,-0.7417434404019999
ACH-000098,-0.580634352588
ACH-000099,-0.563075963611
ACH-000108,-0.38285850539099997
ACH-000113,-0.444369502889
ACH-000115,-0.330561427256
ACH-000116,-0.789267239627
ACH-000118,-0.6845815729639999
ACH-000120,-0.6723695595010001
ACH-000123,-0.7439025889399999
ACH-000127,-0.60499254365
ACH-000128,-0.5313842664199999
ACH-000132,-0.539859404966
ACH-000133,-1.03758040204
ACH-000137,-0.8569389075480001
ACH-000138,-1.0042888138400001
ACH-000142,-0.8036021260740001
ACH-000143,-0.329322101006
ACH-000146,-0.7019116611409999
ACH-000148,-0.862556084051
ACH-000150,-0.838906988952
ACH-000152,-0.612557676658
ACH-000153,-1.15078718723
ACH-000159,-0.47182709097099995
ACH-000160,-0.998731573964
ACH-000163,-1.28289799386
ACH-000167,-0.821614436201
ACH-000168,-0.826699304703
ACH-000169,-0.541233679796
ACH-000178,-0.72543483005
ACH-000182,-0.965176295029
ACH-000183,-0.47161006527099997
ACH-000188,-0.8478849805769999
ACH-000189,-0.395244504273
ACH-000190,-0.34578678819200004
ACH-000198,-0.7337829795630001
ACH-000204,-0.5633319046149999
ACH-000206,-0.8730626187899999
ACH-000207,-0.09318329910539999
ACH-000211,-0.625857064164
ACH-000215,-0.744317069938
ACH-000221,-0.730408052081
ACH-000222,-0.389588577315
ACH-000223,-1.23210709525
ACH-000226,-0.742772656503
ACH-000227,-0.603460146987
ACH-000228,-0.8218180518639999
ACH-000231,-0.65589468323
ACH-000232,-0.658722200723
ACH-000233,-0.46141362485699994
ACH-000234,-1.02388539464
ACH-000235,-0.841995507666
ACH-000237,-1.00842452676
ACH-000238,-0.890268240382
ACH-000243,-0.320097859524
ACH-000244,-1.25622656236
ACH-000246,-0.7645846024690001
ACH-000248,-0.783622968283
ACH-000250,-0.661001680689
ACH-000251,-1.4410266558200002
ACH-000253,-0.5773548787080001
ACH-000255,-0.395780910524
ACH-000256,-0.417505608721
