,DHDDS (79947)
ACH-000004,-1.39207864875
ACH-000007,-1.48768243402
ACH-000009,-1.38043772939
ACH-000011,-1.29140309533
ACH-000012,-1.3774414865600002
ACH-000013,-1.5244651762099999
ACH-000014,-1.3252189925700002
ACH-000015,-1.25038040753
ACH-000017,-1.66696048766
ACH-000018,-1.25738081998
ACH-000019,-1.71465330803
ACH-000021,-1.1865705637700001
ACH-000022,-1.55859779648
ACH-000025,-1.3761232499
ACH-000028,-1.62012654815
ACH-000030,-1.50021324446
ACH-000035,-1.3453625023700002
ACH-000036,-1.59048794588
ACH-000037,-1.67917712121
ACH-000039,-1.59865027755
ACH-000040,-1.2294160989899998
ACH-000041,-1.0585022173899998
ACH-000042,-1.41046451428
ACH-000045,-1.48175846382
ACH-000047,-1.22204404759
ACH-000052,-1.3657352282799997
ACH-000053,-1.52050828701
ACH-000054,-1.50087734741
ACH-000055,-1.06083035517
ACH-000060,-1.54024446091
ACH-000067,-1.4307365307799997
ACH-000070,-1.52427660465
ACH-000075,-1.65541539778
ACH-000078,-1.53423467225
ACH-000082,-1.70012562681
ACH-000085,-1.2115207674700001
ACH-000086,-1.29279295377
ACH-000087,-1.05032391864
ACH-000092,-1.48218873319
ACH-000095,-1.44904439421
ACH-000097,-1.3107505823999999
ACH-000098,-1.46406834507
ACH-000099,-1.64673833442
ACH-000108,-1.41037218771
ACH-000113,-1.4019693609200001
ACH-000115,-2.0552127106599998
ACH-000116,-1.39095480662
ACH-000118,-1.3846167893
ACH-000120,-1.78645041521
ACH-000123,-1.58090016042
ACH-000127,-1.58168510502
ACH-000128,-1.39352268782
ACH-000132,-1.69375205768
ACH-000133,-1.2974015288
ACH-000137,-1.4560966011
ACH-000138,-1.42183666568
ACH-000142,-1.55970097647
ACH-000143,-1.3903975643700002
ACH-000146,-1.4755154687099998
ACH-000148,-1.2727003772
ACH-000150,-1.41123295005
ACH-000152,-1.37361010474
ACH-000153,-1.5517889981600002
ACH-000159,-1.2420206814499999
ACH-000160,-1.4749575015
ACH-000163,-1.06371243705
ACH-000167,-2.03183624597
ACH-000168,-1.66332648171
ACH-000169,-1.2874407956799998
ACH-000178,-1.3758668923299997
ACH-000182,-1.45539570156
ACH-000183,-1.5316383831799998
ACH-000188,-1.38651046347
ACH-000189,-1.5926794016699999
ACH-000190,-1.4408960398800001
ACH-000198,-1.46316602762
ACH-000204,-1.32786060672
ACH-000206,-1.0753604487200001
ACH-000207,-1.84441526267
ACH-000211,-1.3344625397499998
ACH-000215,-1.3867268083500002
ACH-000221,-1.43732928278
ACH-000222,-1.7348301558900001
ACH-000223,-1.7253523374900002
ACH-000226,-1.4383299792700002
ACH-000227,-1.36128490016
ACH-000228,-1.62055242565
ACH-000231,-1.1346024128299999
ACH-000232,-1.4330342342299998
ACH-000233,-1.3832316489399998
ACH-000234,-1.29675737785
ACH-000235,-1.50834960747
ACH-000237,-1.37838244537
ACH-000238,-1.7182035872799999
ACH-000243,-1.3683022479700002
ACH-000244,-1.3576530128
ACH-000246,-1.56881519116
ACH-000248,-1.5185421163100001
ACH-000250,-1.20186946125
ACH-000251,-1.40194781113
ACH-000253,-1.59488198714
ACH-000255,-1.34104042564
ACH-000256,-1.16913904424
ACH-000257,-1.27651031612
ACH-000258,-1.09703959207
ACH-000259,-1.2176719003799998
ACH-000260,-1.30947129791
ACH-000261,-1.5274310864200003
ACH-000262,-1.4919769872400002
ACH-000263,-1.5298978502
ACH-000264,-1.8093976101700002
ACH-000265,-1.07460542506
ACH-000266,-1.50804993127
ACH-000272,-1.32302219559
ACH-000273,-1.08306919266
ACH-000274,-1.6864196900100001
ACH-000277,-1.6994871242899998
ACH-000278,-1.35477439
ACH-000279,-1.2881778179999999
ACH-000280,-1.36950878824
ACH-000281,-1.25733605466
ACH-000288,-1.36578595194
ACH-000291,-1.4481121732799997
ACH-000293,-1.14705503508
ACH-000294,-1.51265499954
ACH-000295,-1.7569773573400003
ACH-000296,-1.53360115887
ACH-000302,-1.42198118826
ACH-000304,-1.10017837497
ACH-000307,-1.47348545261
ACH-000308,-1.51765621366
ACH-000310,-1.40449841491
ACH-000311,-1.53319089893
ACH-000312,-1.36355516563
ACH-000315,-1.5646821488799998
ACH-000316,-1.36823383268
ACH-000317,-1.7151153033000002
ACH-000318,-1.39688288079
ACH-000319,-1.35965209498
ACH-000320,-1.4968467832299999
ACH-000322,-1.4885845177099999
ACH-000323,-1.29678935423
ACH-000324,-1.24839885063
ACH-000329,-1.58226764296
ACH-000330,-1.8084154864099997
ACH-000331,-1.29608862349
ACH-000332,-1.4607097356
ACH-000334,-1.37929412335
ACH-000335,-1.28517824294
ACH-000336,-1.11403531784
ACH-000337,-1.57473178617
ACH-000339,-1.44242257803
ACH-000341,-1.60219949018
ACH-000348,-1.4633505527200001
ACH-000350,-1.7038308008399998
ACH-000352,-1.63106669661
ACH-000356,-1.64945262984
ACH-000361,-1.2910939292899999
ACH-000362,-1.54926303049
ACH-000363,-1.60867420769
ACH-000364,-1.39940521856
ACH-000365,-1.5911691083200001
ACH-000366,-1.4425687033
ACH-000368,-1.40960292713
ACH-000374,-1.35515199503
ACH-000375,-1.67061307019
ACH-000376,-1.51596831915
ACH-000381,-1.39072980764
ACH-000383,-1.79931487749
ACH-000387,-1.1450881576899998
ACH-000389,-1.16485811642
ACH-000390,-1.51986587105
ACH-000393,-1.41770361154
ACH-000395,-1.7380413097599998
ACH-000397,-1.44440316261
ACH-000401,-1.34177901578
ACH-000402,-1.55936596814
ACH-000403,-1.81886147858
ACH-000404,-1.2436693931899998
ACH-000406,-1.35355673193
ACH-000407,-1.42434542189
ACH-000408,-1.58263324854
ACH-000410,-1.36956904906
ACH-000411,-1.5722536863799998
ACH-000414,-1.52597937689
ACH-000415,-1.6163940296700001
ACH-000416,-1.4108809592700002
ACH-000420,-1.6218201459600001
ACH-000421,-1.26433397724
ACH-000424,-1.3263973570299998
ACH-000425,-1.46135321384
ACH-000426,-1.6268860845
ACH-000427,-1.9897000526700002
ACH-000433,-1.4233322762799998
ACH-000436,-1.6119505353
ACH-000444,-1.50054304774
ACH-000445,-1.25320302956
ACH-000448,-1.40851800676
ACH-000450,-1.54475433412
ACH-000452,-1.29496152479
ACH-000454,-1.40687077565
