,OGFR (11054)
ACH-000004,-0.380852972939
ACH-000007,-0.440091270912
ACH-000009,-0.613267609698
ACH-000011,-0.179248702857
ACH-000012,-0.37211652439099996
ACH-000013,-0.397432160479
ACH-000014,-0.19466213154599998
ACH-000015,-0.43261707380000003
ACH-000017,-0.44574457741000006
ACH-000018,-0.16784559937600002
ACH-000019,-0.562593615284
ACH-000021,-0.572410188621
ACH-000022,-0.42349393202
ACH-000025,-0.391018431915
ACH-000028,-0.42960074117200003
ACH-000030,-0.3909635389
ACH-000035,-0.44303560953000004
ACH-000036,-0.296635406655
ACH-000037,-0.342498466281
ACH-000039,-0.619806640058
ACH-000040,-0.35810277675700003
ACH-000041,-0.198197193351
ACH-000042,-0.7144006674779999
ACH-000045,-0.27944797345600003
ACH-000047,-0.448391634789
ACH-000052,-0.0028563751268899998
ACH-000053,-0.722696076012
ACH-000054,-0.421863056894
ACH-000055,-0.450211784806
ACH-000060,-0.451309799536
ACH-000067,-0.249268100889
ACH-000070,-0.386747941096
ACH-000075,-0.424231928703
ACH-000078,-0.37150851136299995
ACH-000082,-0.469687626419
ACH-000085,-0.30926499571800004
ACH-000086,-0.444675027006
ACH-000087,-0.39018140712099997
ACH-000092,-0.22208984181299998
ACH-000095,-0.577635592815
ACH-000097,-0.5381994312839999
ACH-000098,-0.33458408826499997
ACH-000099,-0.489947642678
ACH-000108,-0.262297759965
ACH-000113,-0.48818265058300003
ACH-000115,-0.5998545667
ACH-000116,-0.38809028388800004
ACH-000118,-0.5835639368469999
ACH-000120,-0.502145960794
ACH-000123,-0.444580606632
ACH-000127,-0.316008626882
ACH-000128,-0.341693742277
ACH-000132,-0.575154922582
ACH-000133,-0.487442738208
ACH-000137,0.051225149013700004
ACH-000138,-0.597374241149
ACH-000142,-0.672108856733
ACH-000143,-0.660445837814
ACH-000146,-0.345218835651
ACH-000148,-0.29837809969900003
ACH-000150,-0.567681793569
ACH-000152,-0.351974652645
ACH-000153,-0.499971848508
ACH-000159,-0.375810454379
ACH-000160,-0.44032376021799996
ACH-000163,-0.33820063451399995
ACH-000167,-0.125024599755
ACH-000168,-0.361758061106
ACH-000169,-0.452620356575
ACH-000178,-0.327663357048
ACH-000182,-0.23371539366099997
ACH-000183,-0.35351791025300006
ACH-000188,-0.120821056216
ACH-000189,0.0369108381494
ACH-000190,-0.480168777805
ACH-000198,-0.380356137546
ACH-000204,-0.252856357855
ACH-000206,-0.22737029001200001
ACH-000207,-0.543101404478
ACH-000211,-0.575858629775
ACH-000215,-0.741913636409
ACH-000221,-0.508866542419
ACH-000222,-0.711459676276
ACH-000223,-0.34461791810500003
ACH-000226,-0.458268138222
ACH-000227,-0.829149892401
ACH-000228,-0.538225584566
ACH-000231,-0.210033760113
ACH-000232,-0.389251064776
ACH-000233,-0.44218724281800004
ACH-000234,-0.38820293770099995
ACH-000235,-0.378538755762
ACH-000237,-0.208550615856
ACH-000238,-0.6064982825990001
ACH-000243,-0.7348843999950001
ACH-000244,-0.318683135319
ACH-000246,-0.522498518953
ACH-000248,-0.6077909512799999
ACH-000250,-0.575111304277
ACH-000251,-0.439533159979
ACH-000253,-0.580895925984
ACH-000255,-0.241424046606
ACH-000256,-0.518440651404
ACH-000257,-0.333151667338
ACH-000258,-0.52607705108
ACH-000259,-0.553580171361
ACH-000260,-0.571629894903
ACH-000261,-0.370070583527
ACH-000262,-0.26293999500799997
ACH-000263,-0.743211235345
ACH-000264,-0.8076388555640001
ACH-000265,-0.387266875101
ACH-000266,-0.36528057165100003
ACH-000272,-0.557577922815
ACH-000273,-0.409699364148
ACH-000274,-0.6473719086899999
ACH-000277,-0.37114755755999995
ACH-000278,-0.0032437170092
ACH-000279,-0.533649529167
ACH-000280,-0.535951136077
ACH-000281,-0.6065110105839999
ACH-000288,-0.223269041516
ACH-000291,-0.7230177377570001
ACH-000293,-0.521324079277
ACH-000294,-0.333332183858
ACH-000295,-0.33712755349600004
ACH-000296,-0.7277296097600001
ACH-000302,-0.480014454569
ACH-000304,-0.556187944192
ACH-000307,-0.20645668228
ACH-000308,-0.6864458218089999
ACH-000310,-0.656351333603
ACH-000311,-0.696512642972
ACH-000312,-0.617304475957
ACH-000315,-0.363940399441
ACH-000316,-0.21094494809
ACH-000317,-0.439573479855
ACH-000318,-0.3475832826
ACH-000319,-0.397264487286
ACH-000320,-0.547393170635
ACH-000322,-0.469011790732
ACH-000323,-0.450376967829
ACH-000324,-0.549222453651
ACH-000329,-0.5151826679339999
ACH-000330,-0.481281016639
ACH-000331,-0.28520362339600003
ACH-000332,-0.469808814285
ACH-000334,-0.559044111189
ACH-000335,-0.148217732911
ACH-000336,-0.650303915583
ACH-000337,-0.23104877982500002
ACH-000339,-0.501101941986
ACH-000341,-0.543391955748
ACH-000348,-0.153277749095
ACH-000350,-0.370482179261
ACH-000352,-0.496385966949
ACH-000356,-0.38511683776600003
ACH-000361,-0.266040320794
ACH-000362,-0.306236287556
ACH-000363,-0.270415710323
ACH-000364,-0.638062163459
ACH-000365,-0.491182236226
ACH-000366,-0.527854352262
ACH-000368,-0.277075649384
ACH-000374,-0.335952493768
ACH-000375,-0.440529870903
ACH-000376,-0.289067326158
ACH-000381,-0.306598225524
ACH-000383,-0.498010895362
ACH-000387,-0.64626536884
ACH-000389,-0.388968952337
ACH-000390,-0.49831813974600003
ACH-000393,-0.398723334248
ACH-000395,-0.872579228269
ACH-000397,-0.489088466095
ACH-000401,-0.605571590208
ACH-000402,-0.256324345929
ACH-000403,-0.385026079878
ACH-000404,-0.557949273266
ACH-000406,-0.34756428215199997
ACH-000407,-0.224148990042
ACH-000408,-0.569886971137
ACH-000410,-0.335783167373
ACH-000411,-0.288384824718
ACH-000414,-0.517133509632
ACH-000415,-0.48457186796
ACH-000416,-0.267524864337
ACH-000420,-0.337371639881
ACH-000421,-0.48640662416
ACH-000424,-0.248730511815
ACH-000425,-0.550469842593
ACH-000426,-0.368533550649
ACH-000427,-0.17663341391100001
ACH-000433,-0.22924292246
ACH-000436,-0.635438188288
ACH-000444,-0.41059901433799995
ACH-000445,-0.292168235431
ACH-000448,-0.36414437124
ACH-000450,-0.516512062403
ACH-000452,-0.7357514890700001
ACH-000454,0.132851461244
ACH-000458,-0.241007857895
ACH-000459,-0.272618280677
ACH-000460,-0.28654037306200003
ACH-000461,-0.437913078004
ACH-000463,-0.506396504649
ACH-000464,-0.411206931658
ACH-000466,-0.558661067415
ACH-000467,-0.867228637194
ACH-000468,-0.518828817774
ACH-000469,-0.466780454763
ACH-000470,-0.570514897312
ACH-000471,-0.626436067524
ACH-000472,-0.45680237959799996
ACH-000473,-0.108738975225
ACH-000475,-0.439256847217
ACH-000476,-0.683528081978
ACH-000477,-0.328039975996
ACH-000480,-0.335239199991
ACH-000481,-0.509899280681
ACH-000483,-0.649007528725
ACH-000484,-0.42198988889
ACH-000485,-0.29618185248
ACH-000486,-0.408729154415
ACH-000487,-0.455927681702
ACH-000488,-0.437368760199
ACH-000490,-0.443192291342
ACH-000491,-0.8084387690770001
ACH-000495,-0.581073583919
ACH-000496,-0.46915789204499997
ACH-000499,-0.142165797446
ACH-000500,-0.421469022944
ACH-000502,-0.442126330932
ACH-000503,-0.10381125417199999
ACH-000505,-0.288223770617
ACH-000507,-0.596546898186
ACH-000510,-0.510963798804
ACH-000511,-0.24117887228
ACH-000512,0.11019625451500001
ACH-000516,-0.26657290475699996
ACH-000517,-0.398080393431
ACH-000518,-0.156320726207
ACH-000520,-0.36854696627300004
ACH-000521,-0.655709676098
ACH-000522,-0.378558231951
ACH-000524,-0.518094868604
ACH-000527,-0.48655273283399997
ACH-000528,-0.326124414786
ACH-000537,-0.375513364248
ACH-000541,-0.549581701532
ACH-000542,-0.454941624772
ACH-000544,-0.451207779624
ACH-000545,-0.427905955726
ACH-000547,-0.028176304707400002
ACH-000548,-0.390165571919
ACH-000549,-0.16264421387800002
ACH-000550,-0.369548888645
ACH-000552,-0.550658256156
ACH-000556,-0.612552112297
ACH-000557,-0.6930499821230001
ACH-000570,-0.317051075413
ACH-000571,-0.472382796425
ACH-000573,-0.130789023329
ACH-000576,-0.275813435874
ACH-000580,-0.719984382112
ACH-000584,-0.392347924353
ACH-000585,-0.453865048253
ACH-000588,-0.517858033784
ACH-000589,-0.675169480217
ACH-000591,-0.645817554599
ACH-000593,-0.25290056299
ACH-000600,-0.46388714875200004
ACH-000601,-0.4740583255
ACH-000604,-0.7084994030539999
ACH-000605,-0.391944743102
ACH-000606,-0.15978478249000003
ACH-000608,-0.7388343286669999
ACH-000614,-0.623748594011
ACH-000616,-0.508491138237
ACH-000618,-0.498087342082
ACH-000619,-0.46166484172
ACH-000620,-0.48209609861
ACH-000621,-0.37478907404
ACH-000622,-0.549303099652
ACH-000623,-0.45498828631099997
ACH-000624,-0.477221882202
ACH-000627,-0.338198918381
ACH-000630,-0.458927276715
ACH-000632,-0.6577399027849999
ACH-000633,-0.6744549919580001
ACH-000637,-0.44005537321800003
ACH-000638,-0.372354072966
ACH-000646,-0.644195674918
ACH-000647,-0.545753166276
ACH-000648,-0.45328291688699995
ACH-000649,-0.457070619146
ACH-000651,-0.519706560202
ACH-000652,-0.29641554913199997
ACH-000653,-0.69833245124
ACH-000657,-0.602783669658
ACH-000658,-0.20553855523400003
ACH-000661,-0.42352954700499995
ACH-000662,-0.596842718824
ACH-000663,-0.373596840273
ACH-000665,-0.44718930186800004
ACH-000671,-0.583415832216
ACH-000673,-0.6026020068110001
ACH-000676,-0.37593936519
ACH-000677,-0.630789376709
ACH-000681,-0.504852925023
ACH-000682,-0.513520728328
ACH-000683,-0.551256248243
ACH-000684,-0.419504146739
ACH-000688,-0.309752319255
ACH-000693,-0.474282731652
ACH-000694,-0.495250960242
ACH-000695,-0.668704789508
ACH-000696,-0.413914784771
ACH-000697,-0.34450843565
ACH-000699,-0.481418510505
ACH-000701,-0.539228978063
ACH-000706,-0.252949901573
ACH-000711,-0.514070047672
ACH-000713,-0.470841273991
ACH-000714,-0.34538996329000005
ACH-000718,-0.550908249323
ACH-000720,-0.463322551778
ACH-000721,-0.438217365614
ACH-000724,-0.459384542232
ACH-000725,-0.36438289357000003
ACH-000732,0.022860379194099997
ACH-000734,-0.439624480575
ACH-000735,-0.5367049903
ACH-000736,-0.23123353523
ACH-000738,-0.404702123869
ACH-000746,-0.58953855588
ACH-000747,-0.417416550376
ACH-000748,-0.471891232028
ACH-000753,-0.290781052815
ACH-000756,0.11923586183
ACH-000757,-0.435514380957
ACH-000758,-0.450007045449
ACH-000760,-0.37254257281900005
ACH-000763,-0.24256278678000004
ACH-000764,-0.308129226906
ACH-000765,-0.263929666952
ACH-000766,-0.462314483112
ACH-000767,-0.708274646739
ACH-000768,-0.240102785205
ACH-000769,-0.533754039028
ACH-000770,-0.44954283508500004
ACH-000771,-0.341116532262
ACH-000773,-0.45832366420500004
ACH-000776,-0.735329924762
ACH-000777,-0.32349101117199996
ACH-000778,-0.369740896452
ACH-000781,-0.469874772208
ACH-000782,-0.310028971897
ACH-000783,-0.753143219363
ACH-000784,-0.472672018433
ACH-000785,-0.613778622978
ACH-000787,-0.21271401371100002
ACH-000788,-0.48457307988399995
ACH-000791,-0.55483432141
ACH-000792,-0.24376430943799998
ACH-000794,-0.476941177601
ACH-000796,-0.38914608105099996
ACH-000799,-0.332443169263
ACH-000800,-0.40774932458200003
ACH-000802,-0.18878679138300003
ACH-000804,-0.393912705281
ACH-000805,-0.711591486453
ACH-000809,-0.42378133683200003
ACH-000810,-0.262161647432
ACH-000811,-0.53729010237
ACH-000817,-0.321216444835
ACH-000819,-0.476449735404
