,SPRTN (83932)
ACH-000004,-0.652099483938
ACH-000007,-0.40805379866400004
ACH-000009,-0.786813850618
ACH-000011,-0.6992193691609999
ACH-000012,-0.7621921715019999
ACH-000013,-0.976316780096
ACH-000014,-0.6671638389410001
ACH-000015,-0.7331622324510001
ACH-000017,-0.947038494343
ACH-000018,-0.904238463084
ACH-000019,-0.7552193502060001
ACH-000021,-0.836625028558
ACH-000022,-1.1410960968100001
ACH-000025,-0.644078912345
ACH-000028,-0.694747840928
ACH-000030,-0.49041600528000007
ACH-000035,-0.523558622918
ACH-000036,-0.8246044884229999
ACH-000037,-0.619705405687
ACH-000039,-0.9676942269419999
ACH-000040,-0.793273039789
ACH-000041,-0.995312023292
ACH-000042,-0.628450735784
ACH-000045,-0.858027390645
ACH-000047,-1.05021251394
ACH-000052,-0.9881150828730001
ACH-000053,-0.8316157551960001
ACH-000054,-0.850007378778
ACH-000055,-0.8432281902940001
ACH-000060,-0.719037063951
ACH-000067,-0.977958618628
ACH-000070,-0.651975849721
ACH-000075,-0.6157283035600001
ACH-000078,-1.1000649388
ACH-000082,-0.608606088795
ACH-000085,-0.406607975061
ACH-000086,-1.02913743443
ACH-000087,-0.9031649275650001
ACH-000092,-0.990903051233
ACH-000095,-0.95851159436
ACH-000097,-0.47636032433
ACH-000098,-0.713560206769
ACH-000099,-1.16491675635
ACH-000108,-0.787634979571
ACH-000113,-0.623934295994
ACH-000115,-0.638210997667
ACH-000116,-0.8887248456710001
ACH-000118,-0.562044115982
ACH-000120,-0.6613280980349999
ACH-000123,-0.653015483162
ACH-000127,-0.70196284745
ACH-000128,-0.916827128661
ACH-000132,-0.9306810794410001
ACH-000133,-0.504663144561
ACH-000137,-1.03385511152
ACH-000138,-0.7608498473309999
ACH-000142,-0.825684411252
ACH-000143,-1.04912879073
ACH-000146,-0.455433430717
ACH-000148,-0.8073627031999999
ACH-000150,-1.2464091241
ACH-000152,-0.740334426118
ACH-000153,-1.08705825605
ACH-000159,-0.6320751810490001
ACH-000160,-0.43833057971600003
ACH-000163,-0.544427683965
ACH-000167,-0.78795358242
ACH-000168,-0.58336145978
ACH-000169,-0.9204418484129999
ACH-000178,-0.930956229323
ACH-000182,-0.815365661744
ACH-000183,-0.600764847225
ACH-000188,-0.624741921243
ACH-000189,-0.8343740336959999
ACH-000190,-0.683383930153
ACH-000198,-0.7920601891410001
ACH-000204,-0.781357567261
ACH-000206,-0.689636820088
ACH-000207,-0.9835082537720001
ACH-000211,-0.677244670396
ACH-000215,-0.911530780381
ACH-000221,-0.705270929737
ACH-000222,-0.808886091019
ACH-000223,-0.676459509817
ACH-000226,-0.622198095529
ACH-000227,-0.930178647923
ACH-000228,-1.21086244364
ACH-000231,-1.20915728968
ACH-000232,-0.899926087484
ACH-000233,-0.484035605089
ACH-000234,-0.8493323104970001
ACH-000235,-1.04943685365
ACH-000237,-0.565494345515
ACH-000238,-0.675215252148
ACH-000243,-0.968801120634
ACH-000244,-0.867497573232
ACH-000246,-0.971879666199
ACH-000248,-0.575677445247
ACH-000250,-0.9248832845110001
ACH-000251,-1.35287870198
ACH-000253,-0.724000038352
ACH-000255,-0.864584733927
ACH-000256,-0.72039684517
ACH-000257,-0.9343849263339999
ACH-000258,-0.805437720506
ACH-000259,-0.689567070421
ACH-000260,-0.7609129863230001
ACH-000261,-0.8692266190029999
ACH-000262,-0.45602961487099997
ACH-000263,-1.1363153050900001
ACH-000264,-0.965204046978
ACH-000265,-0.681157391108
ACH-000266,-1.08059949708
ACH-000272,-0.791050040802
ACH-000273,-0.738564487204
ACH-000274,-0.752021875253
ACH-000277,-0.793687019113
ACH-000278,-0.733869059832
ACH-000279,-1.04541796382
ACH-000280,-0.85216794625
ACH-000281,-0.582355966549
ACH-000288,-0.9257730040100001
ACH-000291,-1.02054816064
ACH-000293,-0.639376309029
ACH-000294,-0.57243323541
ACH-000295,-0.782932570629
ACH-000296,-0.8397939617199999
ACH-000302,-0.790109311555
ACH-000304,-0.833027445977
ACH-000307,-0.5596308077800001
ACH-000308,-1.0513249822
ACH-000310,-1.0958877991
ACH-000311,-0.962163211519
ACH-000312,-0.833593717625
ACH-000315,-0.495437089648
ACH-000316,-0.6539845624589999
ACH-000317,-0.570401445439
ACH-000318,-0.798485808457
ACH-000319,-0.49653017617299994
ACH-000320,-0.994147408634
ACH-000322,-0.62843496041
ACH-000323,-1.0702183790200002
ACH-000324,-0.6646303802669999
ACH-000329,-0.521650900106
ACH-000330,-0.635417128594
ACH-000331,-0.8008548856669999
ACH-000332,-0.84062624132
ACH-000334,-0.471906939581
ACH-000335,-0.8320380066259999
ACH-000336,-0.992370496355
ACH-000337,-0.9810085211700001
ACH-000339,-0.8096711371259999
ACH-000341,-0.378352080212
ACH-000348,-0.888912784112
ACH-000350,-0.853638981762
ACH-000352,-0.7827681641509999
ACH-000356,-1.14946795143
ACH-000361,-0.855743845437
ACH-000362,-0.774537660895
ACH-000363,-0.411285713999
ACH-000364,-0.781302384532
ACH-000365,-0.5465520608209999
ACH-000366,-0.8630462159710001
ACH-000368,-0.78510071327
ACH-000374,-0.83563953132
ACH-000375,-0.449474203186
ACH-000376,-0.633572321665
ACH-000381,-1.1902609180500001
ACH-000383,-0.884911635186
ACH-000387,-0.891292422911
ACH-000389,-0.765257776564
ACH-000390,-1.26395398941
ACH-000393,-1.01758206762
ACH-000395,-0.771461957473
ACH-000397,-1.12977498913
ACH-000401,-0.570722991007
ACH-000402,-0.508814401376
ACH-000403,-1.0350868622299998
ACH-000404,-0.634375023316
ACH-000406,-0.534301935979
ACH-000407,-0.818979275521
ACH-000408,-0.533363754392
ACH-000410,-1.3093469449500001
ACH-000411,-0.9344468176899999
ACH-000414,-0.466548908897
ACH-000415,-0.476898230468
ACH-000416,-0.9659273760079999
ACH-000420,-0.719415240157
ACH-000421,-0.510408566327
ACH-000424,-0.933457518663
ACH-000425,-0.760989699357
ACH-000426,-0.821042312261
ACH-000427,-1.05600289545
ACH-000433,-0.75995130678
ACH-000436,-0.8546072197660001
ACH-000444,-1.2539236089
ACH-000445,-0.567036565195
ACH-000448,-0.718459971515
ACH-000450,-0.859130775669
ACH-000452,-0.562142951146
ACH-000454,-0.486836327849
ACH-000458,-0.6416126558640001
ACH-000459,-0.657831005087
ACH-000460,-0.670427023665
ACH-000461,-0.699485806062
ACH-000463,-0.429042911509
ACH-000464,-0.817555862986
ACH-000466,-1.33749996938
ACH-000467,-0.8411080898559999
ACH-000468,-0.6841070850759999
ACH-000469,-0.782909664387
ACH-000470,-1.2793320074299999
ACH-000471,-0.7304356875069999
ACH-000472,-0.7435771051860001
ACH-000473,-0.543861495393
ACH-000475,-1.05348175295
ACH-000476,-0.319234942669
ACH-000477,-0.603370197101
ACH-000480,-0.628655973015
ACH-000481,-1.03875311403
ACH-000483,-0.633868841735
ACH-000484,-0.671469852821
ACH-000485,-1.44173457471
ACH-000486,-1.05973206265
ACH-000487,-0.997909338856
ACH-000488,-0.762876372598
ACH-000490,-0.787527211814
ACH-000491,-0.542759158577
ACH-000495,-0.937535808892
