,WASF2 (10163)
ACH-000004,-0.281438435101
ACH-000007,-0.00157747025711
ACH-000009,-0.556660115839
ACH-000011,-0.307241997806
ACH-000012,0.0167802758304
ACH-000013,-0.240905728783
ACH-000014,-0.467527050938
ACH-000015,0.0614162577912
ACH-000017,-0.22236167444200003
ACH-000018,-0.35600711052699996
ACH-000019,-0.48803129896999997
ACH-000021,0.039308836854199995
ACH-000022,-0.134307551474
ACH-000025,-0.0261337440851
ACH-000028,-0.36939103133199996
ACH-000030,-0.245021467005
ACH-000035,-0.281306587765
ACH-000036,-0.0763788484003
ACH-000037,-0.252847722143
ACH-000039,-0.109937907246
ACH-000040,-0.34222771534900004
ACH-000041,-0.041550665326800004
ACH-000042,-0.42057635561499995
ACH-000045,-0.483276698303
ACH-000047,-0.299812631967
ACH-000052,-0.181974306774
ACH-000053,-0.060551836154800004
ACH-000054,-0.426828026309
ACH-000055,0.266639392002
ACH-000060,-0.6653933210980001
ACH-000067,-0.32570854694
ACH-000070,-0.07838276812230001
ACH-000075,0.143164326155
ACH-000078,-0.178035266967
ACH-000082,-0.127922539483
ACH-000085,-0.0851086262599
ACH-000086,-0.193577666131
ACH-000087,0.11837982051899999
ACH-000092,-0.165535894696
ACH-000095,-0.195448963675
ACH-000097,-0.27671547861900003
ACH-000098,-0.515175243564
ACH-000099,-0.0788884378692
ACH-000108,-0.498182812675
ACH-000113,-0.172253631811
ACH-000115,-0.269025465624
ACH-000116,-0.131110497452
ACH-000118,-0.244389310556
ACH-000120,-0.120635015845
ACH-000123,-0.200469573573
ACH-000127,-0.308370454279
ACH-000128,-0.20983720486
ACH-000132,-0.21411623941799998
ACH-000133,-0.074564615272
ACH-000137,0.015667517838299998
ACH-000138,-0.403025070995
ACH-000142,-0.507344209346
ACH-000143,-0.204552672211
ACH-000146,-0.05885056138119999
ACH-000148,0.042558443372900004
ACH-000150,-0.317733250993
ACH-000152,-0.157972732257
ACH-000153,-0.191376226182
ACH-000159,0.00739686519034
ACH-000160,-0.22683405003499998
ACH-000163,-0.50801048181
ACH-000167,-0.38696793218099995
ACH-000168,-0.5873206638440001
ACH-000169,-0.052105376941900004
ACH-000178,-0.196903674597
ACH-000182,-0.251785369939
ACH-000183,-0.111179091417
ACH-000188,-0.024395917490699998
ACH-000189,-0.332692731117
ACH-000190,-0.19931950781100002
ACH-000198,-0.09717443262700001
ACH-000204,-0.27169686578
ACH-000206,-0.25233595682300003
ACH-000207,-0.138738734595
ACH-000211,-0.10181831152000001
ACH-000215,-0.18002428284699998
ACH-000221,-0.19604165119800002
ACH-000222,-0.15674773590399999
ACH-000223,-0.365698878201
ACH-000226,-0.419855251281
ACH-000227,-0.447510553837
ACH-000228,-0.229256033392
ACH-000231,-0.0564459164556
ACH-000232,-0.254210397335
ACH-000233,-0.188756644393
ACH-000234,-0.384820390942
ACH-000235,-0.400379294891
ACH-000237,-0.0631730272277
ACH-000238,-0.133224542685
ACH-000243,-0.40844447418000007
ACH-000244,-0.0671698886589
