,HNRNPL (3191)
ACH-000004,-1.04757065515
ACH-000007,-0.882379622869
ACH-000009,-0.8121538272869999
ACH-000011,-0.7407404922759999
ACH-000012,-0.859745982382
ACH-000013,-0.761098721899
ACH-000014,-0.559981306638
ACH-000015,-0.945125147337
ACH-000017,-0.605042624166
ACH-000018,-1.02780380411
ACH-000019,-1.2514696624200001
ACH-000021,-0.911103051644
ACH-000022,-0.817094048935
ACH-000025,-0.7528141675200001
ACH-000028,-0.833989024356
ACH-000030,-0.9169608512540001
ACH-000035,-0.932324605496
ACH-000036,-0.944121842826
ACH-000037,-0.909160930118
ACH-000039,-0.8900684462270001
ACH-000040,-1.02437845594
ACH-000041,-0.8328445407170001
ACH-000042,-1.0029849284399999
ACH-000045,-0.956180715483
ACH-000047,-0.7298996355699999
ACH-000052,-1.03796398907
ACH-000053,-0.8976408518100001
ACH-000054,-0.850421140131
ACH-000055,-0.918112993244
ACH-000060,-1.0166323794299998
ACH-000067,-1.05069852918
ACH-000070,-0.9953041159880001
ACH-000075,-0.9101906669419999
ACH-000078,-0.8990742013420001
ACH-000082,-0.9388820362070001
ACH-000085,-0.35842557911600004
ACH-000086,-0.951083997809
ACH-000087,-0.574899466642
ACH-000092,-1.01264414196
ACH-000095,-0.96089048331
ACH-000097,-1.00338326956
ACH-000098,-1.1794608653799998
ACH-000099,-0.960510597507
ACH-000108,-0.967077522281
ACH-000113,-1.0676841643100001
ACH-000115,-0.877893274266
ACH-000116,-1.06659803066
ACH-000118,-1.0378329137
ACH-000120,-0.7518379828020001
ACH-000123,-0.784994628707
ACH-000127,-1.08295152756
ACH-000128,-0.854319731571
ACH-000132,-0.735966386661
ACH-000133,-0.952326452942
ACH-000137,-0.874395901068
ACH-000138,-0.976837500882
ACH-000142,-0.803244916785
ACH-000143,-0.7158016998010001
ACH-000146,-0.753117608347
ACH-000148,-0.985416985361
ACH-000150,-0.674098358009
ACH-000152,-1.16114079098
ACH-000153,-1.14578005802
ACH-000159,-0.986687965352
ACH-000160,-1.039955266
ACH-000163,-1.05790219691
ACH-000167,-1.05764541245
ACH-000168,-1.12160308295
ACH-000169,-0.7702646513670001
ACH-000178,-0.999472860151
ACH-000182,-0.897848467507
ACH-000183,-0.913038448468
ACH-000188,-0.904314342771
ACH-000189,-0.925271271659
ACH-000190,-0.858179525442
ACH-000198,-0.763208344849
ACH-000204,-1.07003720774
ACH-000206,-1.14804390345
ACH-000207,-0.991746423267
ACH-000211,-0.9801582057870001
ACH-000215,-0.9837053524480001
ACH-000221,-0.938679722794
ACH-000222,-0.696401638952
ACH-000223,-0.9483534337620001
ACH-000226,-0.7564871986820001
ACH-000227,-0.970006185917
ACH-000228,-0.7556080341670001
ACH-000231,-0.712636142256
ACH-000232,-0.595878986868
ACH-000233,-0.873499131155
ACH-000234,-1.10811269371
ACH-000235,-0.9529203419299999
ACH-000237,-0.950525083493
ACH-000238,-0.937272963584
ACH-000243,-0.90480302794
ACH-000244,-0.7758328201029999
ACH-000246,-1.09853422881
ACH-000248,-0.87576703778
ACH-000250,-0.845423815482
ACH-000251,-0.43624537348000003
ACH-000253,-0.976690593575
ACH-000255,-0.858270405739
ACH-000256,-1.10373576405
ACH-000257,-0.553264330832
ACH-000258,-0.9840362917200001
ACH-000259,-0.81548277525
ACH-000260,-0.659482992422
ACH-000261,-1.08208111486
ACH-000262,-0.586194193402
ACH-000263,-1.1911202555299998
ACH-000264,-0.6086588228140001
ACH-000265,-0.7661211363160001
ACH-000266,-1.09982623713
ACH-000272,-0.9499962979909999
ACH-000273,-0.7427323053470001
ACH-000274,-1.0075434606799998
ACH-000277,-0.436809509286
ACH-000278,-0.787574403606
ACH-000279,-0.998083338252
ACH-000280,-0.867412252199
ACH-000281,-0.940457837023
ACH-000288,-0.9706704783399999
ACH-000291,-0.628836402747
ACH-000293,-0.169420044809
ACH-000294,-1.00362708418
ACH-000295,-1.61833191148
ACH-000296,-0.792036882563
ACH-000302,-0.761177885232
ACH-000304,-0.774818578431
ACH-000307,-0.616020814357
ACH-000308,-0.41112093713
ACH-000310,-0.844873982788
ACH-000311,-0.8272119507800001
ACH-000312,-0.834864173197
ACH-000315,-0.961772913985
ACH-000316,-0.894692458259
ACH-000317,-0.9306323154070001
ACH-000318,-0.9699867744859999
ACH-000319,-1.0178624703799999
ACH-000320,-0.8055144675049999
ACH-000322,-0.532510689988
ACH-000323,-1.15625428778
ACH-000324,-0.98064966934
ACH-000329,-0.66775573799
ACH-000330,-0.8550272199150001
ACH-000331,-0.8478406892139999
ACH-000332,-0.846842064896
ACH-000334,-1.1686341545399999
ACH-000335,-0.656911440885
ACH-000336,-0.8897630310500001
ACH-000337,-0.8918453746230001
ACH-000339,-0.9960237693330001
ACH-000341,-0.990608110468
ACH-000348,-0.821753307901
ACH-000350,-0.34815610436899996
ACH-000352,-0.955692171776
ACH-000356,-0.673038483713
ACH-000361,-0.919170477476
ACH-000362,-0.825258105029
ACH-000363,-0.917487924829
ACH-000364,-0.734081066788
ACH-000365,-0.947316458503
ACH-000366,-1.0184399354
ACH-000368,-0.8255146367689999
ACH-000374,-0.931005282061
ACH-000375,-1.0721222098999998
ACH-000376,-0.911348061169
ACH-000381,-0.7645208898129999
ACH-000383,-1.19480021425
ACH-000387,-0.825631684325
ACH-000389,-0.7473667629449999
ACH-000390,-1.1463372566399999
ACH-000393,-0.728086594909
ACH-000395,-0.8964576622579999
ACH-000397,-0.8456955566940001
ACH-000401,-0.54678059823
ACH-000402,-1.18707264342
ACH-000403,-1.1319268419700002
ACH-000404,-0.829650742741
ACH-000406,-0.8974406062379999
ACH-000407,-1.0662395704
ACH-000408,-0.929101753311
ACH-000410,-0.949567676891
ACH-000411,-0.841211022757
ACH-000414,-0.582709674045
ACH-000415,-0.993665352499
ACH-000416,-0.790289862665
ACH-000420,-0.928723754202
ACH-000421,-0.830615151316
ACH-000424,-0.857363744896
ACH-000425,-0.845492836743
ACH-000426,-0.9587894756540001
ACH-000427,-0.882680019134
ACH-000433,-0.8050758219830001
ACH-000436,-1.05381726016
ACH-000444,-1.0309763948200001
ACH-000445,-0.99547576905
ACH-000448,-0.977834419215
ACH-000450,-0.38111814874399996
ACH-000452,-0.9182922963410001
ACH-000454,-0.7189737571160001
ACH-000458,-0.85455409235
ACH-000459,-0.7804047942110001
ACH-000460,-0.8422053926690001
ACH-000461,-0.7509146609049999
ACH-000463,-1.12492837265
ACH-000464,-0.996063448692
ACH-000466,-1.0998835235700002
ACH-000467,-0.817030062596
ACH-000468,-1.12327586873
ACH-000469,-0.962009558805
ACH-000470,-0.563075711646
ACH-000471,-0.7979338778589999
