,HNRNPDL (9987)
ACH-000004,-0.233722766411
ACH-000007,-0.124378624784
ACH-000009,-0.0368630821099
ACH-000011,0.102871201009
ACH-000012,-0.0959199124388
ACH-000013,-0.0965410934732
ACH-000014,-0.08547257186619998
ACH-000015,-0.049448213009299996
ACH-000017,-0.274305332082
ACH-000018,0.037266697515599995
ACH-000019,-0.364028902256
ACH-000021,-0.0977928926949
ACH-000022,-0.0198369079348
ACH-000025,-0.20316074368200002
ACH-000028,-0.08360956811919999
ACH-000030,-0.0523743044206
ACH-000035,0.09891652421819999
ACH-000036,-0.11744711526900001
ACH-000037,-0.138159110059
ACH-000039,0.06448143738800001
ACH-000040,-0.220812977932
ACH-000041,-0.24684686097800002
ACH-000042,-0.20661948622499998
ACH-000045,-0.10372279278799999
ACH-000047,-0.0864276972336
ACH-000052,-0.172363570556
ACH-000053,-0.020702621379799998
ACH-000054,-0.16863079068300002
ACH-000055,-0.26132125975000003
ACH-000060,-0.263704643136
ACH-000067,0.0072977367306099996
ACH-000070,-0.146232751529
ACH-000075,-0.0162774199599
ACH-000078,-0.21246919662799998
ACH-000082,-0.230343659067
ACH-000085,0.15641022687
ACH-000086,0.0017839230475899998
ACH-000087,0.0750616314184
ACH-000092,-0.027345567524700003
ACH-000095,-0.12858281898499999
ACH-000097,-0.0313768484069
ACH-000098,-0.121119804733
ACH-000099,-0.0322266121196
ACH-000108,0.0782323262719
ACH-000113,0.0161558168544
ACH-000115,-0.0703059954865
ACH-000116,-0.334872822577
ACH-000118,-0.129509485497
ACH-000120,-0.145114525308
ACH-000123,-0.046624851902
ACH-000127,-0.251978572246
ACH-000128,0.050231433031800006
ACH-000132,-0.27684385848299997
ACH-000133,-0.0797388959381
ACH-000137,-0.273087655283
ACH-000138,0.0532264169093
ACH-000142,-0.11311627343
ACH-000143,0.00452170811786
ACH-000146,-0.10377887475400001
ACH-000148,-0.00739116921997
ACH-000150,-0.20482108762
ACH-000152,-0.24687629639400002
ACH-000153,-0.478907078547
ACH-000159,-0.114870807294
ACH-000160,-0.118901596644
ACH-000163,-0.0503181184678
ACH-000167,-0.675232164455
ACH-000168,-0.155298252904
ACH-000169,-0.26166404119000003
ACH-000178,-0.04625234440230001
ACH-000182,0.0194193957603
ACH-000183,-0.135147689346
ACH-000188,-0.148534782366
ACH-000189,-0.297829611203
ACH-000190,-0.101880162663
ACH-000198,-0.148929809493
ACH-000204,-0.205369611928
ACH-000206,-0.0790258121925
ACH-000207,0.214863501991
ACH-000211,-0.216725140872
ACH-000215,-0.111027967164
ACH-000221,-0.15225368
ACH-000222,0.0948422152383
ACH-000223,-0.306145362215
ACH-000226,-0.209543592119
ACH-000227,-0.401151958463
ACH-000228,-0.20789399557
ACH-000231,-0.18177107541700002
ACH-000232,-0.0626299876344
ACH-000233,-0.10008109073100001
ACH-000234,0.0672815667912
ACH-000235,0.0381616817591
ACH-000237,-0.135127736823
ACH-000238,0.0024633679992
ACH-000243,-0.0940179712878
ACH-000244,0.105679716302
ACH-000246,-0.110031272972
ACH-000248,-0.163350849021
