,RPS6KA1 (6195)
ACH-000004,-0.224827546291
ACH-000007,-0.387905719043
ACH-000009,-0.399892859864
ACH-000011,-0.311932764749
ACH-000012,-0.342492291897
ACH-000013,-0.288736236749
ACH-000014,-0.42662297872500005
ACH-000015,-0.10605337744400001
ACH-000017,-0.262267966906
ACH-000018,-0.224329405706
ACH-000019,-0.327235470424
ACH-000021,-0.207913100579
ACH-000022,-0.19905008863899998
ACH-000025,-0.044160388381599996
ACH-000028,-0.288876810119
ACH-000030,-0.179771208116
ACH-000035,-0.309132618076
ACH-000036,-0.123265738421
ACH-000037,-0.202119635877
ACH-000039,-0.318143745861
ACH-000040,-0.333743190049
ACH-000041,-0.286052791382
ACH-000042,-0.33961138779600003
ACH-000045,-0.38131741863000007
ACH-000047,-0.35447478497100005
ACH-000052,-0.168301061075
ACH-000053,-0.525489438593
ACH-000054,-0.293715497841
ACH-000055,-0.0034558609547
ACH-000060,-0.491061263874
ACH-000067,-0.310305260061
ACH-000070,-0.205021780452
ACH-000075,-0.0379871423466
ACH-000078,-0.162742218633
ACH-000082,-0.30224038373
ACH-000085,-0.401544895325
ACH-000086,-0.270784393916
ACH-000087,-0.295348404694
ACH-000092,-0.600333139801
ACH-000095,-0.26308454188
ACH-000097,-0.151303857174
ACH-000098,-0.353249842786
ACH-000099,-0.174000152742
ACH-000108,-0.299338604683
ACH-000113,-1.0196479182200002
ACH-000115,-0.358886007244
ACH-000116,-0.246186020598
ACH-000118,-0.126946874716
ACH-000120,-0.250733112071
ACH-000123,-0.08600577049080001
ACH-000127,-0.19140020379500003
ACH-000128,-0.25008439604000005
ACH-000132,-0.257330036734
ACH-000133,-0.23499045216400002
ACH-000137,-0.39365482098899995
ACH-000138,-0.21335925542300002
ACH-000142,-0.312795822481
ACH-000143,-0.179607869634
ACH-000146,-0.34625129924900006
ACH-000148,-0.26559312914
ACH-000150,-0.31604050471
ACH-000152,-0.42385346828500003
ACH-000153,-0.576837855308
ACH-000159,-0.232953182328
ACH-000160,-0.222734519911
ACH-000163,-0.09798836695810001
ACH-000167,-0.17855706362799997
ACH-000168,-0.655859384067
ACH-000169,-0.293359866746
ACH-000178,-0.30601618949299997
ACH-000182,0.0416646992724
ACH-000183,-0.22940410251899998
ACH-000188,-0.284909691473
ACH-000189,-0.061464646131499996
ACH-000190,-0.287824867139
ACH-000198,-0.279997411965
ACH-000204,-0.201168396972
ACH-000206,-0.262451382817
ACH-000207,-0.283673743538
ACH-000211,-0.08031535183119999
ACH-000215,-0.23880817679699998
ACH-000221,-0.267280082743
ACH-000222,-0.33834890647200005
ACH-000223,-0.194674011973
ACH-000226,-0.231262349536
ACH-000227,-0.19504050804900003
ACH-000228,-0.0777316123686
ACH-000231,-0.362016608683
ACH-000232,-0.233531517969
ACH-000233,-0.185225089237
ACH-000234,-0.309599584782
ACH-000235,-0.210706212472
ACH-000237,-0.0896092251763
ACH-000238,-0.21501508796100002
ACH-000243,-0.30293793649399997
ACH-000244,-0.236764237563
ACH-000246,-0.34176807909199997
ACH-000248,-0.21460885138900002
ACH-000250,-0.139464004753
ACH-000251,-0.111258625291
ACH-000253,-0.290624757182
ACH-000255,-0.186288509708
ACH-000256,-0.42105545135899997
ACH-000257,-0.41565904244400004
ACH-000258,-0.651325390172
ACH-000259,-0.19185972338500001
ACH-000260,-0.22823586368299997
ACH-000261,-0.290917059799
ACH-000262,-0.37863506794600005
ACH-000263,-0.256622796797
ACH-000264,-0.28122314162900003
ACH-000265,-0.18439070748599998
ACH-000266,-0.27908243861
ACH-000272,-0.204310819523
ACH-000273,-0.295073852445
ACH-000274,-0.30663051190900004
ACH-000277,-0.18204920750300002
ACH-000278,-0.137369826884
ACH-000279,-0.350438253138
ACH-000280,-0.18124157705
ACH-000281,-0.232942401256
ACH-000288,-0.49402066752400003
ACH-000291,-0.201778119531
ACH-000293,-0.313171288345
ACH-000294,-0.485571316843
ACH-000295,0.018498336178700003
ACH-000296,-0.27001353130600003
ACH-000302,-0.226949637042
ACH-000304,-0.48744964000299995
ACH-000307,-0.264635141871
ACH-000308,-0.19574413883000003
ACH-000310,-0.38404198224799996
ACH-000311,-0.270825132364
ACH-000312,-0.251884539332
ACH-000315,-0.21545611662900002
ACH-000316,-0.347824861145
ACH-000317,-0.596669480774
ACH-000318,-0.192696518721
ACH-000319,-0.114321967571
ACH-000320,-0.156740339274
ACH-000322,-0.29786169572
ACH-000323,-0.43292423537600006
ACH-000324,-0.364917011487
ACH-000329,-0.383168050066
ACH-000330,-0.344406462809
ACH-000331,-0.278090902957
ACH-000332,-0.250464522174
ACH-000334,-0.221062529034
ACH-000335,-0.157351705406
ACH-000336,-0.937148285641
ACH-000337,-0.134039363253
ACH-000339,-0.118608648222
ACH-000341,-0.366271699844
ACH-000348,-0.22562016830499998
ACH-000350,-0.210524278385
ACH-000352,-0.23503011783000002
ACH-000356,-0.27271165809799996
ACH-000361,-0.40086351516900004
ACH-000362,-1.07545633078
ACH-000363,-0.141447418702
ACH-000364,-0.23248383009
ACH-000365,-0.313629535343
ACH-000366,-0.279479168223
ACH-000368,-0.119191321184
ACH-000374,-0.331210382904
ACH-000375,-0.26163230551800004
ACH-000376,-0.403780785685
ACH-000381,-0.217947810289
ACH-000383,-0.369578786567
ACH-000387,-0.257033662447
ACH-000389,-0.200326738923
ACH-000390,-0.314192148797
ACH-000393,-0.242317685721
ACH-000395,-0.17063185148600002
ACH-000397,-0.21950968156599998
ACH-000401,-0.230653647313
ACH-000402,-0.317716874322
ACH-000403,-0.260513271097
ACH-000404,-0.521966918399
ACH-000406,-0.0755053163425
ACH-000407,-0.361136620819
ACH-000408,-0.231342998801
ACH-000410,-0.140324355307
ACH-000411,-0.20090164083700002
ACH-000414,-0.149848107905
ACH-000415,-0.387496164127
ACH-000416,-0.246172977264
ACH-000420,-0.24270345514299999
ACH-000421,-0.37596723523100006
ACH-000424,-0.45368063907399997
ACH-000425,-0.14238437517799998
ACH-000426,-0.28713615828899997
ACH-000427,-0.33906120232799997
ACH-000433,-0.35990786483900006
ACH-000436,-0.527366967733
ACH-000444,-0.10599479094900001
ACH-000445,-0.08400970464189998
ACH-000448,-0.0387278892237
ACH-000450,-0.157470447297
ACH-000452,-0.168556349465
ACH-000454,-0.168221722615
ACH-000458,-0.391312923384
ACH-000459,-0.227941483305
ACH-000460,-0.211672967441
ACH-000461,-0.143567333072
ACH-000463,-0.25864898682799997
ACH-000464,-0.288995138488
ACH-000466,-0.0250961630438
ACH-000467,-0.33614418224799997
ACH-000468,-0.335238519791
ACH-000469,-0.175768478374
ACH-000470,-0.200399850945
ACH-000471,-0.207131613952
ACH-000472,-0.151768494496
ACH-000473,-0.23910185068599998
ACH-000475,-0.251379016964
ACH-000476,-0.261834620975
ACH-000477,-0.207118857835
ACH-000480,-0.23523380079599998
ACH-000481,-0.30806558359999997
ACH-000483,-0.314299164322
ACH-000484,-0.466501752772
ACH-000485,-0.197485888607
ACH-000486,-0.11198299920999998
ACH-000487,-0.502659814862
