,MAN2C1 (4123)
ACH-000004,-0.12455419740700001
ACH-000007,-0.219541605498
ACH-000009,-0.275180118909
ACH-000011,-0.11007830990800001
ACH-000012,-0.24267641483000002
ACH-000013,-0.0831061712392
ACH-000014,-0.23187348238299998
ACH-000015,-0.23657536233600002
ACH-000017,-0.22115224538400002
ACH-000018,-0.08688051707250001
ACH-000019,-0.325342412912
ACH-000021,-0.135920072632
ACH-000022,-0.0866462889188
ACH-000025,-0.32821991642299997
ACH-000028,-0.0545169189245
ACH-000030,-0.18309553171700002
ACH-000035,-0.18286282333
ACH-000036,-0.162386893227
ACH-000037,-0.261900287808
ACH-000039,0.0147305445268
ACH-000040,-0.20436561049899998
ACH-000041,-0.0269759905808
ACH-000042,-0.0595108509038
ACH-000045,-0.0984671873229
ACH-000047,-0.10663686068299999
ACH-000052,-0.247815508213
ACH-000053,-0.032244255704900006
ACH-000054,-0.36796228442900003
ACH-000055,-0.025381230016
ACH-000060,-0.22453815641
ACH-000067,-0.227732260977
ACH-000070,-0.21418912379299998
ACH-000075,-0.0809788264134
ACH-000078,-0.16266869535
ACH-000082,-0.24483231559000002
ACH-000085,-0.015802589311799998
ACH-000086,-0.31777401891999996
ACH-000087,-0.131796064166
ACH-000092,-0.21511500459600003
ACH-000095,-0.16650100832
ACH-000097,-0.05430863825
ACH-000098,-0.290596758367
ACH-000099,-0.290900487978
ACH-000108,-0.11788915310699999
ACH-000113,-0.284658410504
ACH-000115,-0.289985061265
ACH-000116,-0.21849834567899998
ACH-000118,-0.0950757344584
ACH-000120,-0.190460490957
ACH-000123,-0.101342599748
ACH-000127,-0.12169034380100001
ACH-000128,-0.270613945598
ACH-000132,-0.15994351183
ACH-000133,-0.256889705383
ACH-000137,-0.149136056562
ACH-000138,-0.06942715297669999
ACH-000142,-0.24220185003199998
ACH-000143,-0.24230054628800002
ACH-000146,-0.154276465326
ACH-000148,-0.176820817229
ACH-000150,-0.028525299967299998
ACH-000152,-0.23005066562399998
ACH-000153,-0.28554139845800003
ACH-000159,-0.40472089074
ACH-000160,-0.21150932623399998
ACH-000163,0.0191305801216
ACH-000167,-0.505651746403
ACH-000168,-0.11025406590999998
ACH-000169,-0.04142806455169999
ACH-000178,-0.155815610286
ACH-000182,-0.0756250669911
ACH-000183,-0.174742922442
ACH-000188,-0.120594232344
ACH-000189,-0.330475466697
ACH-000190,-0.149036897527
ACH-000198,-0.0984150618368
ACH-000204,-0.42274808863799995
ACH-000206,-0.172618052909
ACH-000207,-0.0527687609475
ACH-000211,-0.113322708708
ACH-000215,-0.0833544377372
ACH-000221,-0.252217377602
ACH-000222,-0.20187744227
ACH-000223,-0.21918553102699997
ACH-000226,-0.127654930577
ACH-000227,-0.157763229266
ACH-000228,-0.127207412182
ACH-000231,-0.22772674767599999
ACH-000232,-0.0146004735733
ACH-000233,0.0223201535826
ACH-000234,-0.398826245351
ACH-000235,-0.281073109968
ACH-000237,-0.364443466647
ACH-000238,-0.22742462406999997
ACH-000243,-0.143968312468
ACH-000244,-0.256357894235
ACH-000246,-0.0643835427668
ACH-000248,-0.115968395925
ACH-000250,-0.184341023399
ACH-000251,0.246244556873
ACH-000253,-0.0807902579328
ACH-000255,-0.224125176337
ACH-000256,-0.0263756208403
ACH-000257,-0.187531989917
ACH-000258,0.0134818650565
ACH-000259,-0.195214914474
ACH-000260,-0.149409119103
ACH-000261,-0.172363970913
ACH-000262,-0.236240177694
ACH-000263,-0.520100905629
ACH-000264,-0.23363927285799999
ACH-000265,-0.248112707659
ACH-000266,-0.14751302972000002
ACH-000272,-0.22026619968299999
ACH-000273,-0.230420371334
ACH-000274,-0.410890877504
ACH-000277,-0.267503018344
ACH-000278,-0.27067779709
ACH-000279,-0.147952567398
ACH-000280,-0.0471232222234
ACH-000281,-0.139960513172
ACH-000288,-0.107274446424
ACH-000291,-0.057989602512600005
ACH-000293,-0.0878505036472
ACH-000294,0.047376362886899996
ACH-000295,-0.33484159638
ACH-000296,-0.14348459157500001
ACH-000302,-0.28424482969
ACH-000304,-0.183627888415
ACH-000307,-0.245012261278
ACH-000308,-0.174980688957
ACH-000310,-0.242493868152
ACH-000311,-0.274143559983
ACH-000312,-0.148088054078
ACH-000315,0.09872937017200001
ACH-000316,-0.295003141226
ACH-000317,-0.130198396886
ACH-000318,-0.250285026084
ACH-000319,-0.155125996734
ACH-000320,-0.21656054351999998
ACH-000322,-0.0207038319639
ACH-000323,-0.228229919464
ACH-000324,-0.0620748527824
