,MYEOV (26579)
ACH-000004,0.0809988440199
ACH-000007,-0.019170813599599996
ACH-000009,-0.114878470311
ACH-000011,-0.116493650764
ACH-000012,-0.180779057214
ACH-000013,-0.0523235125832
ACH-000014,0.0517154509681
ACH-000015,-0.149922691989
ACH-000017,0.07859180268619999
ACH-000018,-0.23948345290800002
ACH-000019,-0.12341627721899999
ACH-000021,-0.244190520286
ACH-000022,-0.0364721184221
ACH-000025,-0.00607707358469
ACH-000028,-0.025323378443499998
ACH-000030,-0.0622461125742
ACH-000035,0.0739791369673
ACH-000036,-0.07516015610639999
ACH-000037,-0.0154664380809
ACH-000039,-0.118978642022
ACH-000040,-0.215473515633
ACH-000041,-0.365060418285
ACH-000042,-0.0670816349158
ACH-000045,-0.158646318366
ACH-000047,-0.09127424236239999
ACH-000052,-0.040931389099
ACH-000053,-0.0325642561318
ACH-000054,-0.163898204934
ACH-000055,0.0347705349454
ACH-000060,-0.031319397771299995
ACH-000067,-0.0101047423724
ACH-000070,0.16212738755699999
ACH-000075,-0.0521348595053
ACH-000078,-0.145092754614
ACH-000082,-0.299194427486
ACH-000085,-0.186007186569
ACH-000086,-0.125963704825
ACH-000087,0.103645695439
ACH-000092,-0.171248973129
ACH-000095,-0.035329610666
ACH-000097,-0.23489903530200001
ACH-000098,-0.11262049235999999
ACH-000099,-0.168960750774
ACH-000108,-0.08495601931880001
ACH-000113,-0.200607099249
ACH-000115,-0.238650429785
ACH-000116,-0.23756072987
ACH-000118,-0.328352310877
ACH-000120,-0.17397628922400002
ACH-000123,-0.021772521573099998
ACH-000127,0.0425868010999
ACH-000128,0.0965468500738
ACH-000132,-0.185242740655
ACH-000133,0.00263933537195
ACH-000137,-0.293583973948
ACH-000138,-0.107926294329
ACH-000142,-0.338790156067
ACH-000143,-0.0389921385314
ACH-000146,-0.0363151201422
ACH-000148,-0.0478348866009
ACH-000150,-0.19111101192699997
ACH-000152,-0.0851257438644
ACH-000153,-0.13189843451400002
ACH-000159,-0.0712959504714
ACH-000160,-1.0673614560299998
ACH-000163,-0.182750346488
ACH-000167,0.0014935251947999998
ACH-000168,-0.00181481038179
ACH-000169,-0.040261675345099994
ACH-000178,-0.0193243854058
ACH-000182,-0.0532211512265
ACH-000183,-0.22299127238699998
ACH-000188,-0.100904265078
ACH-000189,-0.176734190356
ACH-000190,-0.221154436649
ACH-000198,-0.08573623859559999
ACH-000204,-0.047943662020699995
ACH-000206,-0.0147457701474
ACH-000207,-0.247989214551
ACH-000211,-0.11803217106899999
ACH-000215,-0.102834657644
ACH-000221,-0.08125060320380001
