,LCMT1 (51451)
ACH-000004,-0.637102791798
ACH-000007,-0.9117165639910001
ACH-000009,-0.490440505888
ACH-000011,-0.771467579465
ACH-000012,-0.840948610322
ACH-000013,-1.33270009324
ACH-000014,-0.7051367815080001
ACH-000015,-1.0723630180500001
ACH-000017,-0.379471483595
ACH-000018,-0.410536929417
ACH-000019,-0.282853821859
ACH-000021,-0.42806279310900003
ACH-000022,-0.640772758714
ACH-000025,-0.502304934429
ACH-000028,-0.765414553205
ACH-000030,0.082717138154
ACH-000035,-0.777029947981
ACH-000036,-0.308221506613
ACH-000037,-0.927267092246
ACH-000039,-0.34667234971699995
ACH-000040,-0.615374579299
ACH-000041,-0.212460954485
ACH-000042,-0.741917415584
ACH-000045,-0.478018601642
ACH-000047,-0.251545005884
ACH-000052,-0.418756088696
ACH-000053,-0.280473528504
ACH-000054,-0.402780720441
ACH-000055,-0.8233525757179999
ACH-000060,0.144364712336
ACH-000067,-0.62809926526
ACH-000070,-0.371313028946
ACH-000075,-0.424689921175
ACH-000078,-0.293486998004
ACH-000082,-0.384464113231
ACH-000085,-0.7318348309739999
ACH-000086,-0.37682473899499996
ACH-000087,-0.228375450729
ACH-000092,-0.22329601724599998
ACH-000095,-0.08681378383649999
ACH-000097,-0.502789589603
ACH-000098,0.019461838412799998
ACH-000099,-0.841002541012
ACH-000108,-0.356011159148
ACH-000113,-0.789447035353
ACH-000115,-0.26444740951699997
ACH-000116,-0.632961035748
ACH-000118,-0.716729870616
ACH-000120,-0.425860098108
ACH-000123,-0.6333692196090001
ACH-000127,-0.965027087914
ACH-000128,-0.214008672282
ACH-000132,-0.632069578283
ACH-000133,-0.23807336790999997
ACH-000137,-0.5766812825990001
ACH-000138,-1.04154822151
ACH-000142,-0.427551981919
ACH-000143,0.11735578229499999
ACH-000146,-0.742447590023
ACH-000148,-0.589286616698
ACH-000150,-0.833758219373
ACH-000152,-0.630982126022
ACH-000153,-0.317532268015
ACH-000159,-0.131779590095
ACH-000160,-0.35823249342299995
ACH-000163,-0.679131985724
ACH-000167,-0.820994370748
ACH-000168,-0.574863551875
ACH-000169,-0.6985511540530001
ACH-000178,-0.452785923214
ACH-000182,-0.589453302496
ACH-000183,-0.61541817017
ACH-000188,-0.47349946648999997
ACH-000189,-0.340063484538
ACH-000190,-0.6395002325720001
ACH-000198,-0.6926162411669999
ACH-000204,-0.327564356326
ACH-000206,-0.685226160576
ACH-000207,-0.202678182018
ACH-000211,-1.4090382429100001
ACH-000215,-0.40725170672300004
ACH-000221,-0.785461230644
ACH-000222,-0.6627615220709999
ACH-000223,-0.857707558991
ACH-000226,-0.495548140614
ACH-000227,-0.868491081251
ACH-000228,-0.741380102262
ACH-000231,-0.09014530923280001
ACH-000232,-0.140009091721
ACH-000233,-0.7945028539360001
ACH-000234,-0.401600765058
ACH-000235,-0.972527845275
ACH-000237,-0.453362968829
ACH-000238,-0.49678042467699995
ACH-000243,-0.9552936217550001
ACH-000244,-0.713948408309
ACH-000246,-0.6040036837030001
ACH-000248,-0.998406979735
ACH-000250,-1.1101060706
ACH-000251,-0.689924549771
ACH-000253,-0.724930767518
ACH-000255,-0.455197773524
ACH-000256,-0.523885073748
ACH-000257,-0.425427524611
ACH-000258,-0.41897961260600003
ACH-000259,-0.11815750059
ACH-000260,-0.6635826800869999
