,PCMTD2 (55251)
ACH-000004,-0.21653786316999998
ACH-000007,-0.47777252905100004
ACH-000009,-0.21788570321999998
ACH-000011,-0.298295455906
ACH-000012,0.029370124331600002
ACH-000013,-0.270738049556
ACH-000014,-0.45374511433700004
ACH-000015,-0.182121944366
ACH-000017,-0.290117636182
ACH-000018,-0.418172356218
ACH-000019,-0.536870173686
ACH-000021,-0.19281685738200002
ACH-000022,-0.4617779463
ACH-000025,-0.122659177008
ACH-000028,-0.35672987700900005
ACH-000030,-0.293503840883
ACH-000035,-0.307355715641
ACH-000036,-0.274789429565
ACH-000037,-0.252459859635
ACH-000039,-0.219500389072
ACH-000040,-0.130147614051
ACH-000041,-0.138959048708
ACH-000042,-0.38752600461
ACH-000045,-0.252013794553
ACH-000047,-0.37858529827299997
ACH-000052,-0.145982918192
ACH-000053,-0.404994918411
ACH-000054,-0.328657282251
ACH-000055,-0.308624034261
ACH-000060,-0.027327646131500002
ACH-000067,-0.35239000560999995
ACH-000070,-0.34506841717500003
ACH-000075,-0.28348977492
ACH-000078,-0.44989845227700004
ACH-000082,-0.19756836628199997
ACH-000085,-0.362369583585
ACH-000086,-0.280990625344
ACH-000087,-0.09134891604530002
ACH-000092,-0.166796203001
ACH-000095,-0.16828322321699998
ACH-000097,-0.38486836519100004
ACH-000098,-0.214790974085
ACH-000099,-0.393221574964
ACH-000108,-0.334508752648
ACH-000113,-0.181611836942
ACH-000115,-0.138640498736
ACH-000116,-0.190636252423
ACH-000118,-0.13822103142
ACH-000120,-0.336746005783
ACH-000123,-0.413999332023
ACH-000127,-0.285368240803
ACH-000128,-0.298738932008
ACH-000132,-0.247639913756
ACH-000133,-0.157895578796
ACH-000137,-0.118791647063
ACH-000138,-0.21448539342599998
ACH-000142,-0.279715415855
ACH-000143,-0.11413374767100001
ACH-000146,-0.10725969467900001
ACH-000148,-0.326072666485
ACH-000150,-0.38645077405
ACH-000152,-0.228859118396
ACH-000153,-0.383789647979
ACH-000159,-0.24002186849399998
ACH-000160,-0.26714398326600003
ACH-000163,-0.103489688373
ACH-000167,-0.11342655832800001
ACH-000168,-0.09119961070299999
ACH-000169,-0.240039166566
ACH-000178,-0.43145748007600004
ACH-000182,-0.31793537268100003
ACH-000183,-0.242021912874
ACH-000188,-0.21592800843899998
ACH-000189,-0.110136807517
ACH-000190,-0.10825305495
ACH-000198,-0.250216300205
ACH-000204,-0.0646247097456
ACH-000206,-0.124114077892
ACH-000207,-0.331810781171
ACH-000211,-0.29584294757
ACH-000215,-0.21770280901500003
ACH-000221,-0.245717400731
ACH-000222,-0.521109192464
ACH-000223,-0.197711027551
ACH-000226,-0.223676360786
ACH-000227,-0.332779622648
ACH-000228,-0.201949600324
ACH-000231,-0.25734480575199997
ACH-000232,-0.21063870510699997
ACH-000233,-0.26922855149700003
ACH-000234,-0.24013240653
ACH-000235,-0.283671127276
ACH-000237,-0.15655688539
ACH-000238,-0.46561237099299996
ACH-000243,-0.192050461695
ACH-000244,-0.20976846752999997
ACH-000246,-0.345702993797
ACH-000248,-0.337130112181
ACH-000250,-0.291482559616
ACH-000251,-0.255113116707
ACH-000253,-0.40452188833
ACH-000255,-0.146352009792
ACH-000256,-0.29939059884
ACH-000257,-0.0572723807643
ACH-000258,-0.09090594764910001
ACH-000259,-0.349325302817
ACH-000260,-0.336908938624
ACH-000261,-0.323158631636
ACH-000262,-0.136317066313
ACH-000263,-0.108192356788
ACH-000264,-0.232072696814
ACH-000265,-0.214014836155
ACH-000266,-0.245356486479
ACH-000272,-0.228973142159
ACH-000273,-0.30761594678599996
ACH-000274,-0.31000403800799997
ACH-000277,-0.468131668093
ACH-000278,-0.09692576228769999
ACH-000279,-0.215494473422
ACH-000280,-0.275371630273
ACH-000281,-0.264278291135
ACH-000288,-0.265637182867
ACH-000291,-0.387371290475
ACH-000293,-0.24078598870999998
ACH-000294,-0.225653639194
ACH-000295,-0.17719750010699997
ACH-000296,-0.314226561063
ACH-000302,-0.20315335920400002
ACH-000304,-0.523581275264
ACH-000307,-0.335082550258
ACH-000308,-0.24243741935199997
ACH-000310,-0.405845561426
ACH-000311,-0.347575898451
ACH-000312,-0.19498972260699998
ACH-000315,-0.0331415191244
ACH-000316,-0.276630648816
ACH-000317,-0.450394315318
ACH-000318,-0.13811779290200002
ACH-000319,-0.360527812519
ACH-000320,-0.293871507283
ACH-000322,-0.243568012921
ACH-000323,-0.270057715523
ACH-000324,-0.331079711975
ACH-000329,-0.421671811652
ACH-000330,-0.488199585083
ACH-000331,-0.162319035482
ACH-000332,-0.318164175037
ACH-000334,-0.22811728499699999
ACH-000335,-0.13164558915
ACH-000336,-0.277868446548
ACH-000337,-0.351257494726
ACH-000339,-0.209571089175
ACH-000341,-0.08079397209919999
ACH-000348,-0.265880959741
ACH-000350,-0.321086058795
ACH-000352,-0.658774968125
ACH-000356,-0.28761706306699997
ACH-000361,-0.210403412874
ACH-000362,-0.236992198497
ACH-000363,-0.404991364864
ACH-000364,-0.12688800206700002
ACH-000365,-0.39789238889300005
ACH-000366,-0.441735479964
ACH-000368,-0.23593425218400002
ACH-000374,-0.138629700631
ACH-000375,-0.37045109878399995
ACH-000376,-0.276944015044
ACH-000381,-0.25766615753899996
ACH-000383,-0.281637844941
ACH-000387,-0.295812707338
ACH-000389,-0.458936103665
ACH-000390,-0.37502489347400003
ACH-000393,-0.08973570746269999
ACH-000395,-0.45874633644900004
ACH-000397,-0.31172965207
ACH-000401,-0.151036619206
ACH-000402,-0.442702822947
ACH-000403,-0.564536927488
ACH-000404,-0.051148149956400005
ACH-000406,-0.172843013515
ACH-000407,-0.5050987884520001
ACH-000408,-0.180298610947
ACH-000410,-0.23961853188999999
ACH-000411,-0.310366973366
ACH-000414,-0.44590979939
ACH-000415,-0.163807244761
ACH-000416,-0.408597700289
ACH-000420,-0.443871774983
ACH-000421,-0.286562209434
ACH-000424,-0.304347387522
ACH-000425,-0.215731331114
ACH-000426,0.15598511828199998
ACH-000427,-0.678095160077
ACH-000433,-0.311150476128
ACH-000436,-0.0388788795867
ACH-000444,-0.1502057111
ACH-000445,-0.204317327147
ACH-000448,-0.177377525215
ACH-000450,0.118361966959
ACH-000452,-0.43613483355300003
ACH-000454,-0.17512343975900002
ACH-000458,-0.0666665529945
ACH-000459,-0.136115272924
ACH-000460,-0.247288946222
ACH-000461,-0.241020591829
ACH-000463,-0.250806965605
ACH-000464,-0.0385729308228
ACH-000466,-0.390964219133
ACH-000467,-0.443732545888
ACH-000468,-0.24361490852200002
ACH-000469,-0.44817207685099997
ACH-000470,-0.263513768204
ACH-000471,-0.24040737130999998
ACH-000472,-0.405176085675
ACH-000473,-0.391057673047
ACH-000475,-0.284510950508
ACH-000476,-0.246988724582
ACH-000477,-0.0358372272612
ACH-000480,-0.322007369996
ACH-000481,-0.402006980128
ACH-000483,-0.169367372555
ACH-000484,-0.47706243571
ACH-000485,-0.189099373861
ACH-000486,-0.31520850613400003
ACH-000487,-0.303044209656
ACH-000488,-0.37669437451
ACH-000490,-0.16799425875799998
ACH-000491,-0.18909893243599998
ACH-000495,-0.234619279184
ACH-000496,-0.22541467268800003
ACH-000499,-0.137751099068
ACH-000500,-0.29905510979899996
ACH-000502,-0.458812300104
ACH-000503,-0.114049783301
ACH-000505,-0.276932460206
ACH-000507,-0.396547531769
ACH-000510,-0.1628029342
ACH-000511,-0.19412763574900002
ACH-000512,-0.0876423107546
ACH-000516,-0.15936622795299998
ACH-000517,-0.330886872074
ACH-000518,-0.309557407016
ACH-000520,-0.255169680465
ACH-000521,-0.274628714671
ACH-000522,-0.267600217964
ACH-000524,-0.237960861554
ACH-000527,-0.206394983906
ACH-000528,-0.144681660886
ACH-000537,-0.175929802234
ACH-000541,-0.11552883882500001
ACH-000542,-0.33013860971700004
ACH-000544,-0.195345908706
ACH-000545,-0.141411117211
ACH-000547,-0.043304774589400005
ACH-000548,-0.25781749854499997
ACH-000549,-0.238375032539
ACH-000550,-0.27757182255999996
ACH-000552,-0.23642297804600002
ACH-000556,-0.26708609207600004
ACH-000557,-0.551753947916
ACH-000570,-0.365109522781
ACH-000571,-0.437730080405
ACH-000573,-0.0753739043361
ACH-000576,-0.135015545826
ACH-000580,-0.5069009734009999
ACH-000584,-0.214264095397
ACH-000585,-0.336248538292
ACH-000588,-0.09265450377489999
ACH-000589,-0.22360144544500002
ACH-000591,-0.342291618783
ACH-000593,-0.244671507735
ACH-000600,-0.191555664322
ACH-000601,-0.272733313323
ACH-000604,-0.37771501477700004
ACH-000605,-0.237105090083
ACH-000606,-0.134963365922
ACH-000608,-0.371280327678
ACH-000614,-0.374208528184
ACH-000616,-0.294905585496
ACH-000618,-0.197447499149
ACH-000619,-0.373918067986
ACH-000620,-0.306136200995
ACH-000621,-0.21872442817499999
ACH-000622,-0.142032160301
ACH-000623,-0.37175188350599997
ACH-000624,-0.21640342726300002
ACH-000627,-0.36046642819799996
ACH-000630,-0.11831612459799999
ACH-000632,-0.26654796308400003
ACH-000633,-0.22536842681299998
ACH-000637,-0.100009598459
ACH-000638,-0.00790551430835
ACH-000646,-0.653225145156
ACH-000647,-0.20370516037500003
ACH-000648,-0.306027890198
ACH-000649,-0.329207425645
ACH-000651,-0.12064325652999999
ACH-000652,-0.11585420797700001
ACH-000653,-0.3516439549
ACH-000657,-0.323959567308
ACH-000658,-0.37135928091799997
ACH-000661,-0.137481728787
ACH-000662,-0.026080753195099997
ACH-000663,-0.234462830704
ACH-000665,-0.186094389841
ACH-000671,-0.121989288045
ACH-000673,-0.281083682423
ACH-000676,-0.136452998039
ACH-000677,-0.283370041801
ACH-000681,-0.32031709983
ACH-000682,-0.350116562503
ACH-000683,-0.20185448618299998
ACH-000684,-0.343981282368
ACH-000688,-0.21965461138
ACH-000693,-0.133131873795
ACH-000694,-0.24944902187100002
ACH-000695,-0.0028562055024200003
