,AIF1 (199)
ACH-000004,-0.548446916669
ACH-000007,-0.314870766059
ACH-000009,-0.18414623525600002
ACH-000011,-0.265600836523
ACH-000012,-0.139678189877
ACH-000013,-0.39383491993
ACH-000014,-0.40792600717699995
ACH-000015,-0.223933586913
ACH-000017,-0.25498973181999995
ACH-000018,-0.07484229626710001
ACH-000019,-0.199239351163
ACH-000021,-0.214765102957
ACH-000022,-0.12072205814300001
ACH-000025,-0.0461233698871
ACH-000028,-0.27602120306899997
ACH-000030,-0.21402477939800002
ACH-000035,-0.326548278479
ACH-000036,-0.124197859313
ACH-000037,-0.35208383879
ACH-000039,-0.320646459181
ACH-000040,-0.339162381251
ACH-000041,-0.407697836647
ACH-000042,-0.107164401375
ACH-000045,-0.318377995286
ACH-000047,-0.294785781874
ACH-000052,-0.157355417514
ACH-000053,-0.293699298344
ACH-000054,-0.347525914248
ACH-000055,-0.346086891527
ACH-000060,-0.320179939386
ACH-000067,-0.167641043192
ACH-000070,-0.24804390170899998
ACH-000075,-0.173528575023
ACH-000078,-0.39339243257600004
ACH-000082,-0.23775383231199998
ACH-000085,-0.45984257813199997
ACH-000086,-0.34937224287699997
ACH-000087,-0.18526489714000002
ACH-000092,-0.266081210976
ACH-000095,-0.193875326644
ACH-000097,-0.311993924265
ACH-000098,-0.248259892393
ACH-000099,-0.264576006252
ACH-000108,-0.47327139401
ACH-000113,-0.33666453014200004
ACH-000115,-0.297569600882
ACH-000116,-0.221367975007
ACH-000118,-0.19776764089200002
ACH-000120,-0.24165129498000004
ACH-000123,-0.223560795654
ACH-000127,-0.34528741556500003
ACH-000128,-0.344561610629
ACH-000132,-0.23214627431499998
ACH-000133,-0.279870142007
ACH-000137,-0.17522556317899998
ACH-000138,-0.37415017953199997
ACH-000142,-0.241079836087
ACH-000143,-0.394224377618
ACH-000146,-0.24586316261399999
ACH-000148,-0.160762216751
ACH-000150,-0.30482066261999996
ACH-000152,-0.38416004359399997
ACH-000153,-0.26196354336800004
ACH-000159,-0.229448270911
ACH-000160,-0.24614160631999998
ACH-000163,-0.08587741139360001
ACH-000167,-0.268646023893
ACH-000168,-0.173384869205
ACH-000169,-0.158823123016
ACH-000178,-0.196739547902
ACH-000182,-0.142815559811
ACH-000183,-0.384378304612
ACH-000188,-0.133699912767
ACH-000189,-0.23951023384599998
ACH-000190,-0.32713646915600003
ACH-000198,-0.296393562383
ACH-000204,-0.39057512205399997
ACH-000206,-0.541425616277
ACH-000207,-0.257540450824
ACH-000211,-0.212471962298
ACH-000215,-0.374229472063
ACH-000221,-0.166081131468
ACH-000222,-0.106095491162
ACH-000223,-0.329260172432
ACH-000226,-0.33202291232
ACH-000227,-0.228657144646
ACH-000228,-0.391404827509
ACH-000231,-0.362123578128
ACH-000232,-0.0878324191205
ACH-000233,-0.49512527377899995
ACH-000234,-0.301666910095
ACH-000235,-0.21734486403099998
ACH-000237,-0.365420333394
ACH-000238,-0.18665119196
ACH-000243,-0.316588882304
ACH-000244,-0.20719262010899997
ACH-000246,-0.27414843018
ACH-000248,-0.38684660807800003
ACH-000250,-0.34459537650600003
ACH-000251,-0.354634056792
ACH-000253,-0.191625961663
ACH-000255,-0.26328128114
ACH-000256,-0.23170342391600002
ACH-000257,-0.312852424099
ACH-000258,-0.0280277827299
ACH-000259,-0.300929827981
ACH-000260,-0.250100427601
ACH-000261,-0.34354853606200003
ACH-000262,-0.20746991577100002
ACH-000263,-0.347176172452
ACH-000264,-0.333460622253
ACH-000265,-0.25049533102
ACH-000266,-0.318382271833
ACH-000272,-0.317908204541
ACH-000273,-0.38775341212
ACH-000274,-0.217146739993
ACH-000277,-0.346348760666
ACH-000278,-0.112811860139
ACH-000279,-0.255766211781
ACH-000280,-0.30638191749000004
ACH-000281,-0.50344736828
ACH-000288,-0.20205142386799999
ACH-000291,-0.207851568726
ACH-000293,-0.0468873015024
ACH-000294,-0.14345865017999998
ACH-000295,-0.664769388243
ACH-000296,-0.292149712598
ACH-000302,-0.40951502160899994
ACH-000304,-0.0474263161657
ACH-000307,-0.228153786294
ACH-000308,-0.23650669042199998
ACH-000310,-0.0899083979452
ACH-000311,-0.248405591357
ACH-000312,-0.315925943343
ACH-000315,-0.112095195886
ACH-000316,-0.364549652038
ACH-000317,-0.29713687899
ACH-000318,-0.36757826602
ACH-000319,-0.31550175518
ACH-000320,-0.298731428503
ACH-000322,-0.260547002268
ACH-000323,-0.20380389141600003
ACH-000324,-0.28154070731499997
