,LSG1 (55341)
ACH-000004,-0.8715848979899999
ACH-000007,-1.23744117001
ACH-000009,-1.34186369036
ACH-000011,-1.20703026187
ACH-000012,-0.901304928619
ACH-000013,-1.24196704091
ACH-000014,-0.883266753647
ACH-000015,-1.0826654098000001
ACH-000017,-0.743258048815
ACH-000018,-0.945489402245
ACH-000019,-0.915610467433
ACH-000021,-1.12318672314
ACH-000022,-0.962488279655
ACH-000025,-1.0015312748799998
ACH-000028,-1.135620032
ACH-000030,-0.868353300396
ACH-000035,-1.24329922705
ACH-000036,-0.953830433648
ACH-000037,-1.00921415892
ACH-000039,-1.07478497677
ACH-000040,-0.9613215251010001
ACH-000041,-1.41091240787
ACH-000042,-0.811208207692
ACH-000045,-1.0727992314299999
ACH-000047,-0.873855105827
ACH-000052,-1.2985493326200002
ACH-000053,-0.872076405465
ACH-000054,-1.02311273586
ACH-000055,-1.0391661545200002
ACH-000060,-0.967750148335
ACH-000067,-0.7768635699950001
ACH-000070,-0.980401705194
ACH-000075,-1.1791334291700002
ACH-000078,-0.9963983550769999
ACH-000082,-1.01137260713
ACH-000085,-1.10474174213
ACH-000086,-1.10041116344
ACH-000087,-0.736783371743
ACH-000092,-1.01103069817
ACH-000095,-1.1388371832100002
ACH-000097,-0.89585610486
ACH-000098,-1.04792576909
ACH-000099,-0.89588371436
ACH-000108,-1.07830568666
ACH-000113,-0.772877276743
ACH-000115,-0.9272880111700001
ACH-000116,-0.967389560857
ACH-000118,-0.8767526226029999
ACH-000120,-0.924818025034
ACH-000123,-0.7996012597069999
ACH-000127,-0.997538379042
ACH-000128,-1.3157158574299999
ACH-000132,-0.854717540576
ACH-000133,-1.0145478199
ACH-000137,-1.0
ACH-000138,-1.1272435842
ACH-000142,-1.12306808089
ACH-000143,-0.9938942412010001
ACH-000146,-1.0
ACH-000148,-1.15651333761
ACH-000150,-1.15221436168
ACH-000152,-1.03841346339
ACH-000153,-1.3788462848899998
ACH-000159,-0.957232360125
ACH-000160,-1.06433897299
ACH-000163,-1.13023768123
ACH-000167,-1.16453702582
ACH-000168,-0.7847156488920001
ACH-000169,-1.03676676388
ACH-000178,-1.03284353404
ACH-000182,-0.9228007134039999
ACH-000183,-1.07771949387
ACH-000188,-0.749516464867
ACH-000189,-1.0
ACH-000190,-1.1006962189799998
ACH-000198,-0.89733529669
ACH-000204,-1.02913735598
ACH-000206,-1.3881883426100001
ACH-000207,-0.9575005208319999
ACH-000211,-1.02163270525
ACH-000215,-0.894102928819
ACH-000221,-1.18189412285
ACH-000222,-1.1182995422
ACH-000223,-0.724128619724
ACH-000226,-1.01331781536
ACH-000227,-0.910654979738
ACH-000228,-0.9931726415150001
ACH-000231,-0.998778807645
ACH-000232,-0.939923731386
ACH-000233,-1.06139024063
ACH-000234,-1.15005636562
ACH-000235,-0.987842161451
ACH-000237,-1.02897244191
ACH-000238,-0.9520709224510001
ACH-000243,-1.04100966452
ACH-000244,-0.989280149554
ACH-000246,-0.9283471244149999
ACH-000248,-0.9522192812270001
ACH-000250,-0.9938417113700001
ACH-000251,-0.924743651052
ACH-000253,-1.04623362811
ACH-000255,-1.01920522776
ACH-000256,-0.664526892063
ACH-000257,-0.9247451939200001
ACH-000258,-1.0019206031999999
ACH-000259,-0.9600465072390001
