,LASP1 (3927)
ACH-000004,0.211505349728
ACH-000007,-0.297423988732
ACH-000009,-0.22409204804400001
ACH-000011,-0.345884490584
ACH-000012,-0.17771411901099998
ACH-000013,-0.121173617532
ACH-000014,-0.038844462860400004
ACH-000015,-0.0060062339317100005
ACH-000017,0.118941756304
ACH-000018,-0.210215795128
ACH-000019,-0.184548163693
ACH-000021,-0.032861702554
ACH-000022,0.0250018227962
ACH-000025,-0.0570220535668
ACH-000028,-0.0856966033879
ACH-000030,-0.157477548739
ACH-000035,-0.3175722117
ACH-000036,-0.156537825643
ACH-000037,0.0728988072307
ACH-000039,-0.32446726074099996
ACH-000040,-0.0598435422889
ACH-000041,-0.107544678498
ACH-000042,-0.0067697709567299995
ACH-000045,0.0338860055554
ACH-000047,-0.111941537986
ACH-000052,-0.32166012321
ACH-000053,-0.101697621289
ACH-000054,-0.102198389088
ACH-000055,0.0573036438612
ACH-000060,-0.40339815220200004
ACH-000067,-0.26994875362
ACH-000070,0.171898477707
ACH-000075,0.0461655402228
ACH-000078,-0.290538609239
ACH-000082,-0.10964787060100001
ACH-000085,-0.349767933518
ACH-000086,-0.0642142396225
ACH-000087,-0.143877208838
ACH-000092,-0.20545215247499998
ACH-000095,-0.16282591753200001
ACH-000097,-0.21575565479400002
ACH-000098,-0.19597322702
ACH-000099,-0.250246392292
ACH-000108,-0.0407653473545
ACH-000113,-0.172368065914
ACH-000115,0.0936328573325
ACH-000116,-0.154573098596
ACH-000118,-0.14667312224600002
ACH-000120,-0.315507025241
ACH-000123,-0.262474187011
ACH-000127,-0.128112962504
ACH-000128,-0.185750259662
ACH-000132,-0.126120948946
ACH-000133,-0.146751808734
ACH-000137,-0.231293836382
ACH-000138,-0.395949918344
ACH-000142,-0.27406348372699996
ACH-000143,0.059696636861800004
ACH-000146,-0.0626094386516
ACH-000148,-0.08605108203360001
ACH-000150,-0.31873040584199996
ACH-000152,-0.152561932791
ACH-000153,-0.066074286948
ACH-000159,-0.0527315714499
ACH-000160,-0.434815677435
ACH-000163,-0.470976241756
ACH-000167,-0.123652876616
ACH-000168,-0.159332469465
ACH-000169,-0.0471582124259
ACH-000178,-0.10975515689200001
ACH-000182,0.0670999324118
ACH-000183,-0.171634592973
ACH-000188,-0.278843194436
ACH-000189,-0.138651134091
ACH-000190,0.0438194296787
ACH-000198,0.0536960820639
ACH-000204,-0.31680764271
ACH-000206,0.0844057384856
ACH-000207,0.00785609084869
ACH-000211,-0.20464404429000002
ACH-000215,-0.211745207671
ACH-000221,0.0006630042614340001
ACH-000222,0.0870705487351
ACH-000223,-0.105225380562
ACH-000226,-0.0778850533
ACH-000227,-0.0565887332302
ACH-000228,-0.25064060163400004
ACH-000231,-0.0892336262508
ACH-000232,-0.08033098257230001
ACH-000233,-0.0305399524908
ACH-000234,-0.0598744121893
ACH-000235,-0.172465071265
ACH-000237,-0.0755087059143
ACH-000238,-0.296907752434
ACH-000243,-0.36515933727300004
ACH-000244,-0.500323886253
ACH-000246,-0.13652533598400002
ACH-000248,-0.232006458805
ACH-000250,-0.165338956468
ACH-000251,-0.060727836794499994
ACH-000253,0.0439191672806
ACH-000255,-0.24137589245299998
ACH-000256,-0.06540970484349999
ACH-000257,-0.134024715811
ACH-000258,-0.010598720830600001
ACH-000259,-0.12725106136199998
ACH-000260,-0.11330208477800001
ACH-000261,-0.114677174322
ACH-000262,-0.211590302428
ACH-000263,0.174623115482
ACH-000264,-0.119191686868
