,GATM (2628)
ACH-000004,-0.0639636816277
ACH-000007,-0.297969572449
ACH-000009,-0.0767122821019
ACH-000011,-0.0401605300631
ACH-000012,-0.0685778608823
ACH-000013,0.020564818399599998
ACH-000014,0.254918999403
ACH-000015,-0.145463181258
ACH-000017,-0.0663909397677
ACH-000018,0.267785538774
ACH-000019,-0.160946557707
ACH-000021,0.0685098799444
ACH-000022,0.029904114215500002
ACH-000025,-0.0839423908322
ACH-000028,0.192415286615
ACH-000030,-0.0716247490714
ACH-000035,0.167644620831
ACH-000036,0.062179582816
ACH-000037,-0.22087826215700002
ACH-000039,0.303360531452
ACH-000040,-0.157249033269
ACH-000041,0.142085681425
ACH-000042,0.0498860835544
ACH-000045,-0.023402648199100002
ACH-000047,-0.21189458676399997
ACH-000052,-0.0746106157356
ACH-000053,-0.0577126212143
ACH-000054,-0.04955164975319999
ACH-000055,0.141585045296
ACH-000060,-0.125493840899
ACH-000067,-0.0250154878131
ACH-000070,0.0779408988511
ACH-000075,-0.0187859745205
ACH-000078,0.04744082220430001
ACH-000082,-0.128647768687
ACH-000085,-0.0076993860808
ACH-000086,-0.0337796775859
ACH-000087,-0.148606028271
ACH-000092,-0.0682739233299
ACH-000095,-0.0944006488945
ACH-000097,-0.012730605562799998
ACH-000098,0.0430484956449
ACH-000099,-0.11063488181
ACH-000108,-0.222511908533
ACH-000113,-0.154014803488
ACH-000115,0.0246355686201
ACH-000116,-0.007136283950040001
ACH-000118,0.0262796588854
ACH-000120,0.06756855110809999
ACH-000123,-0.151521797585
ACH-000127,-0.05320044285640001
ACH-000128,-0.23171813754099999
ACH-000132,-0.146623248022
ACH-000133,0.110603031127
ACH-000137,-0.22956437744600003
ACH-000138,0.175823854128
ACH-000142,0.0040232698108
ACH-000143,-0.115097666959
ACH-000146,-0.00469140190535
ACH-000148,0.114200398671
ACH-000150,-0.024917480180200003
ACH-000152,0.00422057620981
ACH-000153,-0.0658221667327
ACH-000159,0.0673502453781
ACH-000160,-0.143868302674
ACH-000163,-0.10446581497600001
ACH-000167,-0.0350417217137
