,LSM14A (26065)
ACH-000004,-0.0930110651938
ACH-000007,-0.34802506674
ACH-000009,-0.3764888937
ACH-000011,-0.18878981739300002
ACH-000012,-0.43327417526699996
ACH-000013,-0.44949863016400005
ACH-000014,-0.106807558751
ACH-000015,-0.425846946909
ACH-000017,0.007766880455999999
ACH-000018,-0.16261635000299998
ACH-000019,-0.5147301473870001
ACH-000021,-0.242255344834
ACH-000022,-0.29379724644099997
ACH-000025,-0.305516521651
ACH-000028,-0.391796550831
ACH-000030,-0.255324867759
ACH-000035,-0.38897525653399995
ACH-000036,-0.471811668547
ACH-000037,-0.36443034488700005
ACH-000039,-0.38989772917099996
ACH-000040,-0.239406854849
ACH-000041,-0.21403025758000002
ACH-000042,-0.3641301776
ACH-000045,-0.158328281419
ACH-000047,-0.309348315468
ACH-000052,-0.6192950013490001
ACH-000053,-0.287998209585
ACH-000054,-0.386246517972
ACH-000055,-0.144922743639
ACH-000060,-0.1887469891
ACH-000067,-0.27010638809
ACH-000070,-0.264003082715
ACH-000075,-0.550357302848
ACH-000078,-0.461545709006
ACH-000082,-0.240730559576
ACH-000085,-0.6759312977840001
ACH-000086,-0.332161052378
ACH-000087,-0.263531975196
ACH-000092,-0.5178518051709999
ACH-000095,-0.546652797117
ACH-000097,-0.562754040882
ACH-000098,-0.233561632174
ACH-000099,-0.500582858523
ACH-000108,-0.532699049501
ACH-000113,-0.294140513601
ACH-000115,-0.535278667484
ACH-000116,-0.26529727516699997
ACH-000118,-0.41312585514
ACH-000120,-0.416372430763
ACH-000123,-0.447806942955
ACH-000127,-0.391551638373
ACH-000128,-0.265043081156
ACH-000132,-0.21396643755300002
ACH-000133,-0.456922817614
ACH-000137,-0.45309538256000004
ACH-000138,-0.459457673231
ACH-000142,-0.40260238260799996
ACH-000143,-0.299415832144
ACH-000146,-0.212904698023
ACH-000148,-0.354906546351
ACH-000150,-0.40585497303900003
ACH-000152,-0.57525123604
ACH-000153,-0.451988679903
ACH-000159,-0.189895269059
ACH-000160,-0.462713631936
ACH-000163,-0.282411220528
ACH-000167,-0.402486079507
ACH-000168,0.14081148359200002
ACH-000169,-0.15786090922
ACH-000178,-0.463636535315
ACH-000182,-0.24195736319699998
ACH-000183,-0.124557050354
ACH-000188,-0.29877014609
ACH-000189,-0.28578587614900003
ACH-000190,-0.114307423774
ACH-000198,-0.311477862769
ACH-000204,-0.228570303098
ACH-000206,-0.0488276593887
ACH-000207,-0.340774819625
ACH-000211,-0.474391039101
ACH-000215,-0.248726927732
ACH-000221,-0.29255493307700003
ACH-000222,-0.41324934568000005
ACH-000223,-0.35511664127
ACH-000226,-0.228327900528
ACH-000227,-0.371083721915
ACH-000228,-0.303858100367
ACH-000231,-0.272892282973
ACH-000232,-0.380483489454
ACH-000233,-0.36584973359300005
ACH-000234,-0.383475496008
ACH-000235,-0.516630606291
ACH-000237,-0.5510190915600001
ACH-000238,-0.278779081642
ACH-000243,-0.40031598649000005
ACH-000244,-0.22150094140999999
ACH-000246,-0.623848234564
ACH-000248,-0.118914618638
ACH-000250,-0.253333489227
ACH-000251,-0.549578050745
