,EP400 (57634)
ACH-000004,-1.14520812553
ACH-000007,-0.9439834676629999
ACH-000009,-1.27872613227
ACH-000011,-1.04529768587
ACH-000012,-1.13839538334
ACH-000013,-1.11518696815
ACH-000014,-0.943384040291
ACH-000015,-0.9409103335519999
ACH-000017,-1.3660388914
ACH-000018,-1.09350252329
ACH-000019,-1.4766771966299999
ACH-000021,-1.05291288215
ACH-000022,-1.24287063128
ACH-000025,-1.04709838305
ACH-000028,-0.934036256466
ACH-000030,-1.18165591024
ACH-000035,-1.3884570342200002
ACH-000036,-1.41734054959
ACH-000037,-1.2360102086
ACH-000039,-0.870705846365
ACH-000040,-1.02327740066
ACH-000041,-1.05735091546
ACH-000042,-1.10368007519
ACH-000045,-1.0835483836700002
ACH-000047,-1.09140319925
ACH-000052,-0.773978705029
ACH-000053,-1.1225750729200001
ACH-000054,-0.99725539396
ACH-000055,-1.25347209389
ACH-000060,-1.29580423573
ACH-000067,-0.9578890030480001
ACH-000070,-1.20804279529
ACH-000075,-0.8816526408149999
ACH-000078,-1.50431015611
ACH-000082,-0.9423908875700001
ACH-000085,-1.08044457725
ACH-000086,-0.920615390757
ACH-000087,-1.1755190004
ACH-000092,-1.04680066754
ACH-000095,-1.2822541589899998
ACH-000097,-1.2746765372
ACH-000098,-0.794031465856
ACH-000099,-1.1141271941500002
ACH-000108,-1.0529539079999999
ACH-000113,-1.11746437237
ACH-000115,-1.08200628807
ACH-000116,-1.10066230725
ACH-000118,-0.975257170458
ACH-000120,-1.02641153842
ACH-000123,-1.1898153049299998
ACH-000127,-0.914136806597
ACH-000128,-1.2301902037899999
ACH-000132,-1.0057088719399998
ACH-000133,-1.05765093082
ACH-000137,-0.995304435061
ACH-000138,-1.06732248472
ACH-000142,-0.922747592911
ACH-000143,-0.9555250531389999
ACH-000146,-1.23315565894
ACH-000148,-1.04727554944
ACH-000150,-1.33298292333
ACH-000152,-0.629536287305
ACH-000153,-0.9660244456749999
ACH-000159,-0.856042111365
ACH-000160,-0.7368942337600001
ACH-000163,-0.83868720191
ACH-000167,-0.686140836124
ACH-000168,-1.15186600369
ACH-000169,-1.01228824106
ACH-000178,-1.21118208449
ACH-000182,-0.973668263961
ACH-000183,-1.02340221581
ACH-000188,-1.02636519018
ACH-000189,-1.05080013487
ACH-000190,-0.8147849758779999
ACH-000198,-1.02434829913
ACH-000204,-1.1153410259799998
ACH-000206,-1.16692356529
ACH-000207,-0.8769019390330001
ACH-000211,-1.01567368634
ACH-000215,-1.00867828342
ACH-000221,-1.02231065695
ACH-000222,-1.1161963985299999
ACH-000223,-1.0353491239100001
ACH-000226,-1.06899224006
ACH-000227,-1.1343373134
ACH-000228,-1.17493775851
ACH-000231,-1.0857916597
ACH-000232,-1.11362350172
ACH-000233,-1.2292111583499998
ACH-000234,-1.24172252065
ACH-000235,-1.0551528332
ACH-000237,-1.05419409886
ACH-000238,-1.0547305856799998
ACH-000243,-1.1720046189
ACH-000244,-1.14747129905
ACH-000246,-1.0698243444600002
ACH-000248,-1.1435640568799998
ACH-000250,-1.0224733763200002
ACH-000251,-0.763474002803
ACH-000253,-1.07181302888
ACH-000255,-0.838797344887
ACH-000256,-1.28858544212
ACH-000257,-0.9375256217319999
ACH-000258,-1.52215045963
ACH-000259,-1.11627756952
ACH-000260,-1.1034313564
ACH-000261,-1.1419966108
ACH-000262,-0.718596510278
ACH-000263,-1.2544533977399999
ACH-000264,-1.2244386602200001
ACH-000265,-1.15013349261
ACH-000266,-1.27157799638
ACH-000272,-0.946616844385
ACH-000273,-0.991783819133
ACH-000274,-0.916984251357
