,ASF1B (55723)
ACH-000004,-0.605669601425
ACH-000007,-0.254059620278
ACH-000009,-0.446068202529
ACH-000011,-0.397796252654
ACH-000012,-0.599490477351
ACH-000013,-0.550342355253
ACH-000014,-0.399703093904
ACH-000015,-0.650228921042
ACH-000017,-0.668178612168
ACH-000018,-0.6085662633810001
ACH-000019,-0.7140005288850001
ACH-000021,-0.5284040662439999
ACH-000022,-0.760179718361
ACH-000025,-0.679180490381
ACH-000028,-0.774762308496
ACH-000030,-0.528435895546
ACH-000035,-0.9652703209319999
ACH-000036,-0.452773844179
ACH-000037,-0.324288952086
ACH-000039,-0.704686347
ACH-000040,-0.645171345435
ACH-000041,-0.327456337721
ACH-000042,-0.47220330768799995
ACH-000045,-0.377065873698
ACH-000047,-0.417399879908
ACH-000052,-0.522705635282
ACH-000053,-0.493714439603
ACH-000054,-0.565660245452
ACH-000055,-0.562065430757
ACH-000060,-0.705933266646
ACH-000067,-0.515070275598
ACH-000070,-0.904371373145
ACH-000075,-0.5788782062460001
ACH-000078,-0.6788139528820001
ACH-000082,-0.366016846866
ACH-000085,-0.842867896158
ACH-000086,-0.987285193123
ACH-000087,-0.33562813287
ACH-000092,-0.340062846854
ACH-000095,-0.5310844528859999
ACH-000097,-1.5577107705700002
ACH-000098,-0.5884882074660001
ACH-000099,-0.67911079322
ACH-000108,-0.375728964937
ACH-000113,-0.40420048044600004
ACH-000115,-0.526951345581
ACH-000116,-0.664153762186
ACH-000118,-0.6330126967890001
ACH-000120,-0.482277869514
ACH-000123,-0.555945480216
ACH-000127,-0.484437342009
ACH-000128,-0.561715501765
ACH-000132,-0.414717485558
ACH-000133,-0.654937333709
ACH-000137,-0.697163068254
ACH-000138,-0.609616583155
ACH-000142,-0.526384629605
ACH-000143,-0.6295620985939999
ACH-000146,-0.5496480772779999
ACH-000148,-0.390697175534
ACH-000150,-0.438590403152
ACH-000152,-0.41458071141400005
ACH-000153,-0.491199446383
ACH-000159,-0.534038238986
ACH-000160,-0.185355332379
ACH-000163,-0.900687469355
ACH-000167,-0.406312322478
ACH-000168,-0.296041747618
ACH-000169,-0.585020229209
ACH-000178,-0.546209095819
ACH-000182,-0.545664131291
ACH-000183,-0.62925938853
ACH-000188,-0.797122338141
ACH-000189,-0.711372151163
ACH-000190,-0.34842378728
ACH-000198,-0.417297575559
ACH-000204,-0.685599760796
ACH-000206,-0.33348772965
ACH-000207,-0.442561166053
ACH-000211,-0.6080766514270001
ACH-000215,-0.611236532615
ACH-000221,-0.42124891463200004
ACH-000222,-0.715562123692
ACH-000223,-0.6256754522779999
