,SUPT4H1 (6827)
ACH-000004,-0.622069413273
ACH-000007,-0.953482164452
ACH-000009,-0.45032233279600004
ACH-000011,-0.59015537703
ACH-000012,-0.662154814456
ACH-000013,-0.5256902579730001
ACH-000014,-0.545885834919
ACH-000015,-0.592810240049
ACH-000017,-0.604803061326
ACH-000018,-0.25793549859299997
ACH-000019,-0.498146821806
ACH-000021,-0.35672773687700005
ACH-000022,-0.606833797641
ACH-000025,-0.580058684562
ACH-000028,-0.515305889647
ACH-000030,-0.517674989358
ACH-000035,-0.48206108851400004
ACH-000036,-0.435297467167
ACH-000037,-0.415589286657
ACH-000039,-0.563513467697
ACH-000040,-0.8166777414599999
ACH-000041,-0.5929455227179999
ACH-000042,-0.3394029298
ACH-000045,-0.61632310479
ACH-000047,-0.406987354779
ACH-000052,-0.729125076777
ACH-000053,-0.7683868008560001
ACH-000054,-0.670423579848
ACH-000055,-0.693899751012
ACH-000060,-0.657923371756
ACH-000067,-0.498194271854
ACH-000070,-0.848261286152
ACH-000075,-0.350624409511
ACH-000078,-0.054743912618000004
ACH-000082,-0.47560382501000004
ACH-000085,-0.7672958164920001
ACH-000086,-0.47455207616800005
ACH-000087,-0.332522186845
ACH-000092,-0.838452205938
ACH-000095,-0.337871738126
ACH-000097,-0.271989853706
ACH-000098,-0.651053200537
ACH-000099,-0.404064570165
ACH-000108,-0.545405744462
ACH-000113,-0.576474216973
ACH-000115,-0.518224069137
ACH-000116,-0.580985001025
ACH-000118,-0.547626924938
ACH-000120,-0.430212340476
ACH-000123,-0.6788538599510001
ACH-000127,-0.36819601365500004
ACH-000128,-0.837456629786
ACH-000132,-0.56635337674
ACH-000133,-0.562329117155
ACH-000137,-0.648429770925
ACH-000138,-0.505874284577
ACH-000142,-0.437827939591
ACH-000143,-0.576726215245
ACH-000146,-0.794713082304
ACH-000148,-0.686149453963
ACH-000150,-0.5185282094479999
ACH-000152,-0.663072097677
ACH-000153,-0.953775766588
ACH-000159,-0.6795877911310001
ACH-000160,-0.197175642421
ACH-000163,-0.446257851722
ACH-000167,0.0112175903642
ACH-000168,-0.739558405158
ACH-000169,-0.282029920288
ACH-000178,-0.7242872826729999
ACH-000182,-0.409787620131
ACH-000183,-0.6202605297630001
ACH-000188,-0.799374547181
ACH-000189,-0.465453182294
ACH-000190,-0.0689859140225
ACH-000198,-0.8873530748
ACH-000204,-0.742694006517
ACH-000206,-0.521129504182
ACH-000207,-0.656687875285
ACH-000211,-0.682256065116
ACH-000215,-0.672010730811
ACH-000221,-0.166740476861
ACH-000222,-0.812200682465
ACH-000223,-0.42715447270999995
ACH-000226,-0.933027147878
ACH-000227,-0.631681606726
ACH-000228,-0.854550519112
ACH-000231,-0.514314885042
ACH-000232,-0.650415458933
ACH-000233,-0.684075794097
ACH-000234,-0.527834952475
ACH-000235,-0.466168840642
ACH-000237,-0.592446187414
ACH-000238,-0.7580797909550001
ACH-000243,-0.673560810872
ACH-000244,-0.841353491373
ACH-000246,-0.689994687243
ACH-000248,-0.453535584713
ACH-000250,-0.501913093012
ACH-000251,-0.495564392764
ACH-000253,-0.69368541185
ACH-000255,-0.7119617249860001
ACH-000256,-0.634151018834
ACH-000257,-0.405396200537
ACH-000258,-1.3879185898800002
ACH-000259,-0.29749439445099995
ACH-000260,-0.5733070941489999
ACH-000261,-0.578048008327
ACH-000262,-0.5451080293339999
ACH-000263,-0.453308461791
ACH-000264,-0.6184535979379999
ACH-000265,-0.47853331629699997
ACH-000266,-0.44899173740500004
ACH-000272,-0.595781176348
ACH-000273,-0.6703423647519999
ACH-000274,-0.9048544101260001
ACH-000277,-0.104199591339
ACH-000278,-0.564445858996
ACH-000279,-0.7236345209620001
ACH-000280,-0.365472132994
ACH-000281,-0.666171798167
ACH-000288,-0.689139799469
ACH-000291,-0.645077182289
ACH-000293,-0.543577311593
ACH-000294,-1.06145429495
ACH-000295,-0.406991240369
ACH-000296,-0.5294872519039999
ACH-000302,-0.24097014333900002
ACH-000304,-0.9885472537450001
ACH-000307,-0.47107408858800004
ACH-000308,-0.522389959314
ACH-000310,-0.541312560098
ACH-000311,-0.34898632845399996
ACH-000312,-0.7881725468699999
ACH-000315,-0.459985416084
ACH-000316,-0.47785671316699996
ACH-000317,-0.661842603402
ACH-000318,-0.350685994088
ACH-000319,-0.0706004055753
ACH-000320,-0.638830100024
ACH-000322,-0.688739839553
ACH-000323,-0.631401127372
ACH-000324,-0.6176985802970001
ACH-000329,-0.472766965739
ACH-000330,-0.467198997391
ACH-000331,-0.498104710432
ACH-000332,-0.41333969920999997
ACH-000334,-0.825422296543
ACH-000335,-0.20403271511100002
ACH-000336,-0.165376387387
ACH-000337,-0.585508541182
ACH-000339,-0.738117222871
ACH-000341,-0.373488465528
ACH-000348,-0.628807615464
ACH-000350,-0.512105015699
ACH-000352,-0.39921881714
ACH-000356,-0.6078280088970001
ACH-000361,-0.7352392077969999
ACH-000362,-0.864459632775
ACH-000363,-1.00984234967
ACH-000364,-0.477901870737
ACH-000365,-0.772548922237
ACH-000366,-0.528644899875
ACH-000368,-0.337226700991
ACH-000374,-0.56702126249
ACH-000375,-0.464893317791
ACH-000376,-0.545458019486
ACH-000381,-0.945838168194
ACH-000383,-0.49466833386500003
ACH-000387,-0.778235767561
ACH-000389,-0.577063746525
ACH-000390,-0.153210006631
ACH-000393,-0.8643121564499999
ACH-000395,-0.369214815857
ACH-000397,-0.480935641329
ACH-000401,-0.809377182591
ACH-000402,-0.957948998838
ACH-000403,-0.19436885794
ACH-000404,-0.788488768097
ACH-000406,-0.557313450156
ACH-000407,-0.250351207285
ACH-000408,-0.7246337634890001
ACH-000410,-0.33370228973
ACH-000411,-0.460588508222
ACH-000414,-0.47007395365099996
ACH-000415,-0.708445403752
ACH-000416,-0.558587514068
ACH-000420,-0.665019046837
ACH-000421,-0.661709414203
ACH-000424,-0.630501603152
ACH-000425,-0.769762971922
ACH-000426,-0.782801299465
ACH-000427,-0.557644897781
ACH-000433,-0.46284346068099996
ACH-000436,-0.603516185517
ACH-000444,-0.657958118651
ACH-000445,-0.48717299873099995
ACH-000448,-0.680488266954
ACH-000450,-0.469505980965
ACH-000452,-0.5408305481600001
ACH-000454,-0.257884267439
ACH-000458,-0.717163106667
ACH-000459,-0.8022913003800001
ACH-000460,-0.680651637262
ACH-000461,-0.424134054591
ACH-000463,-0.436925847426
ACH-000464,-0.5440643674319999
ACH-000466,-0.65807889114
ACH-000467,-0.7489732739820001
ACH-000468,-0.814639351189
ACH-000469,-0.296338840669
ACH-000470,-0.567387407228
ACH-000471,-0.211251880521
ACH-000472,-0.84240745
ACH-000473,-0.306227927292
ACH-000475,-0.09723621535150001
ACH-000476,-0.5164152472300001
ACH-000477,-0.7848027775830001
ACH-000480,-0.608233496472
ACH-000481,-0.307754985746
ACH-000483,-0.479186562684
ACH-000484,-0.6408614458290001
ACH-000485,-0.7637875696009999
ACH-000486,-0.6557140065129999
ACH-000487,-0.507102107532
ACH-000488,-0.671024508377
ACH-000490,-0.434433818164
ACH-000491,-0.4407695578
ACH-000495,-0.854448870777
ACH-000496,-0.370833600492
ACH-000499,-0.487057923442
ACH-000500,-0.443330117499
ACH-000502,-0.402452345682
ACH-000503,-0.502941503011
ACH-000505,-0.851990825878
ACH-000507,-0.914687244764
ACH-000510,-0.32102469638500003
ACH-000511,-0.887553345204
ACH-000512,-0.503093501758
ACH-000516,-0.7174291187559999
ACH-000517,-0.232892764349
ACH-000518,-0.47377991032899996
ACH-000520,-0.533468961562
ACH-000521,-0.796058686117
ACH-000522,-0.0964115891265
ACH-000524,-0.6811438430239999
ACH-000527,-0.741155030254
ACH-000528,-0.662753552412
ACH-000537,-0.763256537712
ACH-000541,-0.40677812280599995
ACH-000542,-0.65745233411
ACH-000544,-0.455307588361
ACH-000545,-0.6185541413319999
ACH-000547,-0.559036174611
ACH-000548,-0.509745444814
ACH-000549,-0.545441587983
ACH-000550,-0.8732488698309999
ACH-000552,-0.591073836914
ACH-000556,-0.7289914287010001
ACH-000557,-0.943046116525
ACH-000570,-0.655878418331
ACH-000571,-0.722874649478
ACH-000573,-0.596633112285
ACH-000576,-0.845299240074
ACH-000580,-0.686709536946
ACH-000584,-0.665749492018
ACH-000585,-0.639668032527
ACH-000588,-0.439573219658
ACH-000589,-0.10750325643400001
ACH-000591,-0.101580756125
ACH-000593,-0.562558858484
ACH-000600,-0.6955015083830001
ACH-000601,-0.571350480266
ACH-000604,-0.6539697068639999
ACH-000605,-0.217374352759
ACH-000606,-0.877488362522
ACH-000608,-0.62633031486
ACH-000614,-0.229576758993
ACH-000616,-0.564265536374
ACH-000618,-0.646665422286
ACH-000619,-0.456539810177
ACH-000620,-0.408960796098
ACH-000621,-0.39493310805
ACH-000622,-0.569969830803
ACH-000623,-0.38600841696000004
ACH-000624,-0.755617934436
ACH-000627,-0.64765554953
ACH-000630,-0.5937630403399999
ACH-000632,-0.6959837982770001
ACH-000633,-0.159715279287
ACH-000637,-0.545877372181
ACH-000638,-0.298599506151
ACH-000646,-0.564729547189
ACH-000647,-0.470462875339
ACH-000648,-0.459245154476
ACH-000649,-0.586595590681
ACH-000651,-0.681087884509
ACH-000652,-0.46430262047
ACH-000653,-0.817835464798
ACH-000657,-0.548505211708
ACH-000658,-0.7957787474979999
ACH-000661,-0.560251817038
ACH-000662,-0.416091002707
ACH-000663,-0.49463028960699995
ACH-000665,-0.413664277697
ACH-000671,-0.389724984759
ACH-000673,-0.880400799878
ACH-000676,-0.667949410786
ACH-000677,-0.510180874532
ACH-000681,-0.42191011786399996
ACH-000682,-0.562930384785
ACH-000683,-0.7796701606630001
ACH-000684,-0.7985723874339999
ACH-000688,-0.45560039057199997
ACH-000693,-0.501440290659
ACH-000694,-0.674663325871
ACH-000695,0.0794315854187
ACH-000696,-0.5857070562650001
ACH-000697,-0.596092305106
ACH-000699,-0.7894380340070001
ACH-000701,-0.254612330606
ACH-000706,-0.368390239136
ACH-000711,-0.46705810538900006
ACH-000713,-0.387901316056
ACH-000714,-0.520621320352
ACH-000718,-0.598869465089
ACH-000720,-0.739032680297
ACH-000721,-0.7711027063220001
ACH-000724,-0.395442485947
ACH-000725,-0.025501566669799997
ACH-000732,-0.559556890248
ACH-000734,-0.421626847066
ACH-000735,-0.5229119039600001
ACH-000736,-0.46605520830200003
ACH-000738,-0.40498455448200005
ACH-000746,-0.34710328389899997
ACH-000747,-0.515758424324
ACH-000748,-0.217732576588
ACH-000753,-0.502176626197
ACH-000756,-0.773598062175
