,EIF2A (83939)
ACH-000004,-0.038306671143199994
ACH-000007,-0.0383352357595
ACH-000009,-0.163327664465
ACH-000011,0.013265136880600001
ACH-000012,0.0353109835217
ACH-000013,-0.04764716620830001
ACH-000014,-0.422493389101
ACH-000015,-0.09581369910430002
ACH-000017,-0.0006287520555680001
ACH-000018,-0.264192990429
ACH-000019,-0.11785138519200002
ACH-000021,-0.17424044947
ACH-000022,-0.0744857287787
ACH-000025,-0.257554640921
ACH-000028,-0.188945110027
ACH-000030,-0.24322299530000002
ACH-000035,-0.171011730259
ACH-000036,-0.0463981185148
ACH-000037,-0.006476432694859999
ACH-000039,-0.487007882553
ACH-000040,-0.10724698386800001
ACH-000041,-0.105964862169
ACH-000042,0.0579542860814
ACH-000045,-0.000380143357726
ACH-000047,-0.0431901914659
ACH-000052,-0.20645060997
ACH-000053,-0.0460222641635
ACH-000054,-0.100918399293
ACH-000055,-0.187310059932
ACH-000060,0.025523359317900004
ACH-000067,-0.40664349740199995
ACH-000070,-0.109906585215
ACH-000075,-0.061530962277100004
ACH-000078,-0.013348586336999998
ACH-000082,-0.083467731216
ACH-000085,-0.236038708088
ACH-000086,-0.204577518781
ACH-000087,0.020550246515599998
ACH-000092,-0.350808805991
ACH-000095,-0.119165372543
ACH-000097,-0.008431357286389999
ACH-000098,-0.130365127807
ACH-000099,-0.06718560146580001
ACH-000108,-0.181608592321
ACH-000113,-0.198663196699
ACH-000115,-0.015022715654500002
ACH-000116,-0.031145266121400002
ACH-000118,-0.0008043873758200001
ACH-000120,-0.133631413058
ACH-000123,-0.174895153802
ACH-000127,-0.11725303831900001
ACH-000128,-0.251883893214
ACH-000132,-0.47749198985799995
ACH-000133,-0.20143499032099998
ACH-000137,-0.10646563047299999
ACH-000138,-0.183030798735
ACH-000142,-0.0672302490864
ACH-000143,-0.10994822851399999
ACH-000146,0.0195387893142
ACH-000148,-0.19750050260699997
ACH-000150,0.0226282407656
ACH-000152,-0.16670871701
ACH-000153,-0.0195852139292
ACH-000159,-0.212590676581
ACH-000160,-0.21049175014600002
ACH-000163,-0.18010469025800002
ACH-000167,-0.24268891077100002
ACH-000168,-0.13232830869200002
ACH-000169,-0.0997822192333
ACH-000178,-0.20360095599800002
ACH-000182,-0.177227265988
ACH-000183,-0.12103123482799999
ACH-000188,-0.0696519862692
ACH-000189,-0.222475251767
ACH-000190,-0.320013264616
ACH-000198,-0.137624980029
ACH-000204,-0.34860281986599995
ACH-000206,-0.152642676006
ACH-000207,-0.263289035618
ACH-000211,-0.206899771238
ACH-000215,-0.216007929131
ACH-000221,0.0687990731492
ACH-000222,-0.0297733765728
ACH-000223,0.15715557815700001
ACH-000226,-0.032160393936700005
ACH-000227,-0.183454892743
ACH-000228,-0.117867622741
ACH-000231,-0.127945426294
ACH-000232,-0.065297861508
ACH-000233,-0.0476305806451
ACH-000234,-0.00467266232823
ACH-000235,-0.0839020943268
ACH-000237,-0.21622172863400002
ACH-000238,0.04307833931149999
ACH-000243,-0.144519030135
ACH-000244,-0.444056730071
ACH-000246,-0.0510075019467
ACH-000248,-0.13557940704500002
ACH-000250,-0.16861341760899998
ACH-000251,-0.460282626808
ACH-000253,-0.055166346620500004
ACH-000255,-0.0719737141308
ACH-000256,-0.098624162182
ACH-000257,0.0378003193917
ACH-000258,0.112441929327
ACH-000259,-0.0126533488493
ACH-000260,-0.173764333711
ACH-000261,-0.19589977771699998
ACH-000262,-0.177501773953
ACH-000263,-0.08149699019989999
ACH-000264,-0.163127324433
ACH-000265,-0.212145225886
ACH-000266,-0.060606840404900005
ACH-000272,-0.238810004238
ACH-000273,-0.166178145882
ACH-000274,-0.365864243537
ACH-000277,-0.0900081273963
ACH-000278,-0.243241532575
ACH-000279,-0.224977374523
ACH-000280,-0.22051653793900003
ACH-000281,-0.204970706186
ACH-000288,-0.266879495332
ACH-000291,-0.0178432071761
ACH-000293,0.00662976526793
ACH-000294,-0.0487349809698
ACH-000295,0.0022930328289
ACH-000296,0.06084083223180001
ACH-000302,-0.0637378088775
ACH-000304,0.10823066451300001
ACH-000307,-0.159588678603
ACH-000308,-0.116233626858
ACH-000310,0.0865534066303
ACH-000311,-0.11134602031400001
ACH-000312,-0.0187270578648
ACH-000315,-0.146645392362
ACH-000316,-0.0316598927425
ACH-000317,0.124628092863
ACH-000318,-0.207556063009
ACH-000319,-0.111140386181
ACH-000320,-0.318946139334
ACH-000322,-0.425106115704
ACH-000323,-0.33608934047399996
ACH-000324,-0.0694465327406
ACH-000329,-0.053125787055400005
ACH-000330,-0.0280341801331
ACH-000331,-0.424092964033
ACH-000332,-0.07235111055210001
ACH-000334,0.18008864987999998
ACH-000335,-0.0785206586888
ACH-000336,-0.215389764782
ACH-000337,-0.150110066038
ACH-000339,-0.297527176209
ACH-000341,-0.00223244408816
ACH-000348,-0.107133276284
ACH-000350,-0.117369480485
ACH-000352,-0.260518398452
ACH-000356,-0.25186594361299997
ACH-000361,-0.403946082594
ACH-000362,0.0255760908287
ACH-000363,-0.128671628172
ACH-000364,-0.0891230550245
ACH-000365,-0.07218240550489999
ACH-000366,-0.153004199678
ACH-000368,-0.18437488245499997
ACH-000374,0.0210852919557
ACH-000375,0.141661554649
ACH-000376,-0.12313175842299999
ACH-000381,-0.11228888847200001
ACH-000383,0.00561915016411
ACH-000387,-0.09258138520379999
ACH-000389,-0.33099848179900004
ACH-000390,0.0418883001161
ACH-000393,-0.26250007316999996
ACH-000395,-0.42611440939
ACH-000397,-0.044579420952900004
ACH-000401,-0.335228124447
