,MTMR4 (9110)
ACH-000004,-0.00457581286979
ACH-000007,-0.39764178413199996
ACH-000009,-0.12130159775900001
ACH-000011,-0.0494363509092
ACH-000012,-0.28370037859200004
ACH-000013,-0.028919242105200003
ACH-000014,-0.137064687252
ACH-000015,-0.11169545699000001
ACH-000017,-0.297515583781
ACH-000018,-0.0895502875278
ACH-000019,-0.534869343757
ACH-000021,-0.23596082078299999
ACH-000022,-0.18773434563400002
ACH-000025,-0.24071641495
ACH-000028,-0.11013319366900001
ACH-000030,-0.151666382143
ACH-000035,-0.26123730296799996
ACH-000036,-0.31453530121
ACH-000037,-0.11027710661699999
ACH-000039,-0.38196038493900003
ACH-000040,-0.130851190909
ACH-000041,-0.154971317912
ACH-000042,-0.202561967003
ACH-000045,-0.257990304893
ACH-000047,-0.268753978778
ACH-000052,-0.23005021221299998
ACH-000053,-0.333615496607
ACH-000054,-0.452537337949
ACH-000055,-0.06076280590869999
ACH-000060,-0.0871650280397
ACH-000067,-0.157623765666
ACH-000070,-0.380952615598
ACH-000075,-0.13800750661299999
ACH-000078,-0.129183415705
ACH-000082,-0.21455282936500003
ACH-000085,-0.26674867268
ACH-000086,-0.144954894957
ACH-000087,0.0259211935622
ACH-000092,-0.0168946743782
ACH-000095,-0.357726163965
ACH-000097,-0.160635450415
ACH-000098,-0.060719950198099996
ACH-000099,-0.30728604705400003
ACH-000108,-0.14931142071599998
ACH-000113,-0.264962445545
ACH-000115,-0.10453371002499999
ACH-000116,-0.266569973831
ACH-000118,-0.248225346016
ACH-000120,-0.287417453076
ACH-000123,-0.255190165361
ACH-000127,-0.0711283793294
ACH-000128,-0.0364331124293
ACH-000132,-0.0496809281162
ACH-000133,-0.17386081092500003
ACH-000137,-0.0968752094535
ACH-000138,-0.209813528784
ACH-000142,-0.0975979529335
ACH-000143,-0.123359338277
ACH-000146,-0.211401544248
ACH-000148,-0.0381133209867
ACH-000150,-0.34588458094700003
ACH-000152,-0.223084981312
ACH-000153,-0.45711712821199996
ACH-000159,-0.113846986804
ACH-000160,-0.292406013526
ACH-000163,-0.340643779493
ACH-000167,-0.153662133631
ACH-000168,0.057971455967499995
ACH-000169,-0.164760437792
ACH-000178,-0.029637036621
ACH-000182,0.0372973284565
ACH-000183,-0.20477878191399998
ACH-000188,-0.173977759683
ACH-000189,-0.41434974971999994
ACH-000190,-0.5280534450150001
ACH-000198,-0.165808065669
ACH-000204,-0.189958472963
ACH-000206,-0.418831582882
ACH-000207,-0.31966846158100004
ACH-000211,-0.30711380112
ACH-000215,-0.05570900740180001
ACH-000221,0.06361654448160001
ACH-000222,-0.046268480432699995
ACH-000223,-0.039165060444
ACH-000226,-0.147762399336
ACH-000227,-0.270047496095
ACH-000228,-0.232419332363
ACH-000231,-0.19649862103000001
ACH-000232,-0.101060476239
ACH-000233,-0.306854524925
ACH-000234,0.020554412910900002
ACH-000235,-0.18568498840300002
ACH-000237,-0.00287186971395
ACH-000238,-0.453957196378
ACH-000243,-0.277866039547
ACH-000244,-0.08425463858190001
ACH-000246,-0.187037496778
ACH-000248,-0.400992111031
ACH-000250,-0.221682462348
ACH-000251,-0.258131927912
ACH-000253,-0.152174667752
ACH-000255,-0.258412781329
ACH-000256,-0.38033083437799997
ACH-000257,-0.16445658679300001
ACH-000258,-0.0763061357244
ACH-000259,-0.314394995886
ACH-000260,-0.20602291821899998
ACH-000261,-0.125753519562
ACH-000262,-0.119983291907
ACH-000263,-0.910268409649
ACH-000264,-0.258034674155
ACH-000265,-0.242009180532
ACH-000266,-0.111893799025
ACH-000272,-0.147204960444
ACH-000273,-0.405476438204
ACH-000274,-0.309546981115
ACH-000277,-0.125762720415
ACH-000278,-0.0906084465707
ACH-000279,-0.128466747009
ACH-000280,-0.328146000872
ACH-000281,-0.0862357069204
ACH-000288,-0.157235463352
ACH-000291,-0.0799358051717
ACH-000293,-0.380995002101
ACH-000294,-0.639515777123
ACH-000295,-0.418802665022
ACH-000296,-0.34899000675999997
ACH-000302,0.0103899085141
ACH-000304,-0.146368089551
ACH-000307,-0.17283770152800002
ACH-000308,-0.340514746189
ACH-000310,0.00187795414433
ACH-000311,-0.12571291518799999
ACH-000312,-0.338995232085
ACH-000315,-0.03289384142809999
ACH-000316,-0.269107307891
ACH-000317,-0.005221882225100001
ACH-000318,-0.1134892716
ACH-000319,-0.105489493791
ACH-000320,-0.0942061707285
ACH-000322,-0.321493540305
ACH-000323,-0.28490408575
ACH-000324,-0.18239603517099998
ACH-000329,-0.11970823859000002
ACH-000330,-0.24159646684099997
ACH-000331,-0.346173761573
ACH-000332,-0.150543666624
ACH-000334,-0.227423548692
ACH-000335,-0.258988069843
ACH-000336,0.0325193082486
ACH-000337,-0.704380370387
ACH-000339,-0.0746433838489
ACH-000341,-0.0612971911364
ACH-000348,-0.235093032866
ACH-000350,-0.117850226832
ACH-000352,-0.0701615194635
ACH-000356,-0.0636732236235
ACH-000361,-0.025164847413400002
ACH-000362,-0.06304639443440001
ACH-000363,-0.250853222461
ACH-000364,-0.027626920477
ACH-000365,-0.126100651802
ACH-000366,-0.144894949618
ACH-000368,-0.374373375076
ACH-000374,-0.19991374787799998
ACH-000375,0.117660071822
ACH-000376,-0.0661597185941
ACH-000381,-0.286594467088
ACH-000383,-0.17916416738899998
ACH-000387,-0.21603935823800002
ACH-000389,-0.25315066295099997
ACH-000390,-0.23684867604
ACH-000393,-0.278060485521
ACH-000395,-0.105905967711
ACH-000397,-0.299162268273
ACH-000401,-0.177908846388
ACH-000402,-0.22771655219599998
