,SREK1IP1 (285672)
ACH-000004,-0.158984547197
ACH-000007,0.0278419540967
ACH-000009,-0.141534394296
ACH-000011,0.053842370067999995
ACH-000012,-0.0472889094271
ACH-000013,-0.149432673917
ACH-000014,-0.130159372096
ACH-000015,-0.235483330468
ACH-000017,-0.178096562133
ACH-000018,-0.11386481911499999
ACH-000019,-0.145507274551
ACH-000021,-0.130470967878
ACH-000022,-0.241700496816
ACH-000025,-0.191159993882
ACH-000028,-0.07345702315439999
ACH-000030,-0.142759512661
ACH-000035,-0.33846687451499996
ACH-000036,-0.142898488744
ACH-000037,-0.0862459686606
ACH-000039,-0.167685045262
ACH-000040,-0.0912188175227
ACH-000041,-0.0997815556039
ACH-000042,-0.19061102595499999
ACH-000045,-0.139819588419
ACH-000047,-0.0727679658919
ACH-000052,-0.0171736621345
ACH-000053,-0.051233540053
ACH-000054,-0.0563131664097
ACH-000055,0.121589326317
ACH-000060,-0.24910530724100002
ACH-000067,-0.119146991657
ACH-000070,-0.09467844473269998
ACH-000075,-0.273201547145
ACH-000078,-0.0549113064659
ACH-000082,-0.137703154374
ACH-000085,-0.27263727840999996
ACH-000086,-0.155112028487
ACH-000087,0.006478124472350001
ACH-000092,-0.17237538170000002
ACH-000095,-0.229537386943
ACH-000097,-0.12644051444499999
ACH-000098,-0.320072888045
ACH-000099,-0.156176969245
ACH-000108,-0.10392209702199999
ACH-000113,-0.281337330542
ACH-000115,-0.106022275922
ACH-000116,-0.23760534325899998
ACH-000118,-0.0240715919122
ACH-000120,-0.05818121652890001
ACH-000123,-0.17289049145500002
ACH-000127,-0.289979465983
ACH-000128,-0.116853113149
ACH-000132,-0.170116332877
ACH-000133,-0.0740732509192
ACH-000137,-0.256077758058
ACH-000138,-0.0416658809191
ACH-000142,-0.109071692839
ACH-000143,0.10005192795
ACH-000146,-0.12476888255999999
ACH-000148,-0.141204068468
ACH-000150,-0.322128854628
ACH-000152,-0.0830346969023
ACH-000153,-0.16348955086
ACH-000159,-0.146730854408
ACH-000160,-0.273723102217
ACH-000163,0.0310339738795
ACH-000167,-0.37651256407399997
ACH-000168,-0.425020876875
ACH-000169,-0.276558237339
ACH-000178,-0.23567387828800002
ACH-000182,-0.30290969405
ACH-000183,0.030973158552299998
ACH-000188,-0.261180912322
ACH-000189,-0.05309616445859999
ACH-000190,-0.337457363961
ACH-000198,-0.284291198136
ACH-000204,-0.18754752230799998
ACH-000206,0.240702603876
ACH-000207,-0.12449300513
ACH-000211,-0.204438573459
ACH-000215,-0.259348859586
ACH-000221,-0.145530906227
ACH-000222,-0.023398609819799996
ACH-000223,-0.134159592289
ACH-000226,-0.186165336804
ACH-000227,-0.266677566499
ACH-000228,-0.339672855598
ACH-000231,-0.140037037309
