,AFP (174)
ACH-000406,-0.129549532656
ACH-000407,0.06174864964980001
ACH-000408,-0.354219309687
ACH-000410,-0.06727304896269999
ACH-000411,0.152527772766
ACH-000414,-0.102939747858
ACH-000415,-0.058199380644899996
ACH-000416,-0.0358784602762
ACH-000420,-0.104453186632
ACH-000421,-0.100908198491
ACH-000424,-0.086545650571
ACH-000425,-0.17779609981199998
ACH-000426,-0.021817338138900005
ACH-000427,-0.0511156233533
ACH-000433,-0.32815913484000003
ACH-000436,0.034312987270200004
ACH-000444,-0.0358239070226
ACH-000445,0.152694051032
ACH-000448,-0.0019125198484300002
ACH-000450,0.300184452431
ACH-000452,0.011532809152600002
ACH-000454,0.0739383408235
ACH-000458,-0.0727974124791
ACH-000459,0.219569978724
ACH-000460,0.0161372955243
ACH-000461,-0.262244452486
ACH-000463,-0.036608783409800005
ACH-000464,0.015404955556900001
ACH-000466,0.0539050989675
ACH-000467,-0.136148431198
ACH-000468,-0.0786758904087
ACH-000469,0.030993108844400003
ACH-000470,0.0265237125943
ACH-000471,-0.04452833490230001
ACH-000472,0.0848117852642
ACH-000473,-0.208181630875
ACH-000475,0.027407052697299997
ACH-000476,0.128141942667
ACH-000477,0.221654382655
ACH-000480,0.034046956357900005
ACH-000481,-0.11908190354699999
ACH-000483,-0.059991028050499995
ACH-000484,0.297832335026
ACH-000485,0.0224374383581
ACH-000486,0.06237829070180001
ACH-000487,-0.0175324447084
ACH-000488,-5.51423605741e-05
ACH-000490,-0.14932061987
ACH-000491,-0.045419437155800005
ACH-000495,0.019878157282
ACH-000496,-0.163980152262
ACH-000499,0.0614919262705
ACH-000500,0.577980079761
ACH-000502,0.036420307046
ACH-000503,0.00117504990693
ACH-000505,-0.0628892333484
ACH-000507,-0.240821431041
ACH-000510,-0.149828927375
ACH-000511,-0.0566213837249
ACH-000512,-0.114623811562
ACH-000516,0.129732888046
ACH-000517,0.0157994534185
ACH-000518,-0.191853928237
ACH-000520,0.153442765397
ACH-000521,0.0071752269240900005
ACH-000522,-0.06947157588439999
ACH-000524,-0.09542867649730001
ACH-000527,-0.044153015261500006
ACH-000528,-0.131541923068
ACH-000537,0.0126331734239
ACH-000541,-0.128232436808
ACH-000542,-0.0659674866369
ACH-000544,-0.124165013581
ACH-000545,-0.175833766048
ACH-000547,-0.271899398688
ACH-000548,-0.108859558465
ACH-000549,-0.153379355247
ACH-000550,-0.0861278813655
ACH-000552,0.006288105430659999
ACH-000556,-0.0291482936803
ACH-000557,0.0431366993083
ACH-000570,0.006673665368720001
ACH-000571,0.177261770984
ACH-000573,0.00144169660741
ACH-000576,0.0342875795847
ACH-000580,0.0693444351035
ACH-000584,0.0333850045844
ACH-000585,-0.0622662330344
ACH-000588,0.0283467443897
ACH-000589,-0.15189674128900002
ACH-000591,-0.0841915338995
ACH-000593,-0.138271423768
ACH-000600,-0.047917469227400006
ACH-000601,-0.100958014212
ACH-000604,0.316722231944
ACH-000605,0.0645547041713
ACH-000606,0.0588345827235
ACH-000608,-0.0811013403072
ACH-000614,0.131989944526
ACH-000616,-0.232855412416
ACH-000618,-0.145145035774
ACH-000619,-0.0787413125141
ACH-000620,0.0698055271138
ACH-000621,0.007287242768090001
ACH-000622,0.22762676908799997
ACH-000623,-0.0725767185622
ACH-000624,-0.050371502776699995
ACH-000627,-0.140472993675
ACH-000630,-0.0568765947639
ACH-000632,0.00015641373484200002
ACH-000633,-0.143669846458
ACH-000637,0.131297128509
ACH-000638,-0.0633572397896
ACH-000646,-0.27687268393000003
ACH-000647,-0.156269082281
ACH-000648,-0.158139683667
ACH-000649,-0.044621206844499994
ACH-000651,0.0591166833161
ACH-000652,-0.0375914282007
ACH-000653,-0.0203943169729
ACH-000657,-0.00960933990237
ACH-000658,0.0659187867684
ACH-000661,-0.027020013542999998
ACH-000662,-0.20686746049899998
ACH-000663,-0.010824495331700002
ACH-000665,-0.193273380631
ACH-000671,-0.141333776853
ACH-000673,0.051352976688800005
ACH-000676,-0.0196346951242
ACH-000677,-0.0978297204051
ACH-000681,-0.0242912606855
ACH-000682,0.0745213425572
ACH-000683,0.0754546285955
ACH-000684,0.0462642294818
ACH-000688,0.0135146053646
ACH-000693,-0.152145792434
ACH-000694,-0.00245990179569
ACH-000695,-0.33239993243099997
ACH-000696,-0.114225988226
ACH-000697,-0.09235663670460001
ACH-000699,-0.04385886698059999
ACH-000701,-0.335207915392
ACH-000706,0.0148538502684
ACH-000711,-0.0390151291296
ACH-000713,-0.134715273428
ACH-000714,0.008853383975389999
ACH-000718,0.022178617656799997
ACH-000720,-0.00343418129349
ACH-000721,0.041419463129300005
ACH-000724,0.149089002429
ACH-000725,-0.32050045368700003
ACH-000732,-0.12283527309
ACH-000734,-0.110153679842
ACH-000735,-0.18908919676
ACH-000736,0.12292587515999999
ACH-000738,-0.0368986630161
ACH-000746,-0.18722571451699999
ACH-000747,-0.0676291959934
ACH-000748,-0.0109803293718
ACH-000753,0.0318005758831
ACH-000756,0.163090408674
ACH-000757,0.042405657357099995
ACH-000758,-0.06751634949969999
ACH-000760,-0.13775118765900002
ACH-000763,-0.0451877523
ACH-000764,-0.0215404222782
ACH-000765,-0.009686480573809999
ACH-000766,-0.133172994174
ACH-000767,0.05624903449180001
ACH-000768,-0.096524663966
ACH-000769,-0.0699650367457
ACH-000770,-0.10086155982100001
ACH-000771,-0.170916163196
ACH-000773,-0.134843217712
ACH-000776,-0.0689757075222
ACH-000777,-0.0173003236604
ACH-000778,0.012395647999799999
ACH-000781,-0.0532470472421
ACH-000782,0.18714835148400003
ACH-000783,0.043576228037599994
ACH-000784,-0.12948340118499999
ACH-000785,-0.09196297968429999
ACH-000787,-0.30799571089
ACH-000788,-0.028630427425599996
ACH-000791,-0.183139742603
ACH-000792,-0.0439987306181
ACH-000794,-0.0947574761923
ACH-000796,-0.0173286224808
ACH-000799,-0.139298877999
ACH-000800,0.0286070752037
ACH-000802,-0.0267145841774
ACH-000804,-0.169748113677
ACH-000805,-0.11498789467800001
ACH-000809,-0.121818400229
ACH-000810,0.130045587492
ACH-000811,-0.009525743811959999
ACH-000817,0.028837195424900004
ACH-000819,0.113576711344
ACH-000820,0.223694176875
ACH-000821,-0.15965475472000001
ACH-000822,0.198299183204
ACH-000823,-0.115581749333
ACH-000824,0.151775736973
ACH-000827,0.0147603452205
ACH-000829,0.0677564100787
ACH-000831,-0.0415902748379
ACH-000832,-0.07785335986210001
ACH-000833,0.09187312987150001
ACH-000834,-0.117968276129
ACH-000835,-0.0255269154212
ACH-000836,-0.0281929100111
ACH-000837,-0.136216081517
ACH-000838,0.284408568339
ACH-000839,-0.16089194926
ACH-000840,-0.421761078009
ACH-000841,-0.154964059529
ACH-000843,-0.181140001804
ACH-000846,-0.188244363065
ACH-000847,-0.19306124497299998
ACH-000848,-0.11535736317199999
ACH-000849,0.029932213016
ACH-000851,-0.249405535667
ACH-000855,-0.231627727401
ACH-000856,-0.0549257284982
ACH-000858,-0.04739390965890001
ACH-000859,-0.0057924310495800005
ACH-000861,-0.24695396885600002
ACH-000862,-0.0778263962376
ACH-000865,-0.0385822612406
ACH-000866,0.05710571002780001
ACH-000867,-0.0170966358792
ACH-000869,0.06814728701759999
ACH-000872,0.0666923294243
ACH-000873,-0.120854012139
ACH-000876,-0.011740010282799999
ACH-000878,0.11623392310999998
ACH-000880,-0.036759179093
ACH-000881,-0.0289862418804
ACH-000882,0.14572952867
ACH-000884,0.0577768145204
ACH-000885,-0.114158972699
ACH-000887,-0.0540722211121
ACH-000888,0.157784839974
ACH-000889,-0.12581533973300002
ACH-000890,-0.10430715462099999
ACH-000896,-0.062409636659699994
ACH-000898,-0.12330745003799999
ACH-000900,-0.0254780809164
ACH-000901,-0.0387351048698
ACH-000905,-0.0740921606844
ACH-000906,-0.165749074994
ACH-000907,-0.0316837990418
ACH-000910,0.0226472992852
ACH-000911,-0.08642775802519999
ACH-000912,0.105314389252
ACH-000913,-0.17683647168299998
ACH-000915,-0.0227990184754
ACH-000916,0.09852428944319999
ACH-000917,0.0216747861466
ACH-000921,0.0891688869588
ACH-000924,-0.160043203177
ACH-000926,0.0968059706117
ACH-000928,-0.0663120503368
ACH-000929,-0.13452676883099998
ACH-000932,-0.11056476320599999
ACH-000935,-0.25620363722399997
ACH-000936,-0.034478129844800004
ACH-000937,0.133257597064
ACH-000938,0.07177899675860001
ACH-000939,-0.15885038774000002
ACH-000941,-0.18662073915999997
ACH-000943,-0.113420865898
ACH-000946,-0.052842463085099996
ACH-000947,-0.143784673008
ACH-000948,-0.0021706248456999995
ACH-000950,-0.0740336983297
ACH-000953,0.111952823871
ACH-000957,-0.0626591725908
ACH-000958,-0.0322090619498
ACH-000960,0.0155740584598
ACH-000963,-0.22991747704399998
ACH-000968,-0.08096490858830001
ACH-000969,-0.157083574594
ACH-000973,0.027639436225400004
ACH-000974,-0.0820759380116
ACH-000975,-0.22960329183000003
ACH-000976,-0.0454284701975
ACH-000978,-0.028735343338900005
ACH-000980,0.0392173432011
ACH-000984,-0.17729401902
ACH-000986,-0.14074330176
ACH-000988,-0.025503315369700002
ACH-000993,0.00745176471221
ACH-000994,-0.0599680075897
ACH-000996,-0.277821563236
ACH-001001,0.0945839393079
ACH-001020,-0.155581961464
ACH-001028,0.0593695057902
ACH-001031,0.019536415514599996
ACH-001038,0.038181901475
ACH-001048,-0.121651188127
ACH-001050,0.0672263836468
ACH-001053,-0.243070258605
ACH-001054,0.08294753530980001
ACH-001061,-0.0299817748251
ACH-001067,-0.027385372847000003
ACH-001075,-0.0419612101241
ACH-001096,0.0193890851038
ACH-001128,-0.47048421377899996
ACH-001134,0.17539436121899998
ACH-001151,0.07510958023230001
ACH-001163,0.056879570695
ACH-001164,0.100417154538
ACH-001173,-0.0740951948786
ACH-001183,0.028413724437700003
ACH-001184,-0.0806109456935
ACH-001190,-0.274345235221
ACH-001192,0.0562566877498
ACH-001193,0.141033801433
ACH-001196,-0.029553552422700004
ACH-001197,-0.08807051123510001
ACH-001205,0.042711531741
ACH-001211,-0.061273354661600006
ACH-001212,0.18651088390299997
ACH-001228,0.019009229403400003
ACH-001232,0.09269337180839998
ACH-001239,0.0562897001875
ACH-001274,-0.0966063866736
ACH-001275,0.0941433124238
ACH-001277,0.04680399245109999
ACH-001278,-0.14637226849
ACH-001280,-0.10700853324100001
ACH-001283,-0.213472741677
ACH-001289,-0.020541474117299997
ACH-001295,0.026013914978400002
ACH-001300,-0.0460130383589
ACH-001301,0.14288452376900002
ACH-001302,0.17311521617800002
ACH-001303,-0.024504853851900002
ACH-001306,0.07515510585639999
ACH-001318,-0.0781278736907
ACH-001322,-0.228774920012
ACH-001328,-0.07712620545479999
ACH-001332,-0.056712913293399995
ACH-001333,0.0792228815718
ACH-001336,-0.116538453682
ACH-001340,-0.036393315604400005
ACH-001346,-0.027957534349700004
ACH-001353,-0.07472645037660001
ACH-001354,0.0384893630135
ACH-001367,0.12212274959200001
ACH-001368,-0.0242749074745
ACH-001374,-0.193072212867
ACH-001375,-0.136466833306
ACH-001377,-0.137763932209
ACH-001380,-0.163647581674
ACH-001391,-0.0731366269224
ACH-001407,-0.0998830987609
ACH-001408,0.100339352442
ACH-001413,-0.0205002286639
ACH-001430,0.20978073325399998
ACH-001431,-0.0035296254613
ACH-001450,-0.006189822831560001
ACH-001496,0.0684384176604
ACH-001500,-0.0273333566203
ACH-001521,-0.0700387640665
ACH-001523,-0.0413006743047
ACH-001532,0.037693283851300004
ACH-001536,0.044230227603500004
ACH-001550,0.0350801518488
ACH-001552,-0.130662804484
ACH-001554,-0.104528067819
ACH-001645,0.129085023772
ACH-001654,0.10252040805
ACH-001715,0.09720316574349999
ACH-001735,0.0404436092079
ACH-001736,-0.11170184735
ACH-001737,0.5307019524809999
ACH-001740,-0.0857122497934
ACH-001745,-0.192137527513
ACH-001750,-0.0275855918158
ACH-001765,0.08766281948969999
ACH-001956,0.005809295569700001
ACH-001957,0.0143909819591
