,PPIL2 (23759)
ACH-000004,-0.952859657359
ACH-000007,-0.813297350811
ACH-000009,-0.779128382018
ACH-000011,-0.6882218574060001
ACH-000012,-0.958601905747
ACH-000013,-0.735057434955
ACH-000014,-0.766810583194
ACH-000015,-0.7267663526870001
ACH-000017,-0.8910361525730001
ACH-000018,-0.589459037226
ACH-000019,-0.760881856456
ACH-000021,-1.1375191607
ACH-000022,-0.595054820619
ACH-000025,-0.9083401512170001
ACH-000028,-0.7847404851
ACH-000030,-1.03611417361
ACH-000035,-0.723903105511
ACH-000036,-1.05160133724
ACH-000037,-1.23974287366
ACH-000039,-0.819151933953
ACH-000040,-0.6877680886859999
ACH-000041,-0.86629320046
ACH-000042,-0.856406253618
ACH-000045,-0.8921271159649999
ACH-000047,-0.866252246609
ACH-000052,-0.895311955699
ACH-000053,-0.887252468746
ACH-000054,-0.956240191092
ACH-000055,-0.783211844872
ACH-000060,-0.9612593267720001
ACH-000067,-0.7200103030580001
ACH-000070,-0.639441052815
ACH-000075,-0.715653015993
ACH-000078,-0.789530737684
ACH-000082,-1.04872915271
ACH-000085,-0.991065649458
ACH-000086,-0.679410205263
ACH-000087,-0.8059937335840001
ACH-000092,-1.01263440535
ACH-000095,-0.816725457149
ACH-000097,-0.861502521834
ACH-000098,-0.910760371094
ACH-000099,-0.7517927590029999
ACH-000108,-0.7177094712109999
ACH-000113,-0.849447379306
ACH-000115,-0.99590538651
ACH-000116,-0.830346540219
ACH-000118,-0.8078483894949999
ACH-000120,-0.7214065737309999
ACH-000123,-0.8586644198160001
ACH-000127,-0.696198499641
ACH-000128,-0.9163511829850001
ACH-000132,-0.9791219895029999
ACH-000133,-0.909137528037
ACH-000137,-0.7665218497149999
ACH-000138,-0.41984525876900003
ACH-000142,-1.00026933618
ACH-000143,-0.432215032851
ACH-000146,-0.7184351797859999
ACH-000148,-0.57581556927
ACH-000150,-0.9308081610529999
ACH-000152,-0.655035154784
ACH-000153,-0.570301325797
ACH-000159,-0.725672130153
ACH-000160,-0.9934722654729999
ACH-000163,-0.807966956884
ACH-000167,-1.03140895937
ACH-000168,-0.434579190219
ACH-000169,-0.974190573435
ACH-000178,-0.660493434081
ACH-000182,-0.6445239842930001
ACH-000183,-0.558713413183
ACH-000188,-0.773959017655
ACH-000189,-0.491262187858
ACH-000190,-0.9622929994600001
ACH-000198,-0.8768975224660001
ACH-000204,-0.700050229581
ACH-000206,-0.655552661466
ACH-000207,-0.36483401997599996
ACH-000211,-0.719416296221
ACH-000215,-0.840536796454
ACH-000221,-0.9348483107250001
ACH-000222,-0.830787966088
ACH-000223,-0.9213489658380001
ACH-000226,-1.02309933627
ACH-000227,-0.7029142088079999
ACH-000228,-0.915252957428
ACH-000231,-0.7183462252680001
ACH-000232,-0.685867685706
ACH-000233,-0.7898279413089999
ACH-000234,-0.678117854024
ACH-000235,-0.537277247141
ACH-000237,-0.8655337121950001
ACH-000238,-0.7204484482960001
ACH-000243,-0.672458098945
ACH-000244,-0.827956258941
ACH-000246,-0.812248360378
ACH-000248,-0.8637880179999999
ACH-000250,-0.743949552994
ACH-000251,-0.831134598216
ACH-000253,-0.7533887577609999
