,GCFC2 (6936)
ACH-000004,0.21163254401099998
ACH-000007,-0.0170138135947
ACH-000009,0.04544109333119999
ACH-000011,-0.265005535119
ACH-000012,-0.178577258563
ACH-000013,0.00625429412093
ACH-000014,0.055740860974199995
ACH-000015,-0.13508383308900002
ACH-000017,0.0273772922878
ACH-000018,-0.186923254243
ACH-000019,-0.35604321189599997
ACH-000021,-0.015587038403700001
ACH-000022,-0.139483622153
ACH-000025,-0.27299057961
ACH-000028,-0.36639094143
ACH-000030,-0.0489073408201
ACH-000035,-0.0320244108505
ACH-000036,-0.548656967499
ACH-000037,-0.157197876353
ACH-000039,-0.024755852925499998
ACH-000040,-0.48638597446000004
ACH-000041,-0.0242426251168
ACH-000042,-0.0627727313997
ACH-000045,-0.201142379447
ACH-000047,-0.181737485882
ACH-000052,-0.192556875407
ACH-000053,-0.264717244749
ACH-000054,-0.0778693562949
ACH-000055,-0.0790040030854
ACH-000060,-0.291605346211
ACH-000067,-0.049328608957
ACH-000070,-0.041121097418699994
ACH-000075,-0.27695455165
ACH-000078,0.128925269451
ACH-000082,-0.23719199923099998
ACH-000085,-0.258678322684
ACH-000086,-0.00393854912009
ACH-000087,-0.138687066273
ACH-000092,-0.286605733151
ACH-000095,-0.125110141407
ACH-000097,-0.11979012709
ACH-000098,-0.182744898579
ACH-000099,-0.182036614983
ACH-000108,0.0613793948826
ACH-000113,-0.188338302443
ACH-000115,0.0214250658562
ACH-000116,-0.10658541972999999
ACH-000118,-0.166729185738
ACH-000120,0.209985521339
ACH-000123,-0.0440345207037
ACH-000127,-0.232653114741
ACH-000128,-0.151754870171
ACH-000132,-0.11757323073899999
ACH-000133,-0.0202107002004
ACH-000137,-0.44819544325000005
ACH-000138,0.0466597901489
ACH-000142,-0.28236177918600003
ACH-000143,-0.231719177341
ACH-000146,-0.0816975295536
ACH-000148,-0.0312716374419
ACH-000150,-0.106757788132
ACH-000152,-0.19212732504500002
ACH-000153,-0.131786270462
ACH-000159,-0.251333355538
ACH-000160,-0.10513979455900001
ACH-000163,-0.0607224080795
ACH-000167,-0.295049395566
ACH-000168,-0.0663380063485
ACH-000169,-0.185604951248
ACH-000178,-0.19190560767999998
ACH-000182,-0.07788408272069999
ACH-000183,-0.14633873368
ACH-000188,-0.133287188545
ACH-000189,-0.498749173395
ACH-000190,-0.45534751144900004
ACH-000198,-0.0195183190848
ACH-000204,-0.319506379475
ACH-000206,-0.0756357777875
ACH-000207,-0.233461817209
ACH-000211,-0.0954695445045
ACH-000215,-0.21174404885499998
ACH-000221,-0.125334728812
ACH-000222,-0.027445994565400002
ACH-000223,-0.184701312813
ACH-000226,-0.370240410221
ACH-000227,-0.11418760614600001
ACH-000228,-0.22221325063900002
ACH-000231,-0.27338761974500003
ACH-000232,-0.172406793303
ACH-000233,-0.257224572089
ACH-000234,-0.19529140736099998
ACH-000235,-0.09706103332839999
ACH-000237,-0.0414314898536
ACH-000238,-0.193741355152
ACH-000243,-0.0137334063746
ACH-000244,-0.263792751986
ACH-000246,-0.009678759687440001
ACH-000248,-0.327807114174
ACH-000250,-0.124428364158
ACH-000251,-0.240331072062
ACH-000253,-0.194505901737
ACH-000255,-0.30984213755600004
ACH-000256,-0.17013569466200001
ACH-000257,-0.39696920514300005
ACH-000258,-0.05421585911
ACH-000259,-0.0674037255545
ACH-000260,-0.09123087549839999
ACH-000261,-0.204484048191
ACH-000262,-0.324090438653
ACH-000263,0.0475672831834
ACH-000264,-0.110733954913
ACH-000265,-0.14257162283
ACH-000266,-0.11883641922700001
ACH-000272,-0.115969242842
ACH-000273,-0.18183143876
ACH-000274,-0.12792650774800002
ACH-000277,-0.23433777929400001
ACH-000278,-0.201333456694
ACH-000279,-0.156418435102
ACH-000280,-0.14087300079600001
ACH-000281,0.0232100413092
ACH-000288,-0.263337346623
ACH-000291,-0.212595125921
ACH-000293,-0.392557674503
ACH-000294,-0.19267235700399998
ACH-000295,0.10314371534700001
ACH-000296,0.0054412890186
ACH-000302,-0.158202716847
ACH-000304,-0.449464196638
ACH-000307,-0.22256201185600002
ACH-000308,-0.169134452147
ACH-000310,0.00788587979422
ACH-000311,0.0175828351218
ACH-000312,0.0360020391739
ACH-000315,-0.032091771003700004
ACH-000316,-0.105780373335
ACH-000317,-0.160704589642
ACH-000318,-0.133359336066
ACH-000319,-0.19621630293900003
ACH-000320,0.0346880623086
ACH-000322,-0.334433512135
ACH-000323,-0.152921657583
ACH-000324,-0.0612515355018
ACH-000329,-0.141096394635
ACH-000330,-0.428133662121
ACH-000331,-0.305040936599
ACH-000332,-0.0871122261916
ACH-000334,0.168795753888
ACH-000335,-0.0668276804772
ACH-000336,0.0414861569751
ACH-000337,0.0621043379976
ACH-000339,-0.09392663534910001
ACH-000341,-0.13872058357699998
ACH-000348,-0.182930039679
ACH-000350,-0.11637338135
ACH-000352,-0.049603824507
ACH-000356,-0.244233993457
ACH-000361,-0.138771970996
ACH-000362,-0.04456925507830001
ACH-000363,-0.0881797637674
ACH-000364,-0.038572115047699994
ACH-000365,-0.00223856945808
ACH-000366,-0.193166986445
ACH-000368,-0.35404053840899996
ACH-000374,-0.246831571703
ACH-000375,-0.0573379336154
ACH-000376,-0.433260364251
ACH-000381,-0.14318187354599998
ACH-000383,-0.0655841119718
ACH-000387,-0.0657693238065
ACH-000389,-0.13213370542400002
ACH-000390,-0.287487791666
ACH-000393,-0.22251948067400001
ACH-000395,0.117172544628
ACH-000397,-0.0900940253885
ACH-000401,-0.168278158537
ACH-000402,-0.241279447241
ACH-000403,-0.178981736161
ACH-000404,-0.038394827405400005
ACH-000406,-0.0154450375934
ACH-000407,-0.235727981545
ACH-000408,0.012224413068799999
ACH-000410,-0.174985571408
ACH-000411,-0.14223727015100002
ACH-000414,0.0788656299935
ACH-000415,-0.185412849374
ACH-000416,-0.126685095456
ACH-000420,-0.24520171728100001
ACH-000421,-0.15272417648199998
ACH-000424,-0.27097991948600003
ACH-000425,-0.285992426954
ACH-000426,-0.472042784089
ACH-000427,-0.389691769977
ACH-000433,-0.221268926256
ACH-000436,-0.31207397463799996
ACH-000444,-0.15660821402
ACH-000445,-0.00733259134572
ACH-000448,-0.12612888443700002
ACH-000450,0.059432497288499996
ACH-000452,-0.0702531899689
ACH-000454,-0.367906748063
ACH-000458,-0.17877196434599998
ACH-000459,-0.122411345364
ACH-000460,-0.201511291644
ACH-000461,-0.47174744521000006
ACH-000463,-0.156629597871
ACH-000464,-0.110764137981
ACH-000466,-0.00787405113533
ACH-000467,-0.141454841714
ACH-000468,0.10736616737
ACH-000469,-0.14022414355
ACH-000470,-0.139612640114
ACH-000471,-0.19940333479400002
ACH-000472,-0.0635723945518
ACH-000473,0.014297225630299998
ACH-000475,-0.17127853669
ACH-000476,-0.10617597961200001
ACH-000477,0.0720423946239
ACH-000480,-0.19720856749200003
ACH-000481,-0.146506443963
ACH-000483,-0.207415858988
ACH-000484,-0.574099617638
ACH-000485,-0.309814708123
ACH-000486,-0.305341804193
ACH-000487,-0.219237268614
ACH-000488,-0.11105006812000001
ACH-000490,-0.22748139810600002
ACH-000491,-0.104820766718
ACH-000495,-0.24111892097399998
ACH-000496,-0.060466450576900005
ACH-000499,-0.115539424937
ACH-000500,-0.5856740437269999
ACH-000502,-0.036209289644400004
ACH-000503,-0.117329319933
ACH-000505,-0.0164139126773
ACH-000507,-0.137668651936
ACH-000510,-0.191017331924
ACH-000511,-0.328169143469
ACH-000512,-0.211901827341
ACH-000516,-0.217220225264
ACH-000517,-0.14389127577299998
ACH-000518,-0.29953876855300005
ACH-000520,-0.219238530066
ACH-000521,-0.0192175685242
ACH-000522,-0.20133167324700002
ACH-000524,-0.144999095041
ACH-000527,-0.125288111233
ACH-000528,-0.114446807892
ACH-000537,-0.103783423031
ACH-000541,-0.223888036513
ACH-000542,-0.0577592693024
ACH-000544,-0.263091063588
ACH-000545,-0.184531060484
ACH-000547,-0.09345468794810001
ACH-000548,-0.36600422692400003
ACH-000549,-0.28710255928000006
ACH-000550,-0.00346965442141
ACH-000552,-0.22186436732700002
ACH-000556,-0.336849612906
ACH-000557,-0.15004796319
ACH-000570,-0.0138657060837
ACH-000571,-0.06795805399430001
ACH-000573,-0.1917992903
ACH-000576,0.0191020224913
ACH-000580,-0.0797945362559
ACH-000584,-0.174333830222
ACH-000585,-0.113535824945
ACH-000588,-0.20447670292
ACH-000589,-0.0431139142903
ACH-000591,-0.325094047564
ACH-000593,-0.243636965663
ACH-000600,-0.24126261712400002
ACH-000601,-0.104792782368
ACH-000604,-0.12358414625499999
ACH-000605,-0.0455281829831
ACH-000606,-0.269565242328
ACH-000608,-0.0358786445161
ACH-000614,-0.142814155233
ACH-000616,-0.33314580473600003
ACH-000618,-0.468421732255
ACH-000619,-0.33631277391000003
ACH-000620,-0.238451449094
ACH-000621,-0.115304677
ACH-000622,-0.345678451014
ACH-000623,0.014642865569100001
ACH-000624,-0.123017029932
ACH-000627,-0.182700395792
ACH-000630,-0.186892285207
ACH-000632,-0.538095240703
ACH-000633,-0.0727611573203
ACH-000637,-0.3314686228
ACH-000638,-0.158118222464
ACH-000646,-0.154067716
ACH-000647,0.0031773518023300003
ACH-000648,0.0616957831825
ACH-000649,-0.139455723351
ACH-000651,-0.115190786481
ACH-000652,-0.0703460525817
ACH-000653,-0.10547860236300001
ACH-000657,-0.13004719737700002
ACH-000658,-0.14299865613
ACH-000661,-0.13025785974
ACH-000662,-0.539293071823
ACH-000663,-0.258100402022
ACH-000665,-0.34444663131
ACH-000671,-0.209513805378
ACH-000673,-0.311937736683
ACH-000676,-0.08525478698339999
ACH-000677,0.0754002509983
ACH-000681,-0.025422389648199997
ACH-000682,-0.13974733489399999
ACH-000683,-0.0500213644755
ACH-000684,-0.21634335026
ACH-000688,0.0231927964486
ACH-000693,-0.21089469760000001
ACH-000694,-0.20714656879299997
ACH-000695,-0.258603992345
ACH-000696,-0.230471672269
ACH-000697,-0.0628196950123
ACH-000699,0.024583629514799997
ACH-000701,-0.24882599366900002
ACH-000706,-0.297418699967
ACH-000711,-0.163646311332
ACH-000713,0.0028166631391799996
ACH-000714,-0.144322082088
ACH-000718,-0.37553655651
ACH-000720,-0.0896032184805
ACH-000721,-0.12413667724300001
ACH-000724,-0.27728682234200003
ACH-000725,-0.109544575307
ACH-000732,-0.09325375275260002
ACH-000734,-0.22335635140500001
ACH-000735,-0.180436148204
ACH-000736,-0.0764581558792
ACH-000738,-0.23587358435800002
ACH-000746,-0.057665440651199995
ACH-000747,-0.292897524582
ACH-000748,-0.203068260652
ACH-000753,-0.16189751590999998
ACH-000756,0.0689881793744
ACH-000757,0.137269446813
ACH-000758,0.0410427139652
ACH-000760,-0.13008669667300002
ACH-000763,-0.113868249943
ACH-000764,-0.295352419905
ACH-000765,0.0328228540955
ACH-000766,-0.34740178287199996
ACH-000767,-0.04497234070330001
ACH-000768,-0.272346332005
ACH-000769,-0.141224517053
ACH-000770,-0.167515474056
ACH-000771,-0.254187186356
ACH-000773,0.163815854412
ACH-000776,-0.52297000877
ACH-000777,-0.07944984994969999
ACH-000778,-0.10863197294600001
ACH-000781,0.0021361688955599998
ACH-000782,-0.42889089117
ACH-000783,-0.0259012054574
ACH-000784,-0.188063626926
ACH-000785,-0.140929083312
ACH-000787,-0.124539733781
ACH-000788,-0.20175707030099999
ACH-000791,-0.0580344619372
ACH-000792,-0.189020539636
ACH-000794,-0.16419221067
ACH-000796,-0.181265834
ACH-000799,-0.39755336923199996
ACH-000800,0.09657272114589999
ACH-000802,-0.136530456356
ACH-000804,-0.186007671239
ACH-000805,-0.362353507719
ACH-000809,-0.12280115085000001
ACH-000810,-0.461142795085
ACH-000811,-0.0727307772791
ACH-000817,-0.0797051195335
ACH-000819,-0.19603960182100003
ACH-000820,-0.203737226056
ACH-000821,0.11164601546700001
ACH-000822,-0.365572603293
ACH-000823,-0.0348524841052
ACH-000824,-0.168027149048
ACH-000827,-0.136828017957
ACH-000829,-0.0695449466808
ACH-000831,-0.19495580596099998
ACH-000832,-0.513351991058
ACH-000833,-0.0735835179979
ACH-000834,-0.218786529472
ACH-000835,-0.23411883706
ACH-000836,-0.276357904142
ACH-000837,0.0306153581587
ACH-000838,-0.153466582105
ACH-000839,0.0794526027707
ACH-000840,0.0639398903901
ACH-000841,-0.0684387401447
ACH-000843,-0.238537366067
ACH-000846,-0.397112745616
ACH-000847,-0.361512489586
ACH-000848,-0.193294499282
ACH-000849,-0.0835463832233
ACH-000851,-0.050197534518800005
ACH-000855,-0.313100400057
ACH-000856,-0.057017395429
ACH-000858,-0.34282746628300004
ACH-000859,-0.1199148817
ACH-000861,-0.164609203051
ACH-000862,-0.16326388072
ACH-000865,-0.18061300242699999
ACH-000866,-0.18262757274900002
ACH-000867,-0.15595947374500002
ACH-000869,-0.10961676097100001
ACH-000872,-0.12154327389
ACH-000873,0.136455060699
ACH-000876,-0.155273969914
ACH-000878,-0.012113580054399999
ACH-000880,-0.042661900927
ACH-000881,-0.13926429805600002
ACH-000882,-0.10569615076700001
ACH-000884,-0.250113326267
ACH-000885,-0.07465885845010001
ACH-000887,-0.12720804918700002
ACH-000888,0.0183286469966
ACH-000889,-0.102955464427
ACH-000890,-0.13156631668
ACH-000896,-0.17840068426
ACH-000898,-0.135820184292
ACH-000900,-0.0205586089957
ACH-000901,-0.0226359546606
ACH-000905,-0.128379363925
ACH-000906,-0.14329871077099998
ACH-000907,-0.0329149304253
ACH-000910,-0.236876624364
ACH-000911,-0.269874874729
ACH-000912,-0.10629693922700001
ACH-000913,-0.0668628019444
ACH-000915,-0.20998222011599998
ACH-000916,-0.912717016019
ACH-000917,-0.146467009652
ACH-000921,-0.042216559948899994
ACH-000924,-0.0770272656377
ACH-000926,0.08770167923810002
ACH-000928,-0.18538618959800002
ACH-000929,0.156176612812
ACH-000932,-0.10181670163699999
ACH-000935,0.0479251932486
ACH-000936,0.0220717791701
ACH-000937,-0.220932034185
ACH-000938,-0.23699926064399998
ACH-000939,0.0361000916978
ACH-000941,-0.191358867878
ACH-000943,-0.100517422264
ACH-000946,-0.26068598968199996
ACH-000947,0.022950832841
ACH-000948,-0.174563417964
ACH-000950,-0.561067712708
ACH-000953,-0.224341901263
ACH-000957,-0.16955180850600002
ACH-000958,-0.173288550352
ACH-000960,-0.198040683189
ACH-000963,-0.042418632360699995
ACH-000968,-0.19910031128400002
ACH-000969,-0.191302512424
