,COPG1 (22820)
ACH-000004,-1.44480802696
ACH-000007,-1.87230726744
ACH-000009,-1.72526279253
ACH-000011,-1.32496505849
ACH-000012,-1.60619564519
ACH-000013,-1.04935347435
ACH-000014,-1.61480016958
ACH-000015,-0.5058334380139999
ACH-000017,-1.67470967769
ACH-000018,-1.4094564373700003
ACH-000019,-1.78770263782
ACH-000021,-1.24312734662
ACH-000022,-1.67338949379
ACH-000025,-1.5178481186200001
ACH-000028,-1.6680644204100001
ACH-000030,-1.28355465364
ACH-000035,-1.6421795832600001
ACH-000036,-1.5782617494799998
ACH-000037,-1.0449051043000002
ACH-000039,-1.17986029364
ACH-000040,-1.3212391540200001
ACH-000041,-1.15486413237
ACH-000042,-0.586352363134
ACH-000045,-1.0912577857799999
ACH-000047,-1.6357492369
ACH-000052,-1.3082993030399999
ACH-000053,-1.4362256804499998
ACH-000054,-1.57673862694
ACH-000055,-1.42251156183
ACH-000060,-1.5828783150499999
ACH-000067,-1.5825304177700001
ACH-000070,-1.53615636947
ACH-000075,-1.61845851384
ACH-000078,-0.704808459313
ACH-000082,-1.4565067597299999
ACH-000085,-1.56206505021
ACH-000086,-1.52986976486
ACH-000087,-1.30045861698
ACH-000092,-1.10438888971
ACH-000095,-1.4170022954600001
ACH-000097,-1.69884216915
ACH-000098,-1.34643114086
ACH-000099,-1.25642291366
ACH-000108,-1.58258345999
ACH-000113,-1.6092368834900002
ACH-000115,-2.4162289475599996
ACH-000116,-1.60675516387
ACH-000118,-1.5514707227700002
ACH-000120,-1.54029384613
ACH-000123,-1.56682069336
ACH-000127,-1.6634521854
ACH-000128,-0.9110887140360001
ACH-000132,-1.60276454322
ACH-000133,-1.50782045359
ACH-000137,-1.6213164167899998
ACH-000138,-1.31117468213
ACH-000142,-1.52697763335
ACH-000143,-1.7043476100400001
ACH-000146,-1.7311108136700002
ACH-000148,-1.60029288807
ACH-000150,-1.0723835593000002
ACH-000152,-1.55931645663
ACH-000153,-1.74642276776
ACH-000159,-1.6750376929
ACH-000160,-1.6046361581400002
ACH-000163,-1.65876110074
ACH-000167,-2.17678066304
ACH-000168,-1.30052947501
ACH-000169,-1.52633499231
ACH-000178,-1.55646239551
ACH-000182,-1.57073704826
ACH-000183,-1.7574611607799997
ACH-000188,-1.5996910573700003
ACH-000189,-1.37458001649
ACH-000190,-1.70543436891
ACH-000198,-1.10761168209
ACH-000204,-1.55166072845
ACH-000206,-1.35260819009
ACH-000207,-1.6427681365600002
ACH-000211,-0.890549919492
ACH-000215,-1.3949134139
ACH-000221,-0.703253899597
ACH-000222,-1.8895124908099996
ACH-000223,-1.1858594052
ACH-000226,-1.27955676004
ACH-000227,-0.817812280458
ACH-000228,-1.6228542483500001
ACH-000231,-1.47579941007
ACH-000232,-0.991419582044
ACH-000233,-1.6922966971000002
ACH-000234,-1.8896203605000002
ACH-000235,-0.994307213532
ACH-000237,-1.5836363129299997
ACH-000238,-1.58327525649
ACH-000243,-1.52180318286
ACH-000244,-1.16970952259
ACH-000246,-1.4379549957700002
ACH-000248,-1.3767694744299999
ACH-000250,-1.6339945573399999
ACH-000251,-1.4305572217700002
ACH-000253,-1.1211223484000001
ACH-000255,-1.2276723595399999
ACH-000256,-1.6398646982
ACH-000257,-1.05782843688
ACH-000258,-1.00343585545
ACH-000259,-1.12121857154
ACH-000260,-1.0574677160600001
ACH-000261,-1.56154330528
ACH-000262,-1.45598097463
ACH-000263,-1.72407753095
ACH-000264,-0.612495069369
ACH-000265,-1.31636059483
ACH-000266,-1.54070507845
ACH-000272,-1.60587532599
ACH-000273,-1.6088984390099998
ACH-000274,-1.4805264901700002
ACH-000277,-1.7121714687399998
ACH-000278,-1.54125133931
ACH-000279,-1.194553033
ACH-000280,-1.7993553479900002
ACH-000281,-0.7179860141399999
ACH-000288,-1.36802525951
ACH-000291,-1.61829243894
ACH-000293,-1.6633253282299998
ACH-000294,-1.16302010284
ACH-000295,-1.8801647346099999
ACH-000296,-1.6813192265999999
ACH-000302,-1.93650166224
ACH-000304,-1.27704258529
ACH-000307,-1.43179329226
ACH-000308,-1.54689765332
ACH-000310,-1.12974472424
ACH-000311,-1.8556862230700002
ACH-000312,-1.42355618074
ACH-000315,-1.07071304241
ACH-000316,-1.4246902869799998
ACH-000317,-1.51213153252
ACH-000318,-1.3183930011700002
ACH-000319,-1.4272697069999998
ACH-000320,-1.4158194261800001
ACH-000322,-1.44949989731
ACH-000323,-1.35319580097
ACH-000324,-1.73597668199
ACH-000329,-1.54830152894
ACH-000330,-1.8017167795200002
ACH-000331,-1.39849748095
ACH-000332,-1.39594064608
ACH-000334,-0.41884941977799994
ACH-000335,-1.41383747753
ACH-000336,-1.03254761486
ACH-000337,-1.6170255423500002
ACH-000339,-1.3395905854899999
ACH-000341,-0.700051445664
ACH-000348,-1.49692428728
ACH-000350,-1.55327517713
ACH-000352,-1.41148669948
ACH-000356,-1.54397292738
ACH-000361,-1.73493634538
ACH-000362,-1.97108389878
ACH-000363,-1.65104242771
ACH-000364,-1.6012368769999998
ACH-000365,-1.72149322977
ACH-000366,-0.6187070874
ACH-000368,-1.6280679310799997
ACH-000374,-1.4318793886
ACH-000375,-1.8477058555900001
ACH-000376,-1.28653161363
ACH-000381,-1.42972119472
ACH-000383,-1.78021861569
ACH-000387,-1.6542446245700002
ACH-000389,-1.61316008199
ACH-000390,-0.251534414692
ACH-000393,-1.5714039477000001
ACH-000395,-1.60249758887
ACH-000397,-1.54104068862
ACH-000401,-1.6429192228
ACH-000402,-0.989333582184
ACH-000403,-0.7313709624250001
ACH-000404,-1.2918962089700001
ACH-000406,-1.7901347036700002
ACH-000407,-1.37614042753
ACH-000408,-1.37027685601
ACH-000410,-1.2661687258499998
ACH-000411,-1.48511578438
ACH-000414,-1.82468062035
ACH-000415,-1.53652427359
ACH-000416,-1.6038432716
ACH-000420,-1.5966211230899998
ACH-000421,-1.41525947041
ACH-000424,-1.48223649404
ACH-000425,-1.48500578385
ACH-000426,-2.26052823919
ACH-000427,-1.7192710680400003
ACH-000433,-1.5949678812799999
ACH-000436,-1.9849669604099998
ACH-000444,-1.16606143577
ACH-000445,-0.8073577735809999
ACH-000448,-1.2655252943200002
ACH-000450,-1.1852093023799999
ACH-000452,-1.3700787503
ACH-000454,-0.8122052463580001
ACH-000458,-1.16356046369
ACH-000459,-2.88697253695
ACH-000460,-1.5742325651499998
ACH-000461,-1.3389707281299998
ACH-000463,-1.8312883849400001
ACH-000464,-0.8052208069779999
ACH-000466,-1.2392320630700002
ACH-000467,-1.50313798102
ACH-000468,-1.6064960134900002
ACH-000469,-1.5879378560799997
ACH-000470,-1.6850485180700001
ACH-000471,-1.5753542404299998
