,GSTA1 (2938)
ACH-000004,-0.373530280775
ACH-000007,-0.21299218877700002
ACH-000009,-0.212299278532
ACH-000011,-0.251691337176
ACH-000012,-0.220210029597
ACH-000013,-0.241652720511
ACH-000014,-0.35825978574600004
ACH-000015,-0.161122558991
ACH-000017,-0.247008735284
ACH-000018,-0.301208442061
ACH-000019,-0.21565471459899999
ACH-000021,-0.27188166756
ACH-000022,-0.132637522351
ACH-000025,-0.140984006936
ACH-000028,-0.247883512701
ACH-000030,-0.160810101627
ACH-000035,0.0454875028015
ACH-000036,-0.23359178699299998
ACH-000037,-0.160635538188
ACH-000039,0.031242129394200003
ACH-000040,-0.133381896338
ACH-000041,-0.0289153526395
ACH-000042,-0.089305644702
ACH-000045,-0.216205449975
ACH-000047,-0.183699803262
ACH-000052,-0.256187299316
ACH-000053,-0.0792175065701
ACH-000054,-0.308852370318
ACH-000055,-0.234537852607
ACH-000060,-0.24286091405000002
ACH-000067,-0.135144019999
ACH-000070,-0.0632800069215
ACH-000075,-0.319306403635
ACH-000078,-0.227165257173
ACH-000082,-0.196206673143
ACH-000085,-0.33757550500699995
ACH-000086,-0.344652361115
ACH-000087,-0.0997484325255
ACH-000092,-0.116145368007
ACH-000095,-0.305352356611
ACH-000097,-0.152370877426
ACH-000098,-0.350358488778
ACH-000099,-0.318521028619
ACH-000108,-0.07332913970180001
ACH-000113,-0.413115077825
ACH-000115,-0.169175304686
ACH-000116,-0.281337257872
ACH-000118,-0.182293769028
ACH-000120,-0.38381940550099997
ACH-000123,-0.189229005438
ACH-000127,-0.280384324894
ACH-000128,-0.42855736666
ACH-000132,-0.17062263576900003
ACH-000133,-0.259257764262
ACH-000137,-0.187592740592
ACH-000138,-0.163478604939
ACH-000142,-0.186725091367
ACH-000143,-0.24854307276299997
ACH-000146,-0.16305271801500001
ACH-000148,-0.0640444959819
ACH-000150,-0.336507957411
ACH-000152,-0.281562095419
ACH-000153,-0.0406389992248
ACH-000159,-0.380807950804
ACH-000160,-0.116729956499
ACH-000163,-0.049220669712500005
ACH-000167,-0.237111529513
ACH-000168,-0.184878804969
ACH-000169,-0.290504449819
ACH-000178,-0.275694256543
ACH-000182,-0.327893611401
ACH-000183,-0.12405515344200001
ACH-000188,-0.263673254107
ACH-000189,-0.0412399386081
ACH-000190,-0.164076976672
ACH-000198,-0.20391923542800003
ACH-000204,-0.0187114494215
ACH-000206,-0.5669232885050001
ACH-000207,-0.407626462311
ACH-000211,-0.137908429891
ACH-000215,-0.312146740779
ACH-000221,-0.163758543703
ACH-000222,-0.320850878197
ACH-000223,-0.279931163766
ACH-000226,-0.0980865905996
ACH-000227,-0.128340311224
ACH-000228,-0.2872099925
ACH-000231,-0.25928034455800003
ACH-000232,-0.100644010318
ACH-000233,-0.293170061672
ACH-000234,-0.06499209661090001
ACH-000235,-0.311005022435
ACH-000237,-0.157348339493
ACH-000238,-0.13640316499000002
ACH-000243,-0.22758193513099997
ACH-000244,-0.307488471984
ACH-000246,-0.42846498341300004
ACH-000248,-0.318320809057
ACH-000250,-0.258729799378
ACH-000251,-0.535564385527
ACH-000253,-0.544039908301
ACH-000255,-0.21623536966499998
ACH-000256,-0.321565740047
ACH-000257,-0.326483280139
ACH-000258,-0.273429032204
ACH-000259,-0.189639373827
ACH-000260,-0.275228072541
ACH-000261,-0.293501400739
ACH-000262,-0.5085044989940001
ACH-000263,-0.31838657716200003
ACH-000264,-0.375411939214
ACH-000265,-0.242040647039
ACH-000266,-0.38816689124399995
ACH-000272,-0.327368282202
ACH-000273,-0.44812454509300004
ACH-000274,-0.0992697372866
ACH-000277,-0.140772703366
ACH-000278,-0.100305165846
ACH-000279,-0.187423085611
ACH-000280,-0.158575198866
ACH-000281,-0.112540717754
ACH-000288,-0.141272026673
ACH-000291,-0.07868674519730001
ACH-000293,-0.174234664718
ACH-000294,-0.049259716657499994
ACH-000295,-0.36186886808300006
ACH-000296,-0.402407310212
ACH-000302,-0.17263897157299998
ACH-000304,-0.19028717697099998
ACH-000307,-0.0889369415495
ACH-000308,-0.22650632535300003
ACH-000310,-0.204797415113
ACH-000311,-0.177164245298
ACH-000312,-0.277958614855
ACH-000315,-0.14276126685
ACH-000316,-0.221142242131
ACH-000317,-0.213660082664
ACH-000318,-0.260129863435
ACH-000319,-0.24556625885000002
ACH-000320,-0.248653330439
ACH-000322,-0.0543287394003
ACH-000323,-0.284214115776
ACH-000324,-0.401327580453
ACH-000329,-0.18589906510200002
ACH-000330,-0.345254214744
ACH-000331,-0.315584613255
ACH-000332,-0.396016760497
ACH-000334,-0.29884685288699997
ACH-000335,-0.33444912452
ACH-000336,-0.0715205533819
ACH-000337,-0.24680054941500001
ACH-000339,-0.22191863159000003
ACH-000341,-0.146509767602
ACH-000348,-0.0609980308763
ACH-000350,-0.19592833722300002
ACH-000352,-0.204401461694
ACH-000356,-0.0789966096639
ACH-000361,-0.492568946158
ACH-000362,-0.387206893393
ACH-000363,-0.0864627439475
ACH-000364,-0.0415151841384
ACH-000365,-0.21396883978
ACH-000366,-0.055690982425699996
ACH-000368,-0.233850461322
ACH-000374,-0.09804279264530001
ACH-000375,-0.407805469877
ACH-000376,-0.0628316264432
ACH-000381,-0.281013836686
ACH-000383,-0.138206820869
ACH-000387,-0.161770118805
ACH-000389,-0.333518216647
ACH-000390,-0.250468722824
ACH-000393,-0.198961131876
ACH-000395,-0.0866264761739
ACH-000397,-0.167682940478
ACH-000401,0.05858029509669999
ACH-000402,0.308524414449
ACH-000403,-0.280430193436
