,SNRNP70 (6625)
ACH-000004,-1.12657008155
ACH-000007,-1.0015806605
ACH-000009,-1.1631004854
ACH-000011,-1.14269844066
ACH-000012,-1.2599804534
ACH-000013,-1.50353132032
ACH-000014,-1.4415568234799998
ACH-000015,-1.35058120884
ACH-000017,-1.36032412924
ACH-000018,-1.2232341427200002
ACH-000019,-1.23851189532
ACH-000021,-1.42295273028
ACH-000022,-1.3763149086700002
ACH-000025,-0.9744552513600001
ACH-000028,-1.17400735309
ACH-000030,-1.17955647323
ACH-000035,-1.0542586784299999
ACH-000036,-0.9371002166719999
ACH-000037,-1.5101385870700001
ACH-000039,-1.18584049652
ACH-000040,-1.1944987494200001
ACH-000041,-1.678439269
ACH-000042,-1.09355646761
ACH-000045,-1.1416701787799999
ACH-000047,-1.11087705807
ACH-000052,-1.2445516460200001
ACH-000053,-1.43004232864
ACH-000054,-1.07698840404
ACH-000055,-1.19164316713
ACH-000060,-1.2587754167299998
ACH-000067,-1.25686982052
ACH-000070,-1.2203738792299998
ACH-000075,-1.4661785704299999
ACH-000078,-1.33161862763
ACH-000082,-1.37434621176
ACH-000085,-1.0656262433600001
ACH-000086,-1.15556632705
ACH-000087,-1.27667354838
ACH-000092,-1.2957019108399999
ACH-000095,-1.4699513621899998
ACH-000097,-1.33321273898
ACH-000098,-1.00666196032
ACH-000099,-1.4671836037000001
ACH-000108,-1.21653895888
ACH-000113,-1.4723278691100001
ACH-000115,-1.53090474833
ACH-000116,-1.3533935516
ACH-000118,-1.31437463983
ACH-000120,-1.18395966411
ACH-000123,-1.33604561256
ACH-000127,-1.00721102565
ACH-000128,-1.3284552284
ACH-000132,-1.5914053914
ACH-000133,-1.4564018492
ACH-000137,-1.39129876398
ACH-000138,-1.11786910662
ACH-000142,-1.34502262614
ACH-000143,-1.03885056179
ACH-000146,-1.23110909939
ACH-000148,-1.15346761853
ACH-000150,-1.28987704185
ACH-000152,-1.31581669794
ACH-000153,-0.7945133461130001
ACH-000159,-1.06538600551
ACH-000160,-1.29759521034
ACH-000163,-0.9479228810079999
ACH-000167,-1.27017982246
ACH-000168,-1.28627887657
ACH-000169,-1.3347540294
ACH-000178,-1.2927386088500001
ACH-000182,-1.19820493278
ACH-000183,-1.21602605434
ACH-000188,-1.27977413123
ACH-000189,-0.887596671205
ACH-000190,-1.33252709044
ACH-000198,-1.10653620246
ACH-000204,-1.17811605207
ACH-000206,-1.2756743371600001
ACH-000207,-1.8817987046400002
ACH-000211,-1.43554759149
ACH-000215,-1.06144158065
ACH-000221,-1.51032668533
ACH-000222,-1.16394983596
ACH-000223,-1.1216866135799999
ACH-000226,-1.17488860277
ACH-000227,-1.40767210292
ACH-000228,-1.39959136817
ACH-000231,-0.9704250595370001
ACH-000232,-1.04701351078
ACH-000233,-1.2742201768
ACH-000234,-1.3800653690399998
ACH-000235,-1.1727867079899998
ACH-000237,-1.35395352128
ACH-000238,-1.4370436623299998
ACH-000243,-1.10203869244
ACH-000244,-1.16497992122
ACH-000246,-1.16383316366
ACH-000248,-1.2541136427
ACH-000250,-0.994701997526
ACH-000251,-1.36084612471
