,FRRS1 (391059)
ACH-000004,-0.143355316056
ACH-000007,-0.3554140433
ACH-000009,-0.31791063226599997
ACH-000011,0.0110548097902
ACH-000012,-0.225262055718
ACH-000013,-0.16403556313200002
ACH-000014,-0.18976375578200003
ACH-000015,-0.13763251114
ACH-000017,-0.0369929822799
ACH-000018,-0.336443363803
ACH-000019,0.041969056663699995
ACH-000021,-0.20966059027800002
ACH-000022,-0.000990838265985
ACH-000025,-0.42207228922300005
ACH-000028,-0.125686459955
ACH-000030,-0.23310497386
ACH-000035,-0.307509837638
ACH-000036,-0.201262446769
ACH-000037,-0.11284779745
ACH-000039,-0.0057802679752
ACH-000040,-0.219786859798
ACH-000041,-0.144807583315
ACH-000042,-0.173348092205
ACH-000045,-0.11972463192800001
ACH-000047,-0.236566566595
ACH-000052,-0.332851715843
ACH-000053,-0.23506897047800002
ACH-000054,-0.163557165477
ACH-000055,-0.31330056917300003
ACH-000060,-0.258152080704
ACH-000067,-0.21469642712099998
ACH-000070,-0.135605911465
ACH-000075,-0.197325383836
ACH-000078,-0.185920331553
ACH-000082,-0.196050995997
ACH-000085,-0.277232336866
ACH-000086,-0.283172417151
ACH-000087,-0.17162981925
ACH-000092,-0.341029870643
ACH-000095,-0.24678022431699997
ACH-000097,-0.04680434683069999
ACH-000098,-0.153607282118
ACH-000099,-0.274428766075
ACH-000108,0.032369612746399996
ACH-000113,-0.0113673629993
ACH-000115,-0.0366014776906
ACH-000116,-0.0560193185288
ACH-000118,-0.12781730924100002
ACH-000120,-0.14676852918199998
ACH-000123,-0.452507710471
ACH-000127,-0.24635352155200002
ACH-000128,-0.07923858267539999
ACH-000132,-0.0933584146061
ACH-000133,-0.270661991831
ACH-000137,-0.5875376079810001
ACH-000138,-0.15416535896800002
ACH-000142,-0.135366901753
ACH-000143,-0.255141294444
ACH-000146,-0.110882289532
ACH-000148,-0.293147981679
ACH-000150,-0.42379567079
ACH-000152,-0.22541328429299998
ACH-000153,-0.31911547384399996
ACH-000159,-0.0969376809686
ACH-000160,-0.17947230796100003
ACH-000163,-0.201031624122
ACH-000167,-0.318868488756
ACH-000168,-0.199434940883
ACH-000169,-0.061828787667899995
ACH-000178,-0.125579487064
ACH-000182,0.0288264322547
ACH-000183,-0.1785825393
ACH-000188,-0.256408621733
ACH-000189,-0.30351692457699997
ACH-000190,-0.0749655729648
ACH-000198,-0.17676481555
ACH-000204,-0.24590083440299998
ACH-000206,-0.18696313100099998
ACH-000207,-0.301509565611
ACH-000211,-0.13953730375
ACH-000215,-0.153856825469
ACH-000221,-0.343535694621
ACH-000222,-0.182253277164
ACH-000223,-0.0970519509647
ACH-000226,-0.25446513667599996
ACH-000227,-0.5415784620090001
ACH-000228,-0.021281374936000002
ACH-000231,-0.319711574121
ACH-000232,-0.220398887894
ACH-000233,-0.27457634181400004
ACH-000234,0.06506020031899999
ACH-000235,-0.0986640831304
ACH-000237,-0.178895759394
ACH-000238,-0.192500807664
ACH-000243,-0.21351275592900001
ACH-000244,-0.32570828398699997
ACH-000246,-0.114674533092
ACH-000248,-0.132218987206
ACH-000250,-0.114025815286
ACH-000251,-0.104521971532
ACH-000253,0.0110671023962
ACH-000255,-0.197398741139
