,TTC30A (92104)
ACH-000004,-0.0592015946684
ACH-000007,-0.0201585733224
ACH-000009,-0.251485255788
ACH-000011,-0.224399069521
ACH-000012,-0.028274831432
ACH-000013,-0.121939910986
ACH-000014,-0.12360798683700001
ACH-000015,-0.0642093012799
ACH-000017,-0.154227494894
ACH-000018,-0.298077332659
ACH-000019,-0.514671680143
ACH-000021,-0.142074919419
ACH-000022,-0.295394178168
ACH-000025,-0.214546852642
ACH-000028,-0.18170191938799998
ACH-000030,-0.27312535420899997
ACH-000035,-0.07567673112489999
ACH-000036,-0.186328748112
ACH-000037,-0.356316321465
ACH-000039,-0.18826670191199998
ACH-000040,-0.06733361256709999
ACH-000041,-0.259272789823
ACH-000042,-0.279576556524
ACH-000045,-0.294501312708
ACH-000047,-0.0684578783138
ACH-000052,-0.32426017139400004
ACH-000053,-0.219281542676
ACH-000054,-0.34610568172300005
ACH-000055,-0.22237397058800001
ACH-000060,-0.165357622035
ACH-000067,-0.167563729914
ACH-000070,-0.27222504665999997
ACH-000075,-0.213731582697
ACH-000078,-0.24207238425799998
ACH-000082,-0.32434506476999997
ACH-000085,-0.354184802505
ACH-000086,-0.333201303109
ACH-000087,-0.011898896134600002
ACH-000092,-0.140728818973
ACH-000095,-0.392723872426
ACH-000097,-0.144396029559
ACH-000098,-0.0651141900762
ACH-000099,-0.297074394043
ACH-000108,-0.383768190008
ACH-000113,-0.211205026578
ACH-000115,-0.31285171262
ACH-000116,-0.054520373509099995
ACH-000118,-0.181840603928
ACH-000120,-0.0230461632872
ACH-000123,-0.218736254005
ACH-000127,-0.12358016689500001
ACH-000128,-0.18268624007800002
ACH-000132,-0.223926069783
ACH-000133,-0.053020009531899996
ACH-000137,-0.0412396306465
ACH-000138,-0.184100981435
ACH-000142,-0.0157342262014
ACH-000143,-0.148939168368
ACH-000146,-0.36148172912199994
ACH-000148,-0.05178143214380001
ACH-000150,-0.195421863796
ACH-000152,-0.340294892909
ACH-000153,-0.225018215476
ACH-000159,-0.272357955451
ACH-000160,-0.257336480824
ACH-000163,-0.213844819286
ACH-000167,-0.368719338591
ACH-000168,-0.46309235790200004
ACH-000169,-0.325675582276
ACH-000178,-0.0902797469698
ACH-000182,-0.123147918679
ACH-000183,-0.051136672372399994
ACH-000188,-0.088607009177
ACH-000189,-0.09708609491879999
ACH-000190,-0.170266238561
ACH-000198,-0.316671840973
ACH-000204,-0.10797817217399999
ACH-000206,-0.426283753729
ACH-000207,-0.10035252498
ACH-000211,-0.178469307995
ACH-000215,-0.217274382901
ACH-000221,-0.146577749768
ACH-000222,-0.254631128525
ACH-000223,-0.186701249588
ACH-000226,-0.23774086874699998
ACH-000227,-0.0458932703307
ACH-000228,-0.093498035942
ACH-000231,-0.11766734783199999
ACH-000232,-0.20121092236699997
ACH-000233,-0.188769458336
ACH-000234,-0.340264164195
ACH-000235,-0.270397715641
ACH-000237,-0.22249445906800003
ACH-000238,-0.09011990786419999
ACH-000243,-0.214222480298
ACH-000244,-0.0189712489926
ACH-000246,-0.308979034935
ACH-000248,0.0447266143516
ACH-000250,-0.147480158326
ACH-000251,-0.468518086045
ACH-000253,-0.195075400601
ACH-000255,-0.140660987719
ACH-000256,-0.0754721722952
ACH-000257,0.016584048721700002
ACH-000258,-0.46945815597400004
ACH-000259,-0.0300666617484
ACH-000260,-0.12739709816199998
ACH-000261,-0.232282022713
ACH-000262,-0.281762917244
ACH-000263,-0.67748163824
ACH-000264,-0.189798127942
ACH-000265,-0.26463094136
ACH-000266,-0.21895419736900001
ACH-000272,-0.287083675154
ACH-000273,-0.24845829114999998
ACH-000274,-0.374908715391
ACH-000277,-0.0250501784589
ACH-000278,-0.309811149264
ACH-000279,-0.334873669128
ACH-000280,-0.110544631654
ACH-000281,-0.168483431624
ACH-000288,-0.17254842085900002
ACH-000291,-0.346539192658
ACH-000293,-0.234281113613
ACH-000294,-0.0439439857297
ACH-000295,-0.164688273312
ACH-000296,-0.0281477858172
ACH-000302,-0.243138825858
ACH-000304,-0.0992677058569
ACH-000307,-0.248388852537
ACH-000308,-0.248936820291
ACH-000310,-0.106185508707
ACH-000311,0.0286080160023
ACH-000312,-0.222357832208
ACH-000315,-0.09271485524129999
ACH-000316,-0.14762393851800001
ACH-000317,-0.274241845573
ACH-000318,-0.44992184028099996
ACH-000319,-0.12435554841600001
ACH-000320,-0.10557345333200001
ACH-000322,-0.127670625145
ACH-000323,-0.188554371665
ACH-000324,-0.18537022015000001
ACH-000329,-0.199400500623
ACH-000330,-0.371905075794
ACH-000331,-0.169216941377
ACH-000332,-0.19116320903099998
ACH-000334,-0.23974517798
ACH-000335,-0.0700189571222
ACH-000336,-0.112460438013
ACH-000337,-0.451522383096
ACH-000339,-0.279214176034
ACH-000341,-0.08061978163710001
ACH-000348,0.0325020933109
ACH-000350,-0.09741980188110001
ACH-000352,-0.177199741518
ACH-000356,0.0558609017014
ACH-000361,-0.399049222903
ACH-000362,-0.32551819058000003
ACH-000363,-0.156589905916
ACH-000364,-0.174463953452
ACH-000365,-0.273349848123
ACH-000366,-0.123551051898
ACH-000368,-0.0143790749988
ACH-000374,-0.152465600488
ACH-000375,-0.197829816523
ACH-000376,-0.235543475445
ACH-000381,-0.292476556001
ACH-000383,-0.18760724389800001
ACH-000387,-0.268170261371
ACH-000389,-0.051113038758300006
ACH-000390,-0.320183029657
ACH-000393,-0.37774924496
ACH-000395,-0.117596477573
ACH-000397,-0.223572030656
ACH-000401,-0.27180619547
ACH-000402,-0.208077336603
ACH-000403,-0.374792871853
ACH-000404,-0.81904286686
ACH-000406,-0.362989684657
ACH-000407,-0.277133050906
ACH-000408,-0.159089425471
ACH-000410,-0.169666641715
ACH-000411,-0.400744935405
ACH-000414,-0.0809661030295
ACH-000415,-0.0646120088236
ACH-000416,-0.277094254275
ACH-000420,-0.147083504956
ACH-000421,-0.14267026186100001
ACH-000424,-0.207298004508
ACH-000425,-0.25375903168
ACH-000426,-0.300338034924
ACH-000427,-0.057620996746800004
ACH-000433,0.139886275775
ACH-000436,-0.284675404302
ACH-000444,-0.159509589417
ACH-000445,0.07857451766489999
ACH-000448,-0.23665827075800003
ACH-000450,-0.021902173258099997
ACH-000452,-0.099110734516
ACH-000454,-0.07124855303510001
ACH-000458,-0.117665632917
ACH-000459,0.0317798667966
ACH-000460,0.0067606090020699994
ACH-000461,-0.150738312053
ACH-000463,-0.180888041715
ACH-000464,-0.137658556606
ACH-000466,-0.163444289531
ACH-000467,-0.324334441923
ACH-000468,-0.278819221251
ACH-000469,-0.23100783337699998
ACH-000470,-0.264977283733
ACH-000471,-0.15103906536800002
ACH-000472,-0.10166346730699999
ACH-000473,-0.251318074203
ACH-000475,-0.20883245423
ACH-000476,-0.296643307227
ACH-000477,-0.273582338039
ACH-000480,-0.297776780442
ACH-000481,-0.18518395737100002
ACH-000483,-0.317507630581
ACH-000484,-0.17119709302299999
ACH-000485,0.025323773015099995
ACH-000486,-0.15758758208100002
ACH-000487,-0.21352442452
ACH-000488,-0.261886770482
ACH-000490,-0.0804066183098
ACH-000491,-0.00980469395832
ACH-000495,-0.00433114774428
ACH-000496,-0.37005792564900003
ACH-000499,-0.263210058471
ACH-000500,-0.16204892660999998
ACH-000502,-0.16692818316
ACH-000503,-0.5141516888759999
ACH-000505,-0.347271734767
ACH-000507,-0.13681514974700001
ACH-000510,-0.211352194895
ACH-000511,-0.19274863027800002
ACH-000512,-0.5537075423560001
ACH-000516,-0.206211572814
ACH-000517,-0.107423658316
ACH-000518,-0.257499847509
ACH-000520,-0.187727079642
ACH-000521,-0.34927562592699996
ACH-000522,-0.356894187051
ACH-000524,-0.136230676479
ACH-000527,-0.10268713499299999
ACH-000528,-0.187147865282
ACH-000537,-0.16226495317
ACH-000541,0.00171049772397
ACH-000542,-0.171499360214
ACH-000544,-0.20594442780000002
ACH-000545,-0.255726467419
ACH-000547,-0.175124319161
ACH-000548,-0.233089336545
ACH-000549,-0.169455474692
ACH-000550,-0.151120739707
ACH-000552,-0.266541502037
ACH-000556,-0.0721908617159
ACH-000557,-0.245127341385
ACH-000570,-0.229771721629
ACH-000571,-0.0944163530005
ACH-000573,-0.267071998302
ACH-000576,-0.360171854061
ACH-000580,-0.43738036061499996
ACH-000584,-0.413219254858
ACH-000585,-0.17356579756299997
ACH-000588,-0.221799820255
ACH-000589,-0.272547924562
ACH-000591,-0.237278813618
ACH-000593,-0.149479285768
