,MYBBP1A (10514)
ACH-000004,-0.800423998386
ACH-000007,-0.709776703207
ACH-000009,-0.949276593863
ACH-000011,-0.880980279712
ACH-000012,-0.645458745227
ACH-000013,-0.954194035151
ACH-000014,-0.6298307658910001
ACH-000015,-1.13761755237
ACH-000017,-0.835279811347
ACH-000018,-0.6944138002879999
ACH-000019,-0.635997767104
ACH-000021,-0.8374277860420001
ACH-000022,-0.886837466273
ACH-000025,-0.684827978111
ACH-000028,-0.646587663982
ACH-000030,-0.705161738813
ACH-000035,-0.920820993177
ACH-000036,-0.597162283673
ACH-000037,-1.4430241654700002
ACH-000039,-0.486994404954
ACH-000040,-0.751824244108
ACH-000041,-1.24025585214
ACH-000042,-1.1949505633700002
ACH-000045,-0.950280323656
ACH-000047,-0.817920935008
ACH-000052,-0.540857714177
ACH-000053,-0.9622984857700001
ACH-000054,-0.7895875012870001
ACH-000055,-1.0259279144600002
ACH-000060,-0.9776003254919999
ACH-000067,-0.7695395505979999
ACH-000070,-0.419632939626
ACH-000075,-0.732980239362
ACH-000078,-1.04821045146
ACH-000082,-0.751513019567
ACH-000085,-1.11365504116
ACH-000086,-0.529904284872
ACH-000087,-0.660006361566
ACH-000092,-0.634173461779
ACH-000095,-0.879223858004
ACH-000097,-0.949805037787
ACH-000098,-0.983874723871
ACH-000099,-0.9491681245170001
ACH-000108,-0.7734215421349999
ACH-000113,-0.710240351971
ACH-000115,-0.188988545088
ACH-000116,-1.07627415875
ACH-000118,-0.9379588545299999
ACH-000120,-0.9891344167
ACH-000123,-0.866137325293
ACH-000127,-0.746156296203
ACH-000128,-0.712491484563
ACH-000132,-0.594970324479
ACH-000133,-0.563587879047
ACH-000137,-0.715221260511
ACH-000138,-0.949934965683
ACH-000142,-1.11221519727
ACH-000143,-0.9958078418520001
ACH-000146,-0.855581459931
ACH-000148,-0.798717457915
ACH-000150,-0.7492582868719999
ACH-000152,-0.87041185956
ACH-000153,-1.0723428436
ACH-000159,-0.958844469078
ACH-000160,-0.846558046266
ACH-000163,-0.748526803827
ACH-000167,-1.41310372484
ACH-000168,-1.09663602056
ACH-000169,-0.700492765381
ACH-000178,-0.8659062349779999
ACH-000182,-1.0054807023899999
ACH-000183,-0.7232869047470001
ACH-000188,-1.0585696622
ACH-000189,-0.612870720477
ACH-000190,-1.11321894558
ACH-000198,-0.7909193143629999
ACH-000204,-0.546584762873
ACH-000206,-0.925987333125
ACH-000207,-0.692300878671
ACH-000211,-0.795158949483
ACH-000215,-0.497755643369
ACH-000221,-1.06183656471
ACH-000222,-0.9710331711589999
ACH-000223,-0.8660523657539999
ACH-000226,-0.954771339801
ACH-000227,-0.519965103711
ACH-000228,-0.9230709359999999
ACH-000231,-1.0620116216700002
ACH-000232,-0.907909025935
ACH-000233,-0.7584712205699999
ACH-000234,-1.16533728681
ACH-000235,-0.838127038368
ACH-000237,-0.727467557351
ACH-000238,-1.21973271825
ACH-000243,-1.01525650548
ACH-000244,-0.627687089524
ACH-000246,-0.866840889961
ACH-000248,-1.03542761059
ACH-000250,-0.9870857741240001
ACH-000251,-1.50509727535
ACH-000253,-1.04238836366
ACH-000255,-0.895147744077
ACH-000256,-1.03518490555
ACH-000257,-0.359871717422
ACH-000258,-0.962126752421
ACH-000259,-0.777860323365
ACH-000260,-1.0861322712200001
ACH-000261,-0.674689631424
ACH-000262,-1.12483059941
ACH-000263,-0.175656192311
ACH-000264,-0.441940521782
ACH-000265,-0.841652466758
ACH-000266,-0.9471306170460001
ACH-000272,-0.711582208754
ACH-000273,-0.872240515272
ACH-000274,-1.0135038939799998
ACH-000277,-1.0338050722799998
ACH-000278,-0.954777960408
ACH-000279,-0.77106232473
ACH-000280,-1.1391937262799998
ACH-000281,-1.12471563528
ACH-000288,-0.566520602723
ACH-000291,-1.02270325697
ACH-000293,-0.770215179689
ACH-000294,-1.90915685176
ACH-000295,-0.7853701710780001
ACH-000296,-0.493996450263
ACH-000302,-0.8604408339120001
ACH-000304,-0.648880245019
ACH-000307,-1.0372677562100001
ACH-000308,-0.671925153397
ACH-000310,-0.785313555088
ACH-000311,-0.840441928063
ACH-000312,-0.897966601268
ACH-000315,-0.564811205584
ACH-000316,-1.0725501200399998
ACH-000317,-0.552985415712
ACH-000318,-1.31219595336
ACH-000319,-0.79936811042
ACH-000320,-0.87382223611
ACH-000322,-0.679410416994
ACH-000323,-0.8906977318189999
ACH-000324,-1.02673209945
ACH-000329,-0.8127892007080001
