,BRAF (673)
ACH-000004,-0.0256885950017
ACH-000007,-0.172768419833
ACH-000009,-0.153461833952
ACH-000011,-0.0649560397759
ACH-000012,-0.19924476593199997
ACH-000013,0.12264186368100001
ACH-000014,-1.56165927973
ACH-000015,-0.46551545621600005
ACH-000017,-0.0113466596226
ACH-000018,-0.13328983865
ACH-000019,0.0848441723835
ACH-000021,-0.40058087895000005
ACH-000022,-0.467439304881
ACH-000025,-0.153346156459
ACH-000028,-0.0716797207898
ACH-000030,0.09827561593560001
ACH-000035,-0.162757998272
ACH-000036,-0.154225397489
ACH-000037,-0.227583281075
ACH-000039,0.0253654669421
ACH-000040,-0.21951406819299998
ACH-000041,-0.183712050469
ACH-000042,-0.564553283667
ACH-000045,-0.0852959132897
ACH-000047,-0.0117974787454
ACH-000052,-0.812996728176
ACH-000053,0.112312783212
ACH-000054,-0.438943382015
ACH-000055,-0.053599863888099994
ACH-000060,-0.258471125951
ACH-000067,-0.27373212771899996
ACH-000070,-0.346413968242
ACH-000075,-0.38992265459299996
ACH-000078,-0.292949650456
ACH-000082,0.022277635613199998
ACH-000085,-0.101756503192
ACH-000086,0.0393506059701
ACH-000087,-0.15743006595200001
ACH-000092,-0.024555481531
ACH-000095,-0.083724913601
ACH-000097,-0.0804035981397
ACH-000098,-0.06845464113699999
ACH-000099,-0.444206022581
ACH-000108,0.0037808497994599997
ACH-000113,0.025495879117799998
ACH-000115,-0.109379868122
ACH-000116,-0.07504441886680001
ACH-000118,0.057455768394
ACH-000120,-0.507002983002
ACH-000123,-0.274657647625
ACH-000127,-0.0749623366774
ACH-000128,-0.171067891495
ACH-000132,-0.38082520270000003
ACH-000133,-0.144735915537
ACH-000137,-0.0930002577675
ACH-000138,0.08301456594289999
ACH-000142,-0.281149654872
ACH-000143,-0.317022501862
ACH-000146,-0.16171285173
ACH-000148,-0.138879901458
ACH-000150,-0.119171242885
ACH-000152,-0.19366612042800002
ACH-000153,-0.11022654326999999
ACH-000159,-0.0683718401446
ACH-000160,-0.0070205508219
ACH-000163,-0.11794087345899999
ACH-000167,-0.504411192269
ACH-000168,-0.321449578773
ACH-000169,-0.1534242433
ACH-000178,-0.32286667229800003
ACH-000182,-0.330276110766
ACH-000183,-0.025601814895099998
ACH-000188,-0.144796453515
ACH-000189,-0.233958871538
ACH-000190,0.0797075777926
ACH-000198,-0.265924519027
ACH-000204,-0.330111859808
ACH-000206,0.188334125707
ACH-000207,0.016262072141
ACH-000211,-0.108715833683
ACH-000215,-0.10752053033299999
ACH-000221,-0.0683285399595
ACH-000222,-0.17363587160100002
ACH-000223,-0.031113679334900002
ACH-000226,-0.10540832756799999
ACH-000227,-0.295669143322
ACH-000228,-0.05241624941840001
ACH-000231,-0.060639903985699996
ACH-000232,-0.346179491681
ACH-000233,0.117031832978
ACH-000234,-0.04548127159109999
ACH-000235,-0.0417846645092
ACH-000237,-0.111602553597
ACH-000238,-0.20370640011
ACH-000243,0.029605591321099998
ACH-000244,-0.31793493056
ACH-000246,0.0049161720818199995
ACH-000248,-0.0195762581998
ACH-000250,-0.23963773955200002
ACH-000251,-0.45411395301799995
ACH-000253,-1.19344033482
ACH-000255,-0.21930243281599998
ACH-000256,-0.155222864889
ACH-000257,-0.20604917537200002
ACH-000258,-1.7161323315299999
ACH-000259,-0.120177422014
ACH-000260,-0.102399866132
ACH-000261,-0.184560895629
ACH-000262,-0.374440132341
ACH-000263,-0.354406143623
ACH-000264,-0.305111321987
ACH-000265,-0.056372099683099995
ACH-000266,-0.25950007286800003
ACH-000272,-0.211668498422
ACH-000273,-0.133289203539
ACH-000274,-0.33179085544799997
ACH-000277,-0.0650105959528
ACH-000278,-0.11520700961899999
ACH-000279,-0.259102008505
ACH-000280,-0.0748346790902
ACH-000281,-0.294227358043
ACH-000288,-0.10204526759299999
ACH-000291,-1.2510099411
ACH-000293,0.057342221102999996
ACH-000294,-0.735402473646
ACH-000295,-0.5137742460010001
ACH-000296,-0.48309794901
ACH-000302,-0.198854550385
ACH-000304,-1.39427835656
ACH-000307,-0.0126975463036
ACH-000308,0.09736327694430001
ACH-000310,-0.149809063858
ACH-000311,0.157011546537
ACH-000312,-0.344062783742
