,ASCL5 (647219)
ACH-000004,-0.258637505555
ACH-000007,-0.22282046606
ACH-000009,-0.169427336241
ACH-000011,-0.24492397167100002
ACH-000012,-0.26193037385
ACH-000013,-0.38278451229800003
ACH-000014,-0.260769338662
ACH-000015,-0.24412667626999995
ACH-000017,-0.348643979432
ACH-000018,0.0035591244570599995
ACH-000019,-0.437299764948
ACH-000021,-0.372769441928
ACH-000022,-0.136031555553
ACH-000025,-0.491337511711
ACH-000028,-0.526497592416
ACH-000030,-0.191672334162
ACH-000035,-0.189098408157
ACH-000036,-0.406535581885
ACH-000037,-0.37802956329099996
ACH-000039,-0.258126146023
ACH-000040,-0.35626532370499997
ACH-000041,-0.196130682041
ACH-000042,-0.23606118115
ACH-000045,-0.344868617658
ACH-000047,-0.33604664389399996
ACH-000052,-0.5121223336
ACH-000053,-0.225287781404
ACH-000054,-0.28359660985
ACH-000055,-0.057805751148
ACH-000060,-0.211943687762
ACH-000067,-0.17851249569400002
ACH-000070,-0.213070380522
ACH-000075,-0.34716354270000005
ACH-000078,-0.157931856373
ACH-000082,-0.309265415315
ACH-000085,-0.55083101463
ACH-000086,-0.420937002378
ACH-000087,-0.290267688684
ACH-000092,-0.409204086705
ACH-000095,-0.376600201125
ACH-000097,-0.36514095331600005
ACH-000098,-0.44327453489600005
ACH-000099,-0.323477681887
ACH-000108,-0.257175427251
ACH-000113,-0.33331202588799996
ACH-000115,-0.20566232117
ACH-000116,-0.451894221532
ACH-000118,-0.23469958611800001
ACH-000120,-0.465881413871
ACH-000123,-0.225334108855
ACH-000127,-0.294781659159
ACH-000128,-0.44597454425800004
ACH-000132,-0.45951153262100003
ACH-000133,-0.178738892922
ACH-000137,-0.233263565306
ACH-000138,-0.224768642386
ACH-000142,-0.537249788327
ACH-000143,-0.7052059111229999
ACH-000146,-0.246353007471
ACH-000148,-0.478926326523
ACH-000150,-0.39535656870200003
ACH-000152,-0.35632556202200005
ACH-000153,-0.224713046312
ACH-000159,-0.32135831759
ACH-000160,-0.356105169954
ACH-000163,-0.35381845872
ACH-000167,-0.0509155974931
ACH-000168,-0.49540138110200005
ACH-000169,-0.40018265172600004
ACH-000178,-0.33174236674
ACH-000182,-0.163551637925
ACH-000183,-0.08841644889010002
ACH-000188,-0.405917736751
ACH-000189,-0.44236735535
ACH-000190,-0.289456753184
ACH-000198,-0.211995049958
ACH-000204,-0.299423318036
ACH-000206,-0.046890596918599994
ACH-000207,-0.289070305935
ACH-000211,-0.18738029871800002
ACH-000215,-0.42092078272699995
ACH-000221,-0.447233245572
ACH-000222,-0.115380621352
ACH-000223,-0.43504866520499996
ACH-000226,-0.554244413775
ACH-000227,-0.6696785552619999
ACH-000228,-0.19805299863499998
ACH-000231,-0.334800023088
ACH-000232,-0.13816026173
ACH-000233,-0.252382127149
ACH-000234,-0.450356021
ACH-000235,-0.423817873247
ACH-000237,-0.303978707901
ACH-000238,-0.565275373335
ACH-000243,-0.231959066459
ACH-000244,-0.593908008164
ACH-000246,-0.460776167591
ACH-000248,-0.244811643337
ACH-000250,-0.398199282909
ACH-000251,-0.50589473451
ACH-000253,-0.493291477099
ACH-000255,-0.332711185892
ACH-000256,-0.367418321919
ACH-000257,-0.19060252231600003
ACH-000258,-1.27834229639
ACH-000259,-0.379226810106
ACH-000260,-0.24271612399700002
ACH-000261,-0.29425637927
ACH-000262,-0.103625564436
ACH-000263,-0.480795775577
ACH-000264,-0.20583644923799999
ACH-000265,-0.198900482729
ACH-000266,-0.347736779503
ACH-000272,-0.46376868475
ACH-000273,-0.481243238077
ACH-000274,-0.265962806324
ACH-000277,-0.273413695072
ACH-000278,-0.0594279377844
ACH-000279,-0.337404597301
ACH-000280,0.0256931796948
ACH-000281,-0.299949090176
ACH-000288,-0.290405528224
ACH-000291,-0.23598364125799998
ACH-000293,-0.565366381781
ACH-000294,-0.05647835025669999
ACH-000295,-0.571160015342
ACH-000296,-0.28965533753199996
ACH-000302,-0.34476909107000003
ACH-000304,-0.441627576281
ACH-000307,-0.251180757522
ACH-000308,-0.270870488487
ACH-000310,-0.166703465133
ACH-000311,-0.172054160914
ACH-000312,-0.536826672612
ACH-000315,-0.538460426246
ACH-000316,-0.26336426686700004
ACH-000317,-0.312071440604
ACH-000318,-0.263655557892
ACH-000319,-0.267619632449
ACH-000320,-0.246147880516
ACH-000322,-0.126707295804
